"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"decals/clover_decal";"Four-leaf Clover";"Four-leaf Clover";"Quadrifoglio";"Vierblättriges Kleeblatt";"Trébol de cuatro hojas";"Четырёхлистный клевер";"Czterolistna koniczyna";"kresba Čtyřlístek";"Dört-yapraklı Yonca";"四\t叶\t草";"四つ\t葉の\tクローバー";"Four-leaf Clover";"Four-leaf Clover";"Четирехлістний конюшина";"Detelina sa četiri lista";"Négylevelű lóhere";"Four-leaf Clover";"Чатырохлістая канюшына";"Four-leaf Clover";"Four-leaf Clover";"Four-leaf Clover";;
"decals/clover_decal/desc";"Unique St.Patrick's Day decal";"Unique St.Patrick's Day decal";"Decalcomania del giorno di San Patrizio";"Einzigartiges Abzeichen zum St. Patrick's Day";"Calcomanía original del día de San Patricio";"Уникальная декаль в честь Дня Св. Патрика";"Unikalne malowanie na Dzień Św. Patryka";"Den svatého Patrika";"Özgün Aziz Patrick Günü çıkartması";"圣\t帕\t特\t里\t克\t节\t日\t贴\t花";"聖\tパトリックの\t祝日\tデカール";"Unique St.Patrick's Day decal";"Unique St.Patrick's Day decal";"Унікальна декаль в честь Дня Св. Патрика";"Jedinstvena nalepnica za dan Svetog Patrika";"Egyedi matrica Szent Patrik napja alkalmából.";"Unique St.Patrick's Day decal";"Унікальная эмблема ў гонар Дня Святога Патрыка";"Unique St.Patrick's Day decal";"Unique St.Patrick's Day decal";"Unique St.Patrick's Day decal";;
"decals/su_9_gv_iap_golovachev";"White 23";"White 23";"23 Bianco";"Weiße 23";"White 23";"Белый 23";"Biały 23";"číslo ""23""";"Beyaz 23";"白\t 23";"White 23";"White 23";"White 23";"Білий 23";"Bela 23";"Fehér 23";"White 23";"Белы 23";"White 23";"White 23";"White 23";;
"decals/su_9_gv_iap_golovachev/desc";;;;;;;;;;;;;;;;;;;;;;;
"decals/unicorn_china_decal";"Unicorn";"Unicorn";"Unicorno";"Einhorn";"Unicornio";"Единорог";"Jednorożec";"Jednorožec";"Tek boynuzlu at";"“\t银\t色\t独\t角\t兽\t”\t涂\t鸦";"ユニコーン";"Unicorn";"Unicorn";"Єдиноріг";"Jednorog";"Egyszarvú";"유니콘";"Аднарог";"Unicorn";"Unicorn";"Unicorn";;
"decals/unicorn_china_decal/desc";"A special decal for China";"A special decal for China";"Decal speciale per la Cina";"Ein spezielles Abzeichen für China";"Una calcomanía especial para China";"Специальная декаль для китая";"Specjalne malowanie dla Chin";"speciální emblém pro Čínu";"Çin için özel bir çıkartma";"“\t银\t色\t独\t角\t兽\t”\t涂\t鸦\t（\t来\t自\t战\t争\t雷\t霆\t国\t服\t官\t方\t论\t坛\t投\t稿\t，\t作\t者\t“\t极\t速\t俯\t冲\t”\t）";"中国の\t特殊\tデカール";"A special decal for China";"A special decal for China";"Спеціальна декаль для Китаю";"Specijalna nalepnica za Kinu";"Különleges matrica a kínaiak részére.";"A special decal for China";"Спецыяльная эмблема для Кітаю";"A special decal for China";"A special decal for China";"A special decal for China";;
"decals/28_panfilovcev";"Panfilov's 28";"Panfilov's 28";"I 28 di Panfilov";"Panfilovs 28";"Los 28 de Panfilov";"28 Панфиловцев";"28 Panfiłowców";"číslo ""28""";"Panfilov'un 28'i";"潘\t菲\t洛\t夫\t 28 \t勇\t士";"28人の\tパンフィロフ";"Panfilov's 28";"Panfilov's 28";"28 Панфіловців";"Panfilovih 28";"Panfilov 28 gárdistája";"판필로프의 28인";"28 панфілаўцаў";"Panfilov's 28";"Panfilov's 28";"Panfilov's 28";;
"decals/28_panfilovcev/desc";;;;;;;;;;;;;;;;;;;;;;;
"decals/urban_community";"land ho!";"land ho!";"terra!";"Land Ahoi!";"¡Tierra a la vista!";"Привет, земля!";"Ziemia na horyzoncie!";"land ho!";"kara göründü!";"灯\t塔";"ランド・ホー！";"land ho!";"land ho!";"привіт, земля!";"kopno na vidiku!";"Szárazföld!";"land ho!";"Здароў, зямля!";"land ho!";"land ho!";"land ho!";;
"decals/urban_community/desc";;;;;;;;;;;;;;;;;;;;;;;
"decals/jaws1_decal";"Monster Jaws";"Monster Jaws";"Fauci Mostruose";"Monster Jaws";"Mandíbulas monstruosas";"Челюсти Монстра";"Szczęki Potwora";"kresba Nestvůří tlama a oči";"Canavar Ağzı";"兽\t嘴";"Monster Jaws";"Mandíbulas de Monstro";"Monster Jaws";"Щелепи Монстра";"Čudovišne čeljusti";"Szörnyszáj";"Monster Jaws";"Сківіцы монстра";"Monster Jaws";"Monster Jaws";"Monster Jaws";;
"decals/jaws1_decal/desc";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Premio delle Cronache"".
<color=@warningTextColor>Leggi di più su www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Награда Хроники"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"Osiągnięcie „Nagroda Kronik”.
<color=@warningTextColor>więcej na www.warthunder.com</color>";" ";"""Günlük Ödülü"" başarısı.
<color=@warningTextColor>Daha fazla bilgi www.warthunder.com 'da</color>";"“\t编\t年\t史\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За виконання досягнень ""Нагорода Хроніки"".
<color =@warningTextColor>Подробиці на сайті www.warthunder.ru</color>";"""Nagrade hronika"" dostignuće.
<color=@warningTextColor>Saznajte više na www.warthunder.com</color>";"II. világháború krónikái jutalom.
<color=@warningTextColor>További információk a www.warthunder.com weboldalon</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выкананне дасягненняў «Узнагарода Хронікі»
<color=@warningTextColor>Падрабязней чытайце на вэб-сайце www.warthunder.ru</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/jaws2_decal";"Tiger Jaws";"Tiger Jaws";"Fauci di Tigre";"Tiger Jaws";"Mandíbulas de tigre";"Челюсти Тигра";"Szczęki Tygrysa";"kresba Tygří tlama a oči";"Kaplan Ağzı";"虎\t口";"Tiger Jaws";"Mandíbulas de Tigre";"Tiger Jaws";"Щелепи Тигра";"Tigrove čeljusti";"Tigrisszáj";"Tiger Jaws";"Сківіцы тыгра";"Tiger Jaws";"Tiger Jaws";"Tiger Jaws";;
"decals/jaws2_decal/desc";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Premio delle Cronache"".
<color=@warningTextColor>Leggi di più su www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Награда Хроники"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"Osiągnięcie „Nagroda Kronik”.
<color=@warningTextColor>więcej na www.warthunder.com</color>";" ";"""Günlük Ödülü"" başarısı.
<color=@warningTextColor>Daha fazla bilgi www.warthunder.com 'da</color>";"“\t编\t年\t史\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За виконання досягнень ""Нагорода Хроніки"".
<color =@warningTextColor>Подробиці на сайті www.warthunder.ru</color>";"""Nagrade hronika"" dostignuće.
<color=@warningTextColor>Saznajte više na www.warthunder.com</color>";"II. világháború krónikái jutalom.
<color=@warningTextColor>További információk a www.warthunder.com weboldalon</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выкананне дасягненняў «Узнагарода Хронікі»
<color=@warningTextColor>Падрабязней чытайце на вэб-сайце www.warthunder.ru</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/jaws3_decal";"Shark Jaws";"Shark Jaws";"Fauci di Squalo";"Shark Jaws";"Mandíbulas de tiburón";"Челюсти Акулы";"Szczęki Rekina";"kresba Žraločí tlama a oči";"Köpek Balığı Ağzı";"鲨\t齿";"Shark Jaws";"Mandíbulas de Tubarão";"Shark Jaws";"Щелепи Акули";"Ajkuline čeljusti";"Cápaszáj";"Shark Jaws";"Сківіцы акулы";"Shark Jaws";"Shark Jaws";"Shark Jaws";;
"decals/jaws3_decal/desc";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Premio delle Cronache"".
<color=@warningTextColor>Leggi di più su www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Награда Хроники"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"Osiągnięcie „Nagroda Kronik”.
<color=@warningTextColor>więcej na www.warthunder.com</color>";" ";"""Günlük Ödülü"" başarısı.
<color=@warningTextColor>Daha fazla bilgi www.warthunder.com 'da</color>";"“\t编\t年\t史\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За виконання досягнень ""Нагорода Хроніки"".
<color =@warningTextColor>Подробиці на сайті www.warthunder.ru</color>";"""Nagrade hronika"" dostignuće.
<color=@warningTextColor>Saznajte više na www.warthunder.com</color>";"II. világháború krónikái jutalom.
<color=@warningTextColor>További információk a www.warthunder.com weboldalon</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выкананне дасягненняў «Узнагарода Хронікі»
<color=@warningTextColor>Падрабязней чытайце на вэб-сайце www.warthunder.ru</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/jaws4_decal";"Boar Jaws";"Boar Jaws";"Fauci di Cinghiale";"Boar Jaws";"Mandíbulas de jabalí";"Челюсти Кабана";"Szczęki Dzika";"kresba Kančí tlama a oči";"Yaban Domuzu Ağzı";"猪\t牙";"Boar Jaws";"Mandíbulas de Javali";"Boar Jaws";"Щелепи Кабана";"Veprove čeljusti";"Vaddisznószáj";"Boar Jaws";"Сківіцы дзіка";"Boar Jaws";"Boar Jaws";"Boar Jaws";;
"decals/jaws4_decal/desc";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Premio delle Cronache"".
<color=@warningTextColor>Leggi di più su www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Награда Хроники"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"Osiągnięcie „Nagroda Kronik”.
<color=@warningTextColor>więcej na www.warthunder.com</color>";" ";"""Günlük Ödülü"" başarısı.
<color=@warningTextColor>Daha fazla bilgi www.warthunder.com 'da</color>";"“\t编\t年\t史\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За виконання досягнень ""Нагорода Хроніки"".
<color =@warningTextColor>Подробиці на сайті www.warthunder.ru</color>";"""Nagrade hronika"" dostignuće.
<color=@warningTextColor>Saznajte više na www.warthunder.com</color>";"II. világháború krónikái jutalom.
<color=@warningTextColor>További információk a www.warthunder.com weboldalon</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выкананне дасягненняў «Узнагарода Хронікі»
<color=@warningTextColor>Падрабязней чытайце на вэб-сайце www.warthunder.ru</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/jaws5_decal";"Crocodile Jaws";"Crocodile Jaws";"Fauci di Coccodrillo";"Crocodile Jaws";"Mandíbulas de cocodrilo";"Челюсти Крокодила";"Szczęki Krokodyla";"kresba Krokodýlí tlama a oči";"Timsah Ağzı";"鳄\t吻";"Crocodile Jaws";"Mandíbulas de Crocodilo";"Crocodile Jaws";"Щелепи Крокодила";"Krokodilske čeljusti";"Krokodilszáj";"Crocodile Jaws";"Сківіцы кракадзіла";"Crocodile Jaws";"Crocodile Jaws";"Crocodile Jaws";;
"decals/jaws5_decal/desc";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Premio delle Cronache"".
<color=@warningTextColor>Leggi di più su www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выполнение достижений ""Награда Хроники"".
<color=@warningTextColor>Подробности на сайте www.warthunder.ru</color>";"Osiągnięcie „Nagroda Kronik”.
<color=@warningTextColor>więcej na www.warthunder.com</color>";" ";"""Günlük Ödülü"" başarısı.
<color=@warningTextColor>Daha fazla bilgi www.warthunder.com 'da</color>";"“\t编\t年\t史\t”\t成\t就\t奖\t励\t
<color=@warningTextColor>\t登\t陆\t www.warthunder.com \t了\t解\t更\t多\t相\t关\t信\t息\t。\t</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За виконання досягнень ""Нагорода Хроніки"".
<color =@warningTextColor>Подробиці на сайті www.warthunder.ru</color>";"""Nagrade hronika"" dostignuće.
<color=@warningTextColor>Saznajte više na www.warthunder.com</color>";"II. világháború krónikái jutalom.
<color=@warningTextColor>További információk a www.warthunder.com weboldalon</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"За выкананне дасягненняў «Узнагарода Хронікі»
<color=@warningTextColor>Падрабязней чытайце на вэб-сайце www.warthunder.ru</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";"""Chronicle Award"" achievement.
<color=@warningTextColor>Learn more on www.warthunder.com</color>";;
"decals/jaws6_decal";"Whale Jaws";"Whale Jaws";"Fauci di Orca";"Whale Jaws";"Mandíbulas de ballena";"Челюсти Кита";"Paszcza Wieloryba";"kresba Velrybí tlama";"Balina Ağzı";"鲸\t唇";"Whale Jaws";"Mandíbulas de Baleia";"Whale Jaws";"Щелепи Кита";"Kitove čeljusti";"Bálnaszáj";"Whale Jaws";"Сківіцы кіта";"Whale Jaws";"Whale Jaws";"Whale Jaws";;
"decals/jaws6_decal/desc";;;;;;;;;;;;;;;;;;;;;;;
