"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"tl_tank_arcade/desc";"Arcade consider discipline as a necessity in all aspects of battle. Discipline your enemy: destroy five enemy tanks with the T-44 in a row.";"Arcade considère la discipline comme une nécessité dans tous les aspects de la bataille. Discipline ton ennemi: détruis 5 ennemis avec le T-44 en une bataille.";"Gli Arcade considerano la disciplina come una necessità in tutti gli aspetti della battaglia. Disciplina il tuo nemico: distruggi cinque corazzati di fila con il T-44.";"Arcade betrachten Disziplin als eine Notwendigkeit in allen Aspekten des Kampfes. Disziplinieren Sie Ihren Feind: Zerstören Sie fünf feindliche Panzer mit dem T-44 in einem Leben.";"Arcade considera que la disciplina es una necesidad en todos los apectos de una batalla. Disciplina a tu enemigo: destruye consecutivamente cinco tanques enemigos con el T-44.";"Arcade любит дисциплину не только в своей команде, но и в команде противника. Добавь противнику дисциплины: сделай серию из 5 уничтожений на Т-44. Серия не должна прерываться уничтожением твоего танка.";"Arcade eSports uważa, że dyscyplina odgrywa kluczową rolę na polu walki. Pokaż przeciwnikowi miejsce w szeregu: prowadząc T-44, zniszcz 5 wrogich czołgów pod rząd.";"Arcade považuje disciplínu za nezbytnou ve všech aspektech bitvy. Postav nepřátele do latě, usedni do T-44 a znič pět nepřátelských tanků v řadě.";"Arcade disiplini savaşın her çehresinde bir gereklilik olarak görür. Düşmanını disiplendir: T-44 ile arka arkaya 5 düşman tankı yok et.";"Arcade 团\t队\t认\t为\t在\t战\t斗\t中\t行\t之\t有\t效\t的\t纪\t律\t才\t是\t最\t重\t要\t的。\t现\t在\t是\t时\t候\t给\t您\t的\t敌\t人\t注\t入\t纪\t律\t了：\t驾\t驶 T-44 在\t单\t次\t战\t斗\t中\t连\t续\t击\t毁 5 辆\t敌\t方\t载\t具。";"Arcade consider discipline as a necessity in all aspects of battle. Discipline your enemy: destroy five enemy tanks with the T-44 in a row.";"O Arcade considera a disciplina como uma necessidade em todos os aspectos da batalha. Discipline seu inimigo: destrua cinco tanques inimigos com o T-44 em uma sequência.";"Arcade любить дисципліну не тільки в своїй команді, але і в команді противника. Додай противнику дисципліни: зроби серію з 5 знищень на Т-44. Серія не повинна перериватися знищенням твого танка.";"Arcade smatra disciplinu kao neophodnost u svim aspektima bitke. Disciplinujte svoje neprijatelje: Uništite 5 neprijateljskih tenkova sa T-44 za redom.";"Az Arcade eSports szerint a fegyelem a csata minden szempontjából nélkülözhetetlen. Fegyelmezd meg az ellenséged, és semmisíts meg sorozatban 5 ellenséges harckocsit a T-44 használatával.";"Arcade consider discipline as a necessity in all aspects of battle. Discipline your enemy: destroy five enemy tanks with the T-44 in a row.";"Arcade любяць дысцыпліну не толькі ў сваёй камандзе, але і ў камандзе супраціўніка. Дысцыплінуй свайго супраціўніка: знішчыце запар пяць варожых танкаў на Т-44. Серыя не павінна перарывацца знішчэннем вашага танка.";"Arcade consider discipline as a necessity in all aspects of battle. Discipline your enemy: destroy five enemy tanks with the T-44 in a row.";"Arcade 團隊認為在戰鬥中行之有效的紀律才是最重要的。現在是時候給你的敵人注入紀律了：駕駛 T-44 在單次戰鬥中連續擊毀 5 輛敵方載具。";"Arcade consider discipline as a necessity in all aspects of battle. Discipline your enemy: destroy five enemy tanks with the T-44 in a row.";;
"tl_tank_arcade/name";"Arcade eSports";"eSport en Arcade";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade e-Sporları";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";"아케이드 e스포츠";"Arcade eSports";"Arcade eSports";"Arcade eSports";"Arcade eSports";;
"tl_tank_gof/desc";"You'll need to set your sights high in order to climb to the top. Destroy 10 rank 4 or 5 tanks.";"Vous devrez viser haut pour pouvoir grimper au sommet. Détruisez 10 chars de rang 4 ou 5.";"Devi impostare i tuoi mirini verso l'alto per arrivare in cima. Distruggi 10 corazzati di era 4 o 5.";"Sie müssen Ihre Ziele hoch stecken, um an die Spitze zu gelangen. Zerstören Sie 10 Panzer vom Rang 4 oder 5.";"Necesitas apuntar alto para estar entre los mejores. Destruye 10 tanques rango 4 o 5.";"Забраться на вершину можно только направив взгляд на верх — туда смотреть страшнее всего. Уничтожь 10 танков 4 или 5 ранга.";"Mierz wysoko, a będziesz w stanie wspiąć się na szczyt. Zniszcz 10 czołgów z IV lub V Ery.";"Pokud se chceš dostat na vrchol, musíš hledět vzhůru. Znič deset tanků IV. nebo V. úrovně.";"En yükseğe tırmanmak için gözlerini yükseğe dikmen gerekecek. 10 seviye 4 veya 5 tank yok et.";"只\t有\t目\t光\t长\t远\t的\t人\t才\t能\t攀\t上\t峰\t顶！\t在\t战\t斗\t中\t击\t毁 10 辆 IV 至 V 级\t地\t面\t载\t具。";"You'll need to set your sights high in order to climb to the top. Destroy 10 rank 4 or 5 tanks.";"Você precisará mirar bem alto para subir até o topo. Destrua 10 tanques de nível 4 ou 5.";"Забратися на вершину можна тільки направивши погляд вгору - туди дивитися найстрашніше. Знищ 10 танків 4 або 5 рангу.";"Moraćete da postavite svoje ciljeve visoko da bi ste se popeli na vrh. Uništite 10 tenkova 4. i 5. ranga.";"A csúcsra jutáshoz céltudatosnak kell lenned. Semmisíts meg 10 ellenséges IV. vagy V. rangú harckocsit.";"You'll need to set your sights high in order to climb to the top. Destroy 10 rank 4 or 5 tanks.";"Узысці на вяршыню можна, толькі накіраваўшы позірк на яе верх — туды глядзець найстрашней. Знішчыце 10 танкаў 4-5 рангу.";"You'll need to set your sights high in order to climb to the top. Destroy 10 rank 4 or 5 tanks.";"只有目光長遠的人才能攀上峰頂！在戰鬥中擊毀 10 輛四至五階地面載具。";"You'll need to set your sights high in order to climb to the top. Destroy 10 rank 4 or 5 tanks.";;
"tl_tank_gof/name";"Guard Officers";"Officiers de la garde";"Guard Officers";"Guard Officers";"Oficiales de Guardia";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";"Guard Officers";;
"tl_tank_poltergeist_team/desc";"Poltergeist advise: eliminate your opponent before they understand what is going on. Destroy 10 enemies from a distance of more than 500 meters in your Tiger II(H).";"Conseil de Poltergeist: élimine tes adversaires avant qu'ils comprennent ce qui se passe. Détruisez 10 ennemis à une distance de plus de 500 mètres avec votre Tigre II (H).";"Consiglio dei Poltergeist: elimina il tuo nemico prima che capisca cosa stia succedendo.
Distruggi 10 nemici da una distanza di oltre 500 metri con il tuo Tiger II(H).";"Poltergeist-Ratschlag: eliminieren Sie Ihren Gegner, bevor er versteht, was vor sich geht. Zerstören Sie 10 Feinde aus einer Entfernung von mehr als 500 Metern in Ihrem Tiger II(H).";"Consejo del Poltergeist: elimina a tus oponentes antes de que comprendan qué  está ocurriendo. Destruye 10 enemigos de una distancia de más de 500 metros en tu Tiger II(H).";"Poltergeist советуют: устраняйте противника ещё до того, как он сообразит что к чему. Уничтожьте 10 противников на расстоянии более 500 метров на Tiger II(H).";"Poltergeist radzi: wyeliminuj przeciwnika, zanim zorientuje się, skąd nadchodzi atak. Prowadząc czołg ciężki Tiger II (H), zniszcz 10 wrogich maszyn z dystansu większego niż 500 m.";"Poltergeist radí: vyřaď nepřátele dříve, než zjistí, o co tady jde. V Tigeru II (H) znič 10 nepřátel na vzdálenost víc než 500 metrů.";"Poltergeist tavsiyesi: rakibini onlar ne olduğunu anlamadan önce ele. 10 düşmanı Tiger II(H) ile 500 metreden fazla mesafeden yok et.";"来\t自 Poltergeist 队\t伍\t的\t建\t议：\t在\t敌\t人\t反\t应\t过\t来\t前\t就\t出\t其\t不\t意\t地\t消\t灭\t他\t们。\t驾\t驶 虎\t王\t(H) 在\t不\t少\t于 500 米\t的\t距\t离\t上\t击\t毁 10 辆\t敌\t方\t载\t具。";"Poltergeist advise: eliminate your opponent before they understand what is going on. Destroy 10 enemies from a distance of more than 500 meters in your Tiger II(H).";"Conselho de Poltergeist: elimine o seu adversário antes que ele entenda o que está acontecendo. Destrua 10 inimigos a uma distância de mais de 500 metros em seu Tiger II (H).";"Poltergeist радять: усувайте противника ще до того, як він зрозуміє що до чого. Необхідно знищити 10 супротивників на відстані більше 500 метрів на Tiger II (H).";"Poltergeist savetuje: Eliminišite vaše neprijatelje pre no što shvate šta se događa. Uništi 10 neprijatelja sa distance veće od 500 metara u vašem Tiger II(H).";"A Poltergeist tanácsa: semmisítsd meg az ellenséget még mielőtt rájönnének, mi is történik. Semmisíts meg 10 ellenséget legalább 500 méteres távolságból a Tiger II (H) harckocsival.";"Poltergeist advise: eliminate your opponent before they understand what is going on. Destroy 10 enemies from a distance of more than 500 meters in your Tiger II(H).";"Poltergeist раяць: знішчайце супраціўніка раней як ён зразумее, што дзеецца. Знішчыце 10 машын супраціўніка з адлегласці большай за 500 метраў на Tiger II (H).";"Poltergeist advise: eliminate your opponent before they understand what is going on. Destroy 10 enemies from a distance of more than 500 meters in your Tiger II(H).";"來自 Poltergeist 隊伍的建議：在敵人反應過來前就出其不意地消滅他們。駕駛虎王（H）重型坦克在不少於 500 公尺的距離上擊毀 10 輛敵方載具。";"Poltergeist advise: eliminate your opponent before they understand what is going on. Destroy 10 enemies from a distance of more than 500 meters in your Tiger II(H).";;
"tl_tank_poltergeist_team/name";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";"폴터가이스트";"Poltergeist";"Poltergeist";"Poltergeist";"Poltergeist";;
"tl_tank/verve/desc";"Killing two birds with one stone is a practice that winners know how to handle. Win a match with the IS-2 and take first place on your team.";"Tuer deux oiseaux avec une même pierre est un entraînement que les gagnants savent effectuer. Gagnez un match avec l’IS-2 en finissant à la première place de votre équipe.";"Prendere due piccioni con una fava è una pratica che i vincitori conoscono bene. Vinci una partita con un IS-2 ed ottieni il primo posto nella tua squadra.";"Zwei Fliegen mit einer Klappe zu schlagen ist eine Praxis, mit der die Gewinner umzugehen wissen. Gewinnen Sie ein Spiel mit dem IS-2 und nehmen Sie den ersten Platz in Ihrer Mannschaft ein.";"Matar dos pájaros de un tiro es una práctica que los ganadores saben hacer. Gana una partida con el IS-2 y obtén el primer lugar de tu equipo.";"Погнаться за двумя зайцами и поймать обоих — выбор победителя. Победи в бою, заняв первое место в команде на ИС-2.";"Zwycięzcy wiedzą jak upiec dwie pieczenie przy jednym ogniu. Prowadząc IS-2, wygraj bitwę oraz zajmij pierwsze miejsce w swojej drużynie.";"Vítězové ví, jak zabít dvě mouchy jednou ranou. Vyhraj zápas v IS-2 a buď první ve svém týmu.";"Tek taş ile iki kuş vurmak kazananların nasıl üstesinden geleceğini bildiği bir pratiktir. IS-2 ile bir maç kazan ve takımında ilk yeri al.";"只\t有\t真\t正\t的\t赢\t家\t才\t能\t掌\t握\t一\t石\t二\t鸟\t的\t战\t斗\t技\t巧。\t驾\t驶 IS-2 在\t战\t斗\t中\t取\t得\t第 1 名\t并\t获\t胜。";"Killing two birds with one stone is a practice that winners know how to handle. Win a match with the IS-2 and take first place on your team.";"Matar dois coelhos com uma cajadada só é uma prática que os vencedores sabem fazer. Ganhe uma partida com o IS-2 e fique em primeiro lugar na sua equipe.";"Погнатися за двома зайцями і зловити обох - вибір переможця. Переможи в бою, посівши перше місце в команді на ІС-2.";"Ubijanje dve ptice sa jednim kamenom je praksa sa kojom pobednici izlaze na kraj. Pobedi meč sa IS-2 i uzmi prvo mesto u svom timu.";"Két legyet ütni egy csapásra olyasmi, amit a győztesek tudnak kivitelezni. Nyerj egy csatát a JSz-2 harckocsival úgy, hogy első helyen végzel a csapatodban.";"Killing two birds with one stone is a practice that winners know how to handle. Win a match with the IS-2 and take first place on your team.";"Пагнацца за двума зайцамі і злавіць абодвух — выбар пераможцы. Перамажыце ў баі, заняўшы першае месца ў камандзе на ІС-2.";"Killing two birds with one stone is a practice that winners know how to handle. Win a match with the IS-2 and take first place on your team.";"只有真正的贏家才能掌握一石二鳥的戰鬥技巧。駕駛 IS-2 重型坦克在戰鬥中取得第 1 名並獲勝。";"Killing two birds with one stone is a practice that winners know how to handle. Win a match with the IS-2 and take first place on your team.";;
"tl_tank_verve/name";"Verve Team";"Verve Team";"Squadra Verve";"Team Verve";"Equipo Verve";"Verve Team";"Verve Team";"Verve tým";"Verve Takımı";"Verve Team";"Verve Team";"Verve Team";"Verve Team";"Tim Verve";"Verve";"Verve Team";"Verve Team";"Verve Team";"Verve team";"Verve Team";;
"tl_tank_akai_victory/desc";"All those ceremonial events may be nice before a battle, but now is the time to break your opponents apart. Destroy 20 tanks with your T32.";"Toutes ces cérémonies sont peut-être belle avant une bataille, mais le moment est venu de briser vos adversaires. Détruisez 20 chars avec votre T32.";"Tutti questi eventi possono essere piacevoli prima di una battaglia ma ora è tempo di spazzare via i tuoi avversari. Distruggi 20 corazzati con il tuo T32.";"All diese zeremoniellen Veranstaltungen mögen vor einer Schlacht schön sein, aber jetzt ist es an der Zeit, deine Feinde zu vernichten. Zerstören Sie 20 Panzer mit Ihrem T32.";"Todos esos eventos ceremoniales pueden ser agradables antes de la batalla, pero ahora es el momento de destrozar a tus oponentes. Destruye 20 tanques con tu T32.";"Все эти церемонии и заумные разговоры хороши перед боем. А сейчас просто вломи противнику как следует. Уничтожьте 20 танков на Т32.";"Wszystkie te uroczyste wydarzenia mogą wyglądać atrakcyjnie przed bitwą, jednak nadszedł czas, aby rozbić w pył wojska przeciwnika. Zniszcz 20 czołgów, prowadząc T32.";"Před bitvou můžou být všechny tyto ceremoniály zábavné, ale teď je čas rozdrtit nepřátele. V T32 znič 20 tanků.";"Bir savaş öncesi bu bütün merasim olayları güzel olabilir, fakat şimdi rakiplerinizi parçalara ayırma vakti. T32 ile 20 tank yok et.";"花\t里\t胡\t哨\t的\t庆\t典\t活\t动\t只\t适\t合\t在\t战\t斗\t前\t举\t办，\t而\t现\t在\t杀\t戮\t时\t刻\t已\t到，\t是\t时\t候\t手\t刃\t您\t的\t敌\t人\t了。\t驾\t驶 T32 击\t毁 20 辆\t敌\t方\t地\t面\t载\t具。";"All those ceremonial events may be nice before a battle, but now is the time to break your opponents apart. Destroy 20 tanks with your T32.";"Todos esses eventos cerimoniais podem ser bons antes de uma batalha, mas agora é a hora de separar seus oponentes. Destrua 20 tanques com seu T32.";"Всі ці церемонії і заумні розмови хороші перед боєм. А зараз просто вломи противнику як слід. Необхідно знищити 20 танків на Т32.";"Svi ti ceremonijalni događaji mogu biti lepi pre bitke ali sada je vreme da razbijete svoje protivnike. Uništi 20 tenkova sa svojom T32.";"Az ünnepi események szépek lehetnek a csata előtt, de most itt az ideje szétverni az ellenséget. Semmisíts meg 20 ellenséges harckocsit a T32 használatával.";"All those ceremonial events may be nice before a battle, but now is the time to break your opponents apart. Destroy 20 tanks with your T32.";"Усе гэтыя цырымоніі і мудрагелістыя размовы добрыя перад боем. А цяпер пара парваць супраціўніка на шматкі. Знішчыце 20 танкаў на сваім Т32.";"All those ceremonial events may be nice before a battle, but now is the time to break your opponents apart. Destroy 20 tanks with your T32.";"花里胡哨的慶典活動只適合在戰鬥前舉辦，而現在殺戮時刻已到，是時候摧毀你的敵人了。駕駛 T32 重型坦克擊毀 20 輛敵方地面載具。";"All those ceremonial events may be nice before a battle, but now is the time to break your opponents apart. Destroy 20 tanks with your T32.";;
"tl_tank_akai_victory/name";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";"Akai Victory";;
