"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"trophy/football_decor_leaderboard_trophy";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"Один из трёх купонов на декоратор";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"3D \t装\t饰\t挂\t件\t兑\t换\t券\t三\t选\t一";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";"One of the 3 coupons for a 3d decorations";;
"trophy/football_title_leaderboard_trophy";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"Титул ""Первый голеадор""";"""First striker"" title";"""First striker"" title";"""First striker"" title";"“\t天\t才\t射\t门\t员\t”\t头\t衔";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";"""First striker"" title";;
"trophy/event_trophy_dmm_xmas_2019_pack";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"2019 \t圣\t诞\t节\t作\t战\t物\t资";"日本運営\tチームからのお\t年玉\tアイテムです。\t2019年も『War Thunder』\tをよろしくお\t願いします ";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";"Xmas Trophy 2019";;
"trophy/tw_shop_event_trophy";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Красный взрывпакет""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>\t“\t红\t爆\t”\t</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>紅爆 — ""Red Firecracker""</color>";"<color=#FED700>\t紅\t爆\t \t—\t ""Red Firecracker""</color>";;
"trophy/tw_shop_event_trophy_10";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Красный взрывпакет""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"10 x <color=#FED700>\t“\t红\t爆\t”\t</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>紅爆 — ""Red Firecracker""</color>";"1x10 <color=#FED700>\t紅\t爆\t \t—\t ""Red Firecracker""</color>";;
"item/tw_shop_event_trophy";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"Лунный Новый год в War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"War Thunder \t迎\t新\t春";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";"The Lunar New Year in War Thunder";;
"trophy/grand_final_stream_trophy";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"Зрителю Гранд-финала Лиги War Thunder";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"War Thunder \t联\t赛\t总\t决\t赛\t观\t战\t奖\t励";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";"For the War Thunder League Grand Final viewer";;
"userlog/trophy_char_error_compensation";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Компенсация за незачтённые бои";"Unreported Awards";"Unreported Awards";"Unreported Awards";"未\t知\t奖\t励";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";"Unreported Awards";;
"trophy/tss_league_season_2_platinum_trophy";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Платиновый трофей Лиги War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"War Thunder \t联\t赛\t白\t金\t作\t战\t物\t资";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";"Platinum trophy League War Thunder";;
"trophy/tss_league_season_2_gold_trophy";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Золотой трофей Лиги War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"War Thunder \t联\t赛\t黄\t金\t作\t战\t物\t资";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";"Gold trophy League War Thunder";;
"trophy/tss_league_season_2_silver_trophy";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Серебрянный трофей Лиги War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"War Thunder \t联\t赛\t白\t银\t作\t战\t物\t资";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";"Silver trophy League War Thunder";;
"trophy/defenders_day_trophy";"Defender's Trophy";"Defender's Trophy";"Trofeo Difensori";"Defender's Trophy";"Defender's Trophy";"Трофей защитника Отечества";"Defender's Trophy";"Defender's Trophy";"Koruyucu'nun Ganimeti";"守\t卫\t者\t作\t战\t物\t资";"Defender's Trophy";"Defender's Trophy";"Defender's Trophy";"Defender's Trophy";"Trofej Branioca";"Védők hadizsákmánya";"Defender's Trophy";"Трафей абаронцы Айчыны";"Defender's Trophy";"Defender's Trophy";"Defender's Trophy";;
"trophy/warthunder_new_years_2016_air_trophy";"Festive box";"Festive box";"Cassa Natalizia";"Festive box";"Festive box";"Новогодний Набор";"Festive box";"Festive box";"Festival kutusu";"节\t日\t礼\t盒";"Festive box";"Festive box";"Festive box";"Festive box";"Praznična kutija";"Ünnepi láda";"Festive box";"Навагодні набор";"Festive box";"Festive box";"Festive box";;
"trophy/warthunder_new_years_2016_tank_trophy";"Festive box";"Festive box";"Cassa Natalizia";"Festive box";"Festive box";"Новогодний Набор";"Festive box";"Festive box";"Festival kutusu";"节\t日\t礼\t盒";"Festive box";"Festive box";"Festive box";"Festive box";"Praznična kutija";"Ünnepi láda";"Festive box";"Навагодні набор";"Festive box";"Festive box";"Festive box";;
"item/warthunder_new_years_2016_trophy";"Festive box";"Festive box";"Cassa Natalizia";"Festive box";"Festive box";"Новогодний Набор";"Festive box";"Festive box";"Festival kutusu";"节\t日\t礼\t盒";"Festive box";"Festive box";"Festive box";"Festive box";"Praznična kutija";"Ünnepi láda";"Festive box";"Навагодні набор";"Festive box";"Festive box";"Festive box";;
"trophy/08_03_day_tank_trophy";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Casse di Rifornimento Esercito";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Ящик снабжения армии";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Ordu tedarik kutuları";"▨\t \t陆\t军\t补\t给\t箱";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Army supply boxes";"▨ Armijske kutije sa zalihama";"▨ Hadsereg ellátmányos ládák";"▨ Army supply boxes";"▨ Скрыня забеспячэння арміі";"▨ Army supply boxes";"▨ Army supply boxes";"▨\t Army supply boxes";;
"trophy/08_03_day_air_trophy";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Casse di Rifornimento Aviazione";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Ящик снабжения ВВС";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Hava Kuvvetleri tedarik kutuları";"▨\t \t空\t军\t补\t给\t箱";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨ Avijacijske kutije za zalihama";"▨ Légierő ellátmányos ládák";"▨ Air Force supply boxes";"▨ Скрыня забеспячэння ВПС";"▨ Air Force supply boxes";"▨ Air Force supply boxes";"▨\t Air Force supply boxes";;
"trophy/2016_chronicle_tank_unlock_trophy";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Ricompensa delle Cronache (carri armati)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Награда Хроники (танки)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Günlük ödülü (tanklar)";"编\t年\t史\t奖\t励\t（\t陆\t军\t）";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Nagrada za hronike (tenkovi)";"Krónikák jutalom (harckocsik)";"Chronicles' reward (tanks)";"Узнагарода Хронікі (танкі)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";"Chronicles' reward (tanks)";;
"trophy/2016_chronicle_aircraft_unlock_trophy";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Ricompensa delle Cronache (aerei)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Награда Хроники (самолёты)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Günlük ödülü (uçak)";"编\t年\t史\t奖\t励\t（\t空\t军\t）";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Nagrada za hronike (Letelice)";"Krónikák jutalom (repülőgépek)";"Chronicles' reward (aircraft)";"Узнагарода Хронікі (самалёты)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";"Chronicles' reward (aircraft)";;
"trophy/booster_trophy_for_chronicle_rp";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"Acceleratore Casuale 10-40% ▉ (10 partite)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"Случайный усилитель на 10-40% ▉ на 10 боёв";"10-40%  ▉ Random booster (10 games)";"10 - 40% ▉ náhodný booster (10 her)";"%10-40 ▉ Rastgele itici (10 oyun)";"随\t机\t 10% - 40% \t▉\t \t收\t益\t加\t成\t（\t10 \t场\t游\t戏\t）";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Nasumični buster (10 partija)";"10-40% ▉ véletlenszerű fokozó (10 csata)";"10-40%  ▉ Random booster (10 games)";"Выпадковы паскаральнік на 10-40% ▉ на 10 баёў";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  \t▉\t Random booster (10 games)";;
"trophy/booster_trophy_for_chronicle_wp";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"Acceleratore Casuale 10-40% € (10 partite)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"Случайный усилитель на 10-40% € на 10 боёв";"10-40% € Random booster (10 games)";"10 - 40% € náhodný booster (10 zápasů)";"%10-40 € Rastgele itici (10 oyun)";"随\t机\t 10% - 40% \t€\t \t收\t益\t加\t成\t（\t10 \t场\t游\t戏\t）";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Nasumični buster (10 partija)";"10-40% € véletlenszerű fokozó (10 csata)";"10-40% € Random booster (10 games)";"Выпадковы паскаральнік на 10-40% € на 10 баёў";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% \t€\t Random booster (10 games)";;
"trophy/warpoints_trophy_for_chronicle";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"Случайное количество 50000 - 120000 €";"50000-120000 €";"50 000 - 120 000 €";"50000-120000 €";"50000 - 120000 \t€";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50 000-120 000 €";"50000-120000 €";"Выпадковая колькасць 50 000-120 000 €";"50000-120000 €";"50000-120000 €";"50000-120000 \t€";;
"trophy/discount_trophy_for_chronicle";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% di sconto su veicoli premium";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"Случайная скидка 10-30% на премиумную технику";"-10% -20% -30% discount on premium vehicles";"10%, 20%, 30% sleva na prémiové stroje";"Premium araçlarda -%10 -%20 -%30 iskonto";"-10% / -20% / -30% \t高\t级\t载\t具\t折\t扣";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% popust na premijum vozila";"10%, 20%, 30% kedvezmény a prémium járművekre";"-10% -20% -30% discount on premium vehicles";"Выпадковая зніжка 10-30% на прэміюмную тэхніку";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";"-10% -20% -30% discount on premium vehicles";;
"item/booster_trophy_for_chronicle_rp";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"Acceleratore Casuale 10-40% ▉ (10 partite)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"Случайный усилитель на 10-40% ▉ на 10 боёв";"10-40%  ▉ Random booster (10 games)";"10 - 40% ▉ náhodný booster (10 her)";"%10-40 ▉ Rastgele itici (10 oyun)";"随\t机\t 10% - 40% \t▉\t \t收\t益\t加\t成\t（\t10 \t场\t游\t戏\t）";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Nasumični buster (10 partija)";"10-40% ▉ véletlenszerű fokozó (10 csata)";"10-40%  ▉ Random booster (10 games)";"Выпадковы паскаральнік на 10-40% ▉ на 10 баёў";"10-40%  ▉ Random booster (10 games)";"10-40%  ▉ Random booster (10 games)";"10-40%  \t▉\t Random booster (10 games)";;
"item/booster_trophy_for_chronicle_wp";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"Acceleratore Casuale 10-40% € (10 partite)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"Случайный усилитель на 10-40% € на 10 боёв";"10-40% € Random booster (10 games)";"10 - 40% € náhodný booster (10 zápasů)";"%10-40 € Rastgele itici (10 oyun)";"随\t机\t 10% - 40% \t€\t \t收\t益\t加\t成\t（\t10 \t场\t游\t戏\t）";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% € Nasumični buster (10 partija)";"10-40% € véletlenszerű fokozó (10 csata)";"10-40% € Random booster (10 games)";"Выпадковы паскаральнік на 10-40% € на 10 баёў";"10-40% € Random booster (10 games)";"10-40% € Random booster (10 games)";"10-40% \t€\t Random booster (10 games)";;
"item/warpoints_trophy_for_chronicle";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"Случайное количество 50000 - 120000 €";"50000-120000 €";"50 000 - 120 000 €";"50000-120000 €";"50000 - 120000 \t€";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50 000-120 000 €";"50000-120000 €";"Выпадковая колькасць 50 000-120 000 €";"50000-120000 €";"50000-120000 €";"50000-120000 \t€";;
