"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"clan/needMoneyQuestion_upgradeClanPrimaryInfo";"Are you sure you want to upgrade your Squadron?
It will cost you: %s";"Êtes-vous sûr de vouloir mettre à niveau votre escadron? Il vous en coûtera %s";"Sei sicuro di voler aggiornare la tua Squadriglia? Ti costerà: %s";"Bist du sicher, dass du deine Kampfgruppe hochstufen möchtest? Die Kosten betragen: %s";"¿Estás seguro de que quieres mejorar tu Escuadrón? Te costará: %s";"Вы уверены, что хотите улучшить полк?
Стоимость улучшения: %s";"Czy na pewno chcesz rozbudować swój Dywizjon? Będzie cię to kosztować %s";"Opravdu chceš povýšit svaz za %s ?";"Filonu yükseltmek istediğinden emin misin? Sana maliyeti: %s";"确\t定\t要\t升\t级\t为\t正\t规\t联\t队\t吗\t？\t这\t将\t花\t费\t %s";"あなたの\t部隊を\t拡張してよろしいですか？ 費用: %s";"Tem a certeza de que quer atualizar o seu esquadrão? Isso irá custar-lhe: %s";"Are you sure you want to upgrade your Squadron?
It will cost you: %s";"Ви впевнені, що хочете покращити полк? Вартість покращення:%s";"Da li ste sigurni da želite da unapredite vašu eskadrilu? To će vas koštati: %s";"Biztosan fel szeretnéd fejleszteni a századod?
Ára: %s";"정말로 비행대를 승격하시겠습니까? 비용: %s";"Ці сапраўды хочаце павысіць полк да дывізіёна, заплаціўшы за гэта %s?";"Sigur dorești să îmbunătățești compania?
Te va costa: %s";"確定要升級聯隊嗎？這將花費: %s";"确\t定\t要\t升\t级\t为\t正\t规\t联\t队\t吗\t？\t这\t将\t花\t费\t %s";;
"clan/needMoneyQuestion_upgradeMembers";"Are you sure you want to increase the member limit by {step}?
It will cost you: {cost}";"Voulez vous vraiment augmenter la limite de membres par {step}? Cela vous coutera : {cost}";"Sei sicuro di voler aumentare il limite di membri di {step}? Ti costerà: {cost}";"Bist du sicher, dass du die maximale Mitgliederzahl um {step} erhöhen möchtest? Die Kosten hierfür betragen: {cost}";"¿Está seguro que desea aumentar el límite de miembros por {step}? Te costará: {cost}";"Вы уверены, что хотите увеличить максимальное количество участников на {step}?
Стоимость: {cost}";"Czy na pewno chcesz zwiększyć limit miejsc o {step}? Będzie to kosztować {cost}";"Opravdu chceš zvýšit limit členů o {step} za {cost} ?";"Üye sınırını {step} artırmak istediğinize emin misiniz? Bu size mal olacak: {cost}";"确\t定\t要\t将\t联\t队\t成\t员\t上\t限\t提\t升\t {step} \t吗\t？\t这\t将\t花\t费\t：\t{cost}";"{step} メンバー\t制限を\t緩和してよろしいですか? 費用:{cost}";"Are you sure you want to increase the member limit by {step}?
It will cost you: {cost}";"Are you sure you want to increase the member limit by {step}?
It will cost you: {cost}";"Ви впевнені, що хочете збільшити максимальну кількість учасників на {step}? Вартість: {cost}";"Da li ste sigurni da želite da povećate limit članova za {step}? Koštaće vas: {cost}";"Biztosan meg szeretnéd növelni a létszámkorlátot {step} fővel?
Ára: {cost}";"비행대 정원을 {step}명까지 올리시겠습니까? {cost}이 소모됩니다.";"Ці сапраўды хочаце павялічыць максімальную колькасць удзельнікаў на {step} за {cost}?";"Sigur dorești să mărești limita maximă a membrilor cu {step}?
Te va costa: {cost}";"確定要將聯隊上限提升 {step} 嗎？這將會花費: {cost}";"确\t定\t要\t将\t联\t队\t成\t员\t上\t限\t提\t升\t {step} \t吗\t？\t这\t将\t花\t费\t：\t{cost}";;
"clan/create_clan_success";"Squadron created successfully";"Escadron créé avec succès";"Squadriglia creato con successo";"Die Kampfgruppe wurde erfolgreich gegründet.";"Escuadrón creado con éxito";"Полк успешно создан";"Dywizjon został utworzony pomyślnie";"Svaz úspěšně vytvořen";"Filo başarıyla kuruldu";"已\t成\t功\t创\t建\t联\t队";"部隊の\t結成に\t成功しました。";"Esquadrão criado com sucesso";"Squadron created successfully";"Полк успішно створений";"Eskadrila uspešno napravljena";"A század sikeresen megalapult.";"비행대가 창설되었습니다.";"Новы полк створаны";"Compania a fost creată cu succes";"已成功創建聯隊";"已\t成\t功\t创\t建\t联\t队";;
"clan/create_clan_submit_button";"Create a Squadron";"Créer un escadron";"Crea una Squadriglia";"Kampfgruppe gründen";"Crear un escuadrón";"Создать полк";"Stwórz Dywizjon";"Vytvořit svaz";"Bir Filo Kur";"创\t建\t联\t队";"部隊を\t結成します。";"Criar um esquadrão";"Create a Squadron";"Створити полк";"Kreiraj eskadrilu";"Századalapítás";"비행대 창설";"Стварыць полк";"Creare companie";"創建聯隊";"创\t建\t联\t队";;
"clan/clan_type";"Squadron Type";"Type d'escadron";"Tipo di Squadriglia";"Kampfgruppen-Typ";"Tipo de Escuadrón";"Тип полка";"Typ Dywizjonu";"Typ svazu";"Filo Tipi";"联\t队\t类\t型";"部隊の\tタイプ";"Tipo de esquadrão";"Squadron Type";"Тип полку";"Tip eskadrile";"Század típusa";"비행대 유형";"Тып палка";"Tip companie";"聯隊類型";"联\t队\t类\t型";;
"clan/clan_type/normal";"Squadron";"Escadron";"Squadriglia";"Kampfgruppe";"Escuadrón";"Полк";"Dywizjon";"Svaz";"Filo";"正\t规\t联\t队";"部隊";"Esquadrão";"Squadron";"Полк";"Eskadrila";"Század";"비행대";"Полк";"Companie";"聯隊";"正\t规\t联\t队";;
"clan/clan_type/normal/tooltip";"Create squadron";"Créer un escadron";"Crea una squadriglia";"Kampfgruppe aufstellen";"Crear un Escuadrón";"Создать полк";"Utwórz Dywizjon";"Vytvořit svaz";"Filo oluştur";"创\t建\t正\t规\t联\t队";"部隊を\t作成";"Criar esquadrão";"Create squadron";"Створити полк";"Napravi Eskadrilu";"Századalapítás";"비행대 창설";"Стварыць полк";"Creare o companie";"創建聯隊";"创\t建\t正\t规\t联\t队";;
"clan/clan_type/battalion";"Training squadron";"Escadron d'entrainement";"Squadriglia d'addestramento";"Trainings-Kampfgruppe";"Escuadrón de Entrenamiento";"Учебный полк";"Dywizjon Szkoleniowy";"Záložní svaz";"Eğitim filosu";"见\t习\t联\t队";"訓練部隊";"Esquadrão de formação";"Training squadron";"Навчальний полк";"Trening Eskadrile";"Kiképzőszázad";"훈련 비행대";"Вучэбны полк";"Companie de antrenament";"實習聯隊";"见\t习\t联\t队";;
"clan/clan_type/battalion/tooltip";"Create training squadron";"Créer un escadron d'entrainement";"Crea una squadriglia d'addestramento";"Trainings-Kampfgruppe gründen";"Crear Escuadrón de Entrenamiento";"Создать учебный полк";"Utwórz Dywizjon Szkoleniowy";"Vytvořit záložní svaz";"Eğitim filosu oluştur";"创\t建\t见\t习\t联\t队";"訓練部隊を\t作成します。";"Criar esquadrão de formação";"Create training squadron";"Створити навчальний полк";"Napravi trenažnu eskadrilu";"Kiképzőszázad alapítása";"훈련 비행대 창설";"Стварыць вучэбны полк";"Creare o companie de antrenament";"創建實習聯隊";"创\t建\t见\t习\t联\t队";;
"clan/clan_name";"Squadron Name";"Nom de l'Escadron";"Nome della Squadriglia";"Name der Kampfgruppe";"Nombre del escuadrón";"Название полка";"Nazwa Dywizjonu";"Jméno svazu";"Filo Adı";"联\t队\t名\t称";"部隊の\t名称";"Nome do esquadrão";"Squadron Name";"Назва полку";"Ime Eskadrile";"Század neve";"비행대 이름";"Назва палка";"Nume companie";"聯隊名稱";"联\t队\t名\t称";;
"clan/clan_tag";"Squadron Tag";"Tag de l'escadron";"Tag della Squadriglia";"Kürzel";"Etiqueta del escuadrón";"Тег полка";"Etykieta Dywizjonu";"Zkratka svazu";"Filo Etiketi";"联\t队\t缩\t写";"部隊の\tタグ";"Tag do esquadrão";"Squadron Tag";"Тег полку";"Oznaka eskadrile";"Század rövidítése";"비행대 태그";"Тэг палка";"Etichetă companie";"聯隊標籤";"联\t队\t缩\t写";;
"clan/clan_tag/short";"tag";"tag";"tag";"Kürzel";"etiqueta";"тег";"Etykieta";"zkratka";"etiket";"缩\t写";"タグ";"tag";"tag";"тег";"tag";"rövidítés";"태그";"тэг";"etichetă";"標籤";"缩\t写";"SINGLE SHORT WORD";
"clan/description_not_allowed";"Not available for this squadron type.";"Non disponible pour ce type d'escadron.";"Non disponibile per questo tipo di squadriglia.";"Für diesen Kampfgruppen-Typ nicht verfügbar.";"No está disponible para este tipo de escuadrón.";"Недоступно для этого типа полка.";"Niedostępne dla tego typu dywizjonu.";"Není k dispozici pro tento typ svazu";"Bu filo türü için kullanılabilir değil.";"该\t联\t队\t类\t型\t不\t可\t用\t。";"この\t部隊の\tタイプは\t入手できません。";"Indisponível para este tipo de esquadrão.";"Not available for this squadron type.";"Недоступно для цього типу полку.";"Nije dostupno za eskadrilu ovog tipa.";"Ezen századtípushoz nem elérhető.";"이 유형의 비행대에서는 사용할 수 없습니다.";"Недаступна для палка такога тыпу.";"Indisponibilă pentru acest tip de companie.";"目前聯隊類型無法使用";"该\t联\t队\t类\t型\t不\t可\t用\t。";;
"clan/announcement_not_allowed";"Not available for this squadron type.";"Non disponible pour ce type d'escadron.";"Non disponibile per questo tipo di squadriglia.";"Für diesen Kampfgruppen-Typ nicht verfügbar.";"No está disponible para este tipo de escuadrón.";"Недоступно для этого типа полка.";"Niedostępne dla tego typu dywizjonu.";"Není k dispozici pro tento typ svazu";"Bu filo türü için kullanılabilir değil.";"对\t当\t前\t联\t队\t类\t型\t不\t可\t用\t。";"この\tタイプの\t部隊は\t編成できません";"Not available for this squadron type.";"Not available for this squadron type.";"Недоступно для цього типу полку.";"Nije dostupno za eskadrilu ovog tipa.";"Ezen századtípushoz nem elérhető.";"이 유형의 비행대에서는 사용할 수 없습니다.";"Недаступна для палка такога тыпу.";"Indisponibil pentru acest tip de companie.";"目前聯隊類型無法使用";"对\t当\t前\t联\t队\t类\t型\t不\t可\t用\t。";;
"clan/clan_tag_decoration";"Tag Borders";"Bordures du tag";"Margini della tag";"Einfassung";"Ribetes de la etiqueta";"Оформление тега";"Obramowanie Etykiety";"Ohraničení zkratky";"Etiket Çerçeveleri";"联\t队\t缩\t写\t修\t饰\t符";"タグの\tボーダー";"Bordas da Tag";"Tag Borders";"Оформлення тегу";"Granice oznake";"Rövidítés szegélyei";"태그 테두리";"Абрыс тэга";"Margini etichetă";"標籤邊框";"联\t队\t缩\t写\t修\t饰\t符";;
"clan/clan_slogan";"Motto";"Devise";"Motto";"Motto";"Lema";"Девиз";"Motto";"Motto";"Slogan";"联\t队\t队\t训";"モットー";"Lema";"Motto";"Девіз";"Moto";"Jelmondat";"좌우명";"Дэвіз";"Slogan";"箴言";"联\t队\t队\t训";;
"clan/clan_description";"Description";"Description";"Descrizione";"Beschreibung";"Descripción";"Описание";"Opis";"Popis";"Açıklama";"联\t队\t简\t介";"概要";"Descrição";"Description";"Опис";"Opis";"Leírás";"소개";"Апісанне";"Descriere";"簡介";"联\t队\t简\t介";;
"clan/clan_upgrade";"Upgrade squadron";"Améliorer l'escadron";"Aggiornamento Squadriglia";"Kampfgruppe hochstufen";"Mejorar Escuadrón";"Улучшить полк";"Rozbuduj Dywizjon";"Povýšit svaz";"Filoyu yükselt";"升\t级\t联\t队";"拡張された\t部隊";"Atualizar o esquadrão";"Upgrade squadron";"Покращити полк";"Nadogradi Eskadrilu";"Század felfejlesztése";"비행대 승격";"Павысіць полк";"Îmbunătățire companie";"聯隊升級";"升\t级\t联\t队";;
"clan/clan_upgrade/button";"Upgrade";"Amélioration";"Aggiornamento";"Hochstufen";"Mejorar";"Улучшить";"Rozbuduj";"Povýšit";"Yükselt";"升\t级\t联\t队";"拡張";"Atualização";"Upgrade";"Покращити";"Nadogradi";"Felfejlesztés";"승격";"Павысіць";"Îmbunătățire";"升級";"升\t级\t联\t队";;
"clan/members_upgrade_button";"+{step} to members limit";"+{step} à la limite de membres";"+{step} al limite di membri";"+{step} auf die maximale Mitgliederzahl";"+{step} al límite de miembros";"+{step} к размеру полка";"Zwiększenie limitu członków o {step}";"+{step} k limitu členů";"üye sınırına +{step} kaldı";"+{step} \t成\t员\t上\t限";"+{step} メンバー\t条件制限";"+{step} to members limit";"+{step} to members limit";"+{step} до максимальної кількості учасників";"+{step} za limit članova";"+{step} fő a létszámkorláthoz";"정원 {step}명 증가";"+{step} да памеру палка";"+{step} până la limita de membri";"+{step} 成員限制";"+{step} \t成\t员\t上\t限";;
"clan/members_upgrade_success";"Member limit increased successfully";"Limite de membre augmentée avec succès";"Limite di membri aumentato";"Die maximale Mitgliederzahl wurde erfolgreich angehoben";"Límite de miembros incrementado exitosamente";"Максимальное количество участников успешно увеличено";"Limit członków zwiększony";"Limit členů byl zvýšen";"Üye sınırı başarılı şekilde artırıldı";"已\t成\t功\t提\t升\t成\t员\t上\t限";"メンバー\t上限値増加に\t成功";"Member limit increased successfully";"Member limit increased successfully";"Максимальну кількість учасників успішно збільшено";"Limit članova uspešno povećan";"Létszámkorlát sikeresen megnövelve.";"정원을 올렸습니다.";"Максімальная колькасць удзельнікаў паспяхова павялічана";"Limita membrilor a fost mărită cu succes";"已成功提升成員上限";"已\t成\t功\t提\t升\t成\t员\t上\t限";;
"clan/clan_region";"Region";"Localisation";"Nazionalità";"Region";"Región";"Регион";"Region";"Oblast";"Kısım";"地\t区\t偏\t好";"地域";"Region";"Region";"Регіон";"Regija";"Régió";"지역";"Рэгіён";"Naționalitate";"區域";"地\t区\t偏\t好";"NOT TRANSLATED";
"clan/clan_announcement";"Announcement";"Description";"Annuncio";"Ankündigung";"Anuncio";"Анонс";"Ogłoszenie";"Oznámení";"Duyuru";"联\t队\t公\t告";"お\t知らせ";"Announcement";"Announcement";"Оголошення";"Objava";"Közlemény";"공지";"Анонс";"Anunț";"公告";"联\t队\t公\t告";"NOT TRANSLATED";
"clan/clans_list";"Squadrons";"Escadrons";"Squadriglie";"Kampfgruppen";"Escuadrones";"Полки";"Dywizjony";"Svazy";"Filolar";"联\t队\t列\t表";"部隊";"Esquadrões";"Squadrons";"Полки";"Eskadrile";"Századok";"비행대";"Палкі";"Companii";"聯隊";"联\t队\t列\t表";;
"clan/my_clan";"My Squadron";"Mon Escadron";"La mia Squadriglia";"Meine Kampfgruppe";"Mi escuadrón";"Мой полк";"Mój Dywizjon";"Můj svaz";"Benim Filom";"我\t的\t联\t队";"所属する\t部隊";"O meu esquadrão";"My Squadron";"Мій полк";"Moja Eskadrila";"Századom";"소속 비행대";"Мой полк";"Compania mea";"我的聯隊";"我\t的\t联\t队";;
"clan/clans_search";"Squadrons search";"Recherche d'escadrons";"Ricerca Squadriglie";"Kampfgruppensuche";"Búsqueda de escuadrones";"Поиск полка";"Wyszukiwarka Dywizjonów";"Squadrons search";"Squadrons search";"联\t队\t搜\t索";"部隊検索";"Squadrons search";"Squadrons search";"Пошук полку";"Squadrons search";"Squadrons search";"비행대 검색";"Squadrons search";"Căutare companii";"搜尋聯隊";"Squadrons search";;
"clan/clans_leaderboards";"Squadrons Leaderboards";"Classements des escadrons";"Classifiche Squadriglie";"Kampfgruppenranglisten";"Clasificación de Escuadrones";"Таблицы рекордов полков";"Rankingi Dywizjonów";"Squadrons Leaderboards";"Squadrons Leaderboards";"联\t队\t排\t行\t榜";"部隊\tランキング";"Squadrons Leaderboards";"Squadrons Leaderboards";"Таблиці рекордів полків";"Squadrons Leaderboards";"Squadrons Leaderboards";"비행대 순위표";"Squadrons Leaderboards";"Clasamente companii";"聯隊排行榜";"Squadrons Leaderboards";;
"clan/new_clan_wnd_title";"Creating a Squadron";"Création d'un Escadron";"Creare una Squadriglia";"Eine Kampfgruppe aufstellen";"Creación de un escuadrón";"Создание полка";"Tworzenie Dywizjonu";"Vytvoření svazu";"Bir Filo Oluştur";"创\t建\t联\t队";"部隊の\t結成";"Criando um esquadrão";"Creating a Squadron";"Створення полку";"Formiranje eskadrile";"Századalapítás";"비행대 창설";"Стварэнне палка";"Creare companie";"正在創建聯隊";"创\t建\t联\t队";;
