"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"location/port_moresby";"Port Moresby";"Port Moresby";"Porto di Moresby";"Port Moresby";"Puerto Moresby";"Порт-Морсби";"Port Moresby";"Port Moresby";"Port Moresby";"莫\t尔\t兹\t比\t港";"ポートモレスビー";"Port Moresby";"Порт-Морсбі";"Port Morsbi";"Port Moresby";"포트 모르즈비";"Порт-Морсбі";"Port Moresby";"摩\t爾\t斯\t貝\t港";"莫\t港";"Cảng Moresby";;
"location/ruhr";"Ruhr";"Ruhr";"Ruhr";"Ruhrgebiet";"Ruhr";"Рур";"Zagłębie Ruhry";"Porúří";"Ruhr";"鲁\t尔";"ルールの\t戦い";"Ruhr";"Рур";"Rur";"Ruhr-vidék";"루어";"Рур";"Ruhr";"魯\t爾";"鲁\t尔";"Ruhr";;
"location/water_east_china_sea";"East China Sea";"Est de la mer de Chine";"Mar Cinese orientale";"Ostchinesisches Meer";"Mar de China oriental";"Восточно-Китайское море";"Morze Wschodniochińskie";"Východočínské moře";"Doğu Çin Denizi";"中\t国\t东\t海";"東\tシナ\t海";"Mar da China Oriental";"Східнокитайське море";"Istočno Kinesko More";"Kelet-kínai-tenger";"동중국해";"Усходне-Кітайскае мора";"Marea Chinei de Est";"中\t國\t東\t海";"东\t部\t海\t域";"Biển Đông Trung Quốc";;
"location/water";"Pacific Ocean";"Océan Pacifique";"Oceano Pacifico";"Pazifischer Ozean";"Océano Pacífico";"Тихий океан";"Ocean Spokojny";"Tichý oceán";"Pasifik Okyanusu";"太\t平\t洋";"太平洋";"Oceano Pacífico";"Тихий океан";"Tihi Okean";"Csendes-óceán";"태평양";"Ціхі акіян";"Oceanul Pacific";"太\t平\t洋";"太\t平\t洋";"Thái Bình Dương";;
"location/peleliu";"Peleliu";"Peleliu";"Peleliu";"Peleliu";"Peleliu";"Пелелиу";"Peleliu";"Peleliu";"Peleliu";"贝\t里\t琉\t岛";"ペレリウ";"Peleliu";"Пелеліу";"Peleilu";"Peleliu";"펠렐리우";"Пелéліу";"Peleliu";"貝\t里\t琉\t島";"岛\t屿\t争\t夺";"Peleliu";;
"location/arcade_africa_canyon";"Canyon, Africa";"Canyon, Afrique";"Canyon, Africa";"Canyon, Afrika";"Cañones de África";"Каньон, Африка";"Kanion, Afryka";"Kaňon, Afrika";"Kanyon, Afrika";"非\t洲\t峡\t谷";"アフリカキャニオン";"Desfiladeiros, África";"Каньйон, Африка";"Kanjon, Afrika";"Afrikai kanyon";"아프리카 협곡";"Каньён, Афрыка";"Canion, Africa";"非\t洲\t峽\t谷";"狂\t野\t峡\t谷";"Canyon, Africa";;
"location/arcade_asia_4roads";"Mountain Ridge, China";"Crête de montagne, Chine";"Catena montuosa, Cina";"Bergkette, China";"Cadena montañosa, China";"Горный кряж, Китай";"Pasmo Górskie, Chiny";"Horský hřeben, Čína";"Dağ Sırtı, Çin";"雅\t鲁\t藏\t布\t大\t峡\t谷";"山脈・\t中国";"Cume da montanha, China";"Гірний кряж, Китай";"Planinski Greben, Kina";"Kínai hegyvidék";"산기슭, 중국";"Горны хрыбет, Кітай";"Muntele Ridge, China";"雅\t魯\t藏\t布\t大\t峽\t谷";"高\t原\t河\t谷";"Núi Ridge, Trung Quốc";;
"location/arcade_phiphi_crater";"African Island, Crater";"Île africaine, Cratère";"Isola Phi Phi, Cratere";"Afrikanische Insel, Krater";"Isla africana, Cráter";"Африканский остров, кратер";"Afrykańska Wyspa, Krater";"Africký ostrov, kráter";"Krater - Afrika Adası";"披\t披\t群\t岛 • 火\t山\t湖";"アフリカの\t島・クレーター";"Ilha Africana, Cratera";"Африканський острів, Кратер";"Afričko Ostrvo, Krater";"Afrikai szigetcsoport (kráter)";"크레이터, 아프리카의 섬";"Афрыканскі востраў, кратар";"Insula Phi Phi, Crater";"披\t披\t群\t島 • 火\t山\t湖";"火\t山\t湖";"Hòn đảo Châu Phi, Hố núi lửa";;
"location/arcade_phiphi_island";"African Island";"Île africaine";"Isola Phi Phi";"Afrikanische Insel";"Isla africana";"Африканский остров";"Afrykańska Wyspa";"Africký ostrov";"Afrika adası";"披\t披\t群\t岛";"アフリカの\t島";"Ilha Africana";"Африканський острів";"Afričko Ostrvo";"Afrikai szigetcsoport";"아프리카의 섬";"Афрыканскі востраў";"Insula Phi Phi";"披\t披\t群\t島";"秘\t密\t基\t地";"Hòn đảo Châu Phi";;
"location/arcade_alps";"Alpine Meadows";"Alpages";"Vette Alpine";"Alpenwiesen";"Praderas Alpinas";"Альпийские луга";"Alpejskie łąki";"Alpské louky";"Alp Dağları";"阿\t尔\t卑\t斯\t牧\t场";"高山草原";"Alpine Meadows";"Альпійські луки";"Alpske livade";"Alpesi rétek";"알프스 초원";"Альпійскія лугі";"Pajiști alpine";"阿\t爾\t卑\t斯\t牧\t場";"草\t甸\t牧\t场";"Alpine Meadows";;
"location/guam";"Guam";"Guam";"Guam";"Guam";"Guam";"Гуам";"Guam";"Guam";"Guam";"关\t岛";"グアム";"Guam";"Гуам";"Guam";"Guam";"괌";"Гуам";"Guam";"關\t島";"决\t胜\t跳\t板";"Guam";;
"location/saipan";"Saipan";"Saipan";"Saipan";"Saipan";"Saipán";"Сайпан";"Sajpan";"Saipan";"Saipan";"塞\t班\t岛";"サイパン";"Saipan";"Сайпан";"Saipan";"Szaipan";"사이판";"Сайпан";"Saipan";"塞\t班\t島";"椰\t风\t岛";"Saipan";;
"location/iwo_jima";"Iwo Jima";"Iwo Jima";"Iwo Jima";"Iwo Jima";"Iwo Jima";"Иводзима";"Iwo Jima";"Iwodžima";"Iwo Jima";"硫\t磺\t岛";"硫黄島";"Iwo Jima";"Іводзіма";"Ivo Džima";"Ivo Dzsima";"이오지마";"Івадзіма";"Iwo Jima";"硫\t磺\t島";"绝\t命\t岛";"Iwo Jima";;
"location/philippine_sea";"Philippine Sea";"Mer des Philippines";"Mare delle Filippine";"Philippinensee";"Mar de Filipinas";"Филиппинское море";"Morze Filipińskie";"Filipínské moře";"Filipin Denizi";"菲\t律\t宾\t海";"フィリピン\t沖";"Mar das Filipinas";"Філіппінське море";"Filipinsko More";"Filippínó-tenger";"필리핀 해";"Філіпінскае мора";"Marea Filipinelor";"菲\t律\t賓\t海";"炽\t热\t海\t洋";"Biển Philippine";;
"location/korea";"Korea";"Corée";"Corea del Nord";"Korea";"Corea";"Корея";"Korea";"Korea";"Kore";"朝\t鲜";"韓国";"Coreia";"Корея";"Koreja";"Korea";"춘천";"Карэя";"Corea";"朝\t鮮";"北\t方\t半\t岛";"Hàn Quốc";;
"location/mozdok";"Mozdok";"Mozdok";"Mozdok";"Mozdok";"Mozdok";"Моздок";"Mozdok";"Mozdok";"Mozdok";"莫\t兹\t多\t克";"モズドク";"Mozdok";"Моздок";"Mozdok";"Mozdok";"모즈도크";"Маздок";"Mozdok";"莫\t茲\t多\t克";"莫\t兹\t多\t克";"Mozdok";;
"location/mozdok_winter";"Winter Mozdok";"Mozdok - Hiver";"Mozdok Invernale";"Mozdok im Winter";"Mozdok Invernal";"Зимний Моздок";"Mozdok zimą";"Zimní Terék";"Mozdok Kış";"莫\t兹\t多\t克 • 冬\t季";"冬の\tモズドク";"Mozdok Invernal";"Зимовий Моздок";"Winter Mozdok";"Mozdok (tél)";"겨울 모즈도크";"Зімовы Маздок";"Winter Mozdok";"莫\t茲\t多\t克 • 冬\t季";"莫\t兹\t多\t克 冬\t季";"Mùa đông Mozdok";;
"location/norway";"Norway";"Norvège";"Norvegia";"Norwegen";"Noruega";"Норвегия";"Norwegia";"Norsko";"Norveç";"挪\t威";"ノルウェー";"Noruega";"Норвегія";"Norveška";"Norvégia";"노르웨이";"Нарвегія";"Norvegia";"挪\t威";"挪\t威";"Na Uy";;
"location/khalkhin_gol";"Khalkhin Gol";"Khalkhin Gol";"Khalkhin Gol";"Chalchin Gol";"Jaljin Gol";"Халхин-Гол";"Chałchin-Goł";"Chalchyn Gol";"Khalkhin Gol";"诺\t门\t罕";"ノモンハン";"Khalkhin Gol";"Халхин-Гол";"Halkin Gol";"Halhin-Gol";"할힌골";"Халхін-Гол";"Halhân Gol";"諾\t門\t罕";"诺\t门\t罕";"Khalkhin Gol";;
"location/avg_kursk";"Kursk - tank battle";"Kursk - Bataille de chars";"Kursk - battaglia tra carri armati";"Kursk - Panzerschlacht";"Kursk - batallas de tanques";"Курск - танковое сражение";"Kursk – bitwa pancerna";"Kursk - pozemní bitva";"Kursk - tank savaşı";"库\t尔\t斯\t克 - 陆\t战";"クルスク";"Kursk - batalha de tanques";"Курськ - танкова битва";"Kursk";"Kurszk (harckocsicsata)";"쿠르스크 - 전차전";"Курск — танкавая бітва";"Kursk – luptă tancuri";"庫\t爾\t斯\t克 - 陸\t戰";"库\t尔\t斯\t克 - 陆\t战";"Kursh - trận đấu xe tăng";;
"location/kursk";"Kursk";"Kursk";"Kursk";"Kursk";"Kursk";"Курск";"Kursk";"Kursk";"Kursk";"库\t尔\t斯\t克";"クルスク";"Kursk";"Курськ";"Kursk";"Kurszk";"쿠르스크";"Курск";"Kursk";"庫\t爾\t斯\t克";"库\t尔\t斯\t克";"Kursk";;
"location/air_race_phiphi_islands";"Tropical Island";"Île Tropicale";"Isola Phi Phi [Gara]";"Tropische Insel";"Isla tropical";"Тропический остров";"Tropikalna Wyspa";"Tropický ostrov";"Tropik Ada";"披\t披\t群\t岛";"熱帯の\t島";"Ilha Tropical";"Тропічний острів";"Tropsko ostrvo";"Trópusi sziget";"열대 도서";"Трапічны востраў";"Insulă tropicală";"披\t披\t群\t島";"秘\t密\t基\t地";"Đảo nhiệt đới";;
"location/moscow";"Moscow";"Moscou";"Mosca";"Moskau";"Moscú";"Москва";"Moskwa";"Moskva";"Moskova";"莫\t斯\t科";"モスクワ";"Moscovo";"Москва";"Moskva";"Moszkva";"모스크바";"Масква";"Moscova";"莫\t斯\t科";"莫\t斯\t科";"Moscow";;
"location/avg_eastern_europe";"Eastern Europe";"Europe de l'est";"Europa Orientale";"Osteuropa";"Europa oriental";"Восточная Европа";"Europa Wschodnia";"Východní Evropa";"Doğu Avrupa";"东\t欧";"東欧";"Europa Oriental";"Східна Європа";"Istočna Evropa";"Kelet-Európa";"동유럽";"Усходняя Еўропа";"Europa de Est";"東\t歐";"东\t欧";"Đông Âu";;
"location/avg_poland";"Poland";"Pologne";"Polonia";"Polen";"Polonia";"Польша";"Polska";"Polsko";"Polonya";"波\t兰";"ポーランド";"Polónia";"Польща";"Poljska";"Lengyelország";"폴란드";"Польшча";"Polonia";"波\t蘭";"分\t割\t之\t地";"Ba Lan";;
"location/normandy";"Coast of France";"Littoral Français";"Normandia";"Küste von Frankreich";"Costa de Francia";"Побережье Франции";"Wybrzeże Francji";"Pobřeží Francie";"Fransa Kıyıları";"法\t国\t海\t岸";"フランスの\t海岸";"Costa de França";"Узбережжя Франції";"Obala Francuske";"Franciaország partja";"프랑스 해안";"Узбярэжжа Францыі";"Coasta Franței";"法\t國\t海\t岸";"登\t陆\t场";"Bờ biển Pháp";;
"location/arcade_ireland";"Ireland";"Irlande";"Irlanda";"Irland";"Irlanda";"Ирландия";"Irlandia";"Irsko";"İrlanda";"爱\t尔\t兰";"アイルランド";"Irlanda";"Ірландія";"Irska";"Írország";"아일랜드";"Ірландыя";"Irlanda";"愛\t爾\t蘭";"爱\t尔\t兰";"Ireland";;
"location/avg_mozdok";"Mozdok - tank battle";"Mozdok - bataille de chars";"Mozdok - battaglia tra carri";"Mosdok - Panzerschlacht";"Mozdok - batallas de tanques";"Моздок - танковое сражение";"Mozdok – bitwa pancerna";"Mozdok - pozemní bitva";"Mozdok - tank savaşı";"莫\t兹\t多\t克 - 陆\t战";"モズドク - 戦車戦";"Mozdok - batalha terrestre";"Моздок - танкова битва";"Mozdok - tenkovska bitka";"Mozdok (harckocsicsata)";"모즈도크 - 전차전";"Маздок — танкавая бітва";"Mozdok – luptă tancuri";"莫\t茲\t多\t克 - 陸\t戰";"莫\t兹\t多\t克 - 陆\t战";"Mozdok - trận đấu xe tăng";;
"location/avg_berlin";"Berlin - tank battle";"Berlin - bataille de chars";"Berlino - battaglia tra carri";"Berlin - Panzerschlacht";"Berlín - batallas de tanques";"Берлин - танковое сражение";"Berlin – bitwa pancerna";"Berlín - pozemní bitva";"Berlin - tank savaşı";"柏\t林 - 陆\t战";"ベルリン - 戦車戦";"Berlim - batalha terrestre";"Берлін - танкова битва";"Berlin - tenkovska bitka";"Berlin (harckocsicsata)";"베를린 - 전차전";"Берлін — танкавая бітва";"Berlin – luptă tancuri";"柏\t林 - 陸\t戰";"心\t脏\t地\t带 - 陆\t战";"Berlin - trận đấu xe tăng";;
"location/avg_krymsk";"Kuban - tank battle";"Kuban - bataille de chars";"Kuban - battaglia tra carri";"Kuban - Panzerschlacht";"Kuban - Batallas de tanques";"Кубань - танковое сражение";"Kubań – bitwa pancerna";"Kubáň - pozemní bitva";"Kuban - tank savaşı";"库\t班 - 陆\t战";"クバン - 戦車戦";"Kuban - batalha terrestre";"Кубань - танкова битва";"Kuban - tenkovska bitka";"Kubán (harckocsicsata)";"쿠반 - 전차전";"Кубань — танкавая бітва";"Kuban - luptă tancuri";"庫\t班 - 陸\t戰";"东\t线\t丘\t陵 - 陆\t战";"Kuban - trận đấu xe tăng";;
"location/avg_stalingrad_factory";"Stalingrad - tank battle";"Stalingrad - bataille de chars";"Stalingrado - battaglia tra carri";"Stalingrad - Panzerschlacht";"Stalingrado - batallas de tanques";"Сталинград - танковое сражение";"Stalingrad – bitwa pancerna";"Stalingrad - pozemní bitva";"Stalingrad - tank savaşı";"斯\t大\t林\t格\t勒 - 陆\t战";"スターリングラード - 戦車戦";"Estalinegrado - batalha terrestre";"Сталінград - танкова битва";"Staljingrad - tenkovska bitka";"Sztálingrád (harckocsicsata)";"스탈린그라드 - 전차전";"Сталінград — танкавая бітва";"Stalingrad - luptă tancuri";"史\t達\t林\t格\t勒 - 陸\t戰";"冬\t将\t军 - 陆\t战";"Stalingrad - trận đấu xe tăng";;
"location/avg_rheinland";"Crossing over the Rhine";"Traversée du Rhin";"Attraversamento del Reno";"Überquerung des Rheins";"Cruce del Rin";"Переправа через Рейн";"Forsowanie Renu";"Přechod přes Rýn";"Ren Nehri Geçidi";"莱\t茵\t河\t畔";"ライン\t川を\t超えて";"Travessia sobre o Reno";"Переправа через Рейн";"Prelazak preko Rajne";"Át a Rajnán";"라인 강 도하";"Пераправа цераз Рэйн";"Traversarea Rinului";"萊\t茵\t河\t畔";"莱\t茵\t河\t畔";"Vượt qua sông Rhine";;
"location/avg_volokolamsk";"Volokolamsk";"Volokolamsk";"Volokolamsk";"Wolokolamsk";"Volokolamsk";"Волоколамск";"Wołokołamsk";"Volokolamsk";"Volokolamsk";"沃\t洛\t科\t拉\t姆\t斯\t克";"ヴォロコラムスク";"Volokolamsk";"Волоколамськ";"Volokolamsk";"Volokolamszk";"볼로콜람스크";"Валакаламск";"Volokolamsk";"沃\t洛\t科\t拉\t姆\t斯\t克";"沃\t洛\t科\t拉\t姆\t斯\t克";"Volokolamsk";;
"location/avg_tunisia_desert";"Tunisia";"Tunisie";"Tunisia";"Tunesien";"Túnez";"Тунис";"Tunezja";"Tunisko";"Tunus";"突\t尼\t斯";"チュニジア";"Tunísia";"Туніс";"Tunis";"Tunézia";"튀니지";"Туніс";"Tunisia";"突\t尼\t西\t亞";"荒\t漠\t小\t镇";"Tunisia";;
"location/avg_snow_alps";"Frozen Pass";"Vallée enneigée";"Alpi";"Gefrorener Pass";"Paso congelado";"Ледяной перевал";"Śnieżna Dolina";"Ledový průsmyk";"Donmuş Geçit";"阿\t尔\t卑\t斯 • 冰\t风\t谷";"極寒の\t山道";"Frozen Pass";"Снігова долина";"Zamrznuti prelaz";"Fagyos hágó";"얼어붙은 산길";"Ледзяны перавал";"Trecătoarea înghețată";"阿\t爾\t卑\t斯 • 冰\t風\t谷";"阿\t尔\t卑\t斯 • 冰\t风\t谷";"Thung lũng băng giá";;
"location/avg_africa_desert";"El Alamein";"El Alamein";"El Alamein";"El Alamein";"El Alamein";"Эль-Аламейн";"El Alamein";"El Alamein";"El Alameyn";"阿\t拉\t曼";"エル ・ アラメイン";"El Alamein";"Ель-Аламейн";"El Alamejn";"el-Alamein";"엘 알라메인";"Эль-Аламейн";"El Alamein";"阿\t拉\t曼";"森\t林\t防\t线";"El Alamein";;
"location/avg_finland";"Finland";"Finlande";"Finlandia";"Finnland";"Finlandia";"Финляндия";"Finlandia";"Finsko";"Finlandiya";"芬\t兰";"フィンランド";"Finlândia";"Фінляндія";"Finska";"Finnország";"핀란드";"Фінляндыя";"Finlanda";"芬\t蘭";"冰\t天\t雪\t地";"Phần Lan";;
"location/avg_iberian_castle";"Iberian Castle";"Château ibérique";"Castello Iberico";"Iberische Burg";"Castillo Ibérico";"Иберийская крепость";"Iberyjski zamek";"Pyrenejský hrad";"İber Kalesi";"伊\t比\t利\t亚\t古\t堡";"イベリアの\t城";"Castelo Ibérico";"Іберійська фортеця";"Iberian Castle";"Ibériai kastély";"이베리아 성";"Іберыйская крэпасць";"Iberian Castle";"伊\t比\t利\t亞\t城\t堡";"Iberian Castle";"Lâu đài Iberian ";;
"location/avg_normandy";"Normandy";"Normandie";"Normandia";"Normandie";"Normandía";"Нормандия";"Normandia";"Normandie";"Normandiya";"诺\t曼\t底";"ノルマンディー";"Normandia";"Нормандія";"Normandija";"Normandia";"노르망디";"Нармандыя";"Normandia";"諾\t曼\t第";"登\t陆\t场";"Normandy";;
"location/avg_hurtgen";"Hürtgen Forest";"Forêt de Hürtgen";"Foresta di Hürtgen";"Hürtgenwald";"Bosque de Hürtgen";"Хюртгенский лес";"Las Hürtgen";"Hürtgenský les";"Hürtgen Ormanı";"许\t特\t根\t森\t林";"ヒュルトゲンの\t森";"Hürtgen Forest";"Ліс Гюртген";"Hurtgen Šuma";"Hürtgeni erdő";"휘르트겐 숲";"Бітва за Гюртґенвальд";"Pădurea Hürtgen";"許\t特\t根\t森\t林";"许\t特\t根\t森\t林";"Rừng Hürtgen";;
"location/avg_korea_lake";"The 38th parallel";"Le 38ème parallèle";"Il 38° Parallelo";"38. Breitengrad";"El paralelo 38";"38-я параллель";"38 równoleżnik";"38. rovnoběžka";"38. Paralel";"朝\t鲜 • 三\t八\t线";"38度線";"O Paralelo 38º";"38-ма паралель";"38. paralela";"38. szélességi fok";"38선";"38-я паралель";"Paralela 38";"朝\t鮮 • 三\t八\t線";"分\t界\t线";"Vĩ tuyến 38";;
"location/avg_karelia_forest_a";"Karelia";"Karelia";"Karelia";"Karelien";"Karelia";"Карелия";"Karelia";"Karélie";"Karelya";"卡\t累\t利\t阿";"カレリア";"Carélia";"Карелія";"Karelija";"Karélia";"카렐리야";"Карэлія";"Karelia";"卡\t瑞\t利\t亞";"卡\t累\t利\t阿";"Karelia";;
"location/avg_karpaty_passage";"Carpathians";"Carpates";"Carpazi";"Karpaten";"Cárpatos";"Карпаты";"Karpaty";"Karpaty";"Karpatlar";"喀\t尔\t巴\t阡\t山";"カルパティア\t山脈";"Cárpatos";"Карпати";"Karpati";"Kárpátok";"카르파티아 산맥";"Карпаты";"Carpați";"喀\t爾\t巴\t阡\t山";"喀\t尔\t巴\t阡\t山";"Carpathians";;
"location/avg_abandoned_factory";"Abandoned Factory";"Usine désaffectée";"Fabbrica Abbandonata";"Verlassene Fabrik";"Fábrica abandonada";"Заброшенный Завод";"Opuszczona fabryka";"Opuštěná továrna";"Terk Edilmiş Fabrika";"废\t弃\t工\t厂";"廃工場";"Abandoned Factory";"Покинутий Завод";"Napuštena Fabrika";"Elhagyatott gyártelep";"버려진 공장";"Закінуты завод";"Fabrica abandonată";"廢\t棄\t工\t廠";"废\t弃\t工\t厂";"Nhà máy bỏ hoang";;
"location/arcade_africa_seashore";"Deserted Coast";"Littoral africain";"Costa Desertica";"Küste der Wüste";"Costa desierta";"Пустынный берег";"Pustynne Wybrzeże";"Opuštěné pobřeží";"Issız Sahil";"沙\t漠\t海\t岸";"寂れた\t海岸";"Deserted Coast";"Безлюдне узбережжя";"Napuštena Obala";"Sivatagi partvidék";"사막 해안";"Пустыннае ўзбярэжжа";"Coastă deșertică";"沙\t漠\t海\t岸";"沙\t漠\t海\t岸";"Bờ biển sa mạc";;
"location/dover_strait";"Dover Strait";"Détroit de Douvres";"Stretto di Dover";"Straße von Dover";"Estrecho de Dover";"Дуврский пролив";"Cieśnina Kaletańska";"Doverská úžina";"Dover Boğazı";"多\t佛\t海\t峡";"ドーバー\t海峡";"Estreitos de Dover";"Дуврська протока";"Doverski Moreuz";"Doveri-szoros";"도버 해협";"Дуўрскі праліў";"Strâmtoarea Dover";"多\t佛\t海\t峽";"海\t峡\t沿\t岸";"Dãi Dover";;
"location/arcade_rice_terraces";"Rice Terraces";"Rizières en terrasses";"Risaie";"Reisterrassen";"Terrazas de arroz";"Рисовые террасы";"Tarasy ryżowe";"Rýžové terasy";"Pirinç Terasları";"丰\t收\t梯\t田";"棚田";"Rice Terraces";"Рисові тераси";"Pirinčana Polja";"Rizsteraszok";"계단식 논";"Рысавыя палі";"Terase de orez";"豐\t收\t梯\t田";"丰\t收\t梯\t田";"Ruộng Bậc Thang";;
