"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"mainmenu/btnUnlockAchievementsAll";"All Challenges";"Tous les défis";"Tutte le Sfide";"Alle Herausforderungen";"Todos los Desafíos";"Все испытания";"Wszystkie Wyzwania";"Všechny výzvy";"Tüm Görevler";"所\t有\t挑\t战";"すべての\tチャレンジ";"Todas as conquistas";"Всі досягнення";"All Challenges";"Minden kihívás";"모든 도전과제";"Усе выпрабаванні";"Toate provocările";"所\t有\t挑\t戰";"所\t有\t挑\t战";;
"mainmenu/UnlockAchievementsToFavorite/hint";"Add the challenge to Favourites";"Ajouter le défi aux favoris";"Aggiungi la sfida ai preferiti";"Füge die Herausforderung den Favoriten hinzu";"Añadir el desafío a Favoritos";"Добавить испытание в избранное";"Dodaj Wyzwanie do Ulubionych";"Přidat výzvu do oblíbených";"Görevi, Favoriler'e ekle";"设\t置\t为\t中\t意\t挑\t战";"チャレンジをお\t気に\t入りに\t追加";"Adicionar a conquista aos favoritos";"Додати випробування в обране";"Add the challenge to Favourites";"Hozzáadás a kedvenc kihívásokhoz.";"선호 도전과제에 추가하기";"Добавить испытание в избранное";"Adăugare provocare la favorite";"設\t置\t為\t中\t意\t挑\t戰";"设\t置\t为\t中\t意\t挑\t战";;
"mainmenu/UnlockAchievementsRemoveFromFavorite/hint";"Remove the challenge from Favourites";"Retirer le défi des favoris";"Rimuovi la sfida dai preferiti";"Entferne die Herausforderung von den Favoriten";"Quitar el desafío de Favoritos";"Убрать испытание из избранных";"Usuń Wyzwanie z Ulubionych";"Odebrat výzvu z oblíbených";"Görevi, Favoriler'den kaldır";"从\t中\t意\t挑\t战\t中\t移\t除";"チャレンジをお\t気に\t入りから\t削除";"Remover a conquista dos favoritos";"Прибрати випробування з обраних";"Remove the challenge from Favourites";"Eltávolítás a kedvencek közül";"선호 도전과제에서 지우기";"Убрать испытание из избранных";"Eliminare provocare din favorite";"從\t中\t意\t挑\t戰\t中\t移\t除";"从\t中\t意\t挑\t战\t中\t移\t除";;
"mainmenu/noFavoriteAchievements";"You have no favourite challenges. You can add challenges to Favourites on the Challenges page.";"Vous n'avez pas de défis en favoris. Vous pouvez ajouter les défis aux favoris depuis la page des défis.";"Non hai delle sfide preferite. Puoi aggiungere delle sfide ai preferiti nella pagina Sfide.";"Du hast keine favorisierten Herausforderungen. Du kannst Herausforderungen über den gleichnamigen Reiter zu deinen Favoriten hinzufügen.";"No tienes desafíos favoritos. Puedes añadir desafíos a Favoritos en la página Desafíos.";"У вас нет избранных испытаний. Добавить испытания в избранные можно на странице Испытания.";"Nie masz żadnych wyzwań w Ulubionych. Możesz je dodać do tej grupy w menu Wyzwań.";"Nemáš žádné oblíbené výzvy, můžeš si je přidat na stránce výzev";"Favori göreviniz yok. Görevler sayfasından Favorilerinize yeni görevler ekleyebilirsiniz.";"尚\t未\t选\t择\t中\t意\t挑\t战。\t你\t可\t以\t在\t挑\t战\t菜\t单\t中\t添\t加\t中\t意\t挑\t战。";"お\t気に\t入りの\tチャレンジがありません。\tチャレンジページから\tチャレンジをお\t気に\t入りに\t追加することができます。";"Não há nenhuma conquista nos favoritos. Pode adicioná-las na página de favoritos.";"У вас немає обраних випробувань. Додати випробування в обрані можна на сторінці Випробування.";"You have no favourite challenges. You can add challenges to Favourites on the Challenges page.";"Nincsenek kedvenc kihívásaid. A „Kihívások” menüben hozzáadhatod őket a kedvenceidhez.";"선호 도전과제가 없습니다. 도전과제 페이지에서 마음에 드는 도전과제를 선호 도전과제에 추가하십시오.";"У вас нет избранных испытаний. Добавить испытания в избранные можно на странице Испытания.";"Nu ai provocări favorite. Poți adăuga provocări în «Favorite» pe pagina «Provocări».";"尚\t未\t選\t擇\t中\t意\t挑\t戰。\t你\t可\t以\t在\t挑\t戰\t選\t單\t中\t添\t加\t中\t意\t挑\t戰。";"尚\t未\t选\t择\t中\t意\t挑\t战。\t你\t可\t以\t在\t挑\t战\t菜\t单\t中\t添\t加\t中\t意\t挑\t战。";;
"mainmenu/decalNoAchievement";"Not available until challenge.";"Indisponible avant que le défi ne soit achevé.";"Non disponibile fino alla sfida.";"Bis zur Herausforderung nicht verfügbar.";"No disponible hasta el desafío.";"Недоступно, пока не пройдено испытание.";"Niedostępne do momentu sprostania Wyzwaniu.";"Není k dispozici až do splnění výzvy";"Göreve kadar kullanılamaz.";"完\t成\t挑\t战\t之\t前\t不\t可\t用。";"チャレンジまでは\t利用できません。";"Não disponível até a conclusão do desafio.";"Недоступно, поки не пройдено виклик.";"Not available until challenge.";"Nem használható a kihívás teljesítéséig.";"도전하는 동안에는 사용 불가능합니다.";"Недоступно, пока не пройдено испытание.";"Indisponibil până la o provocare.";"完\t成\t挑\t戰\t之\t前\t不\t可\t用。";"完\t成\t挑\t战\t之\t前\t不\t可\t用。";;
"mainmenu/btnUserCard";"Player's personal file";"Dossier personnel du joueur";"File personali del giocatore";"Persönliche Datei vom Spieler";"Ficha personal del jugador";"Личное дело игрока";"Karta gracza";"Osobní složka hráče";"Oyuncunun kişisel dosyası";"个\t人\t档\t案";"プレイヤーの\t個人\tファイル";"Perfil do jogador";"Особиста справа гравця";"Player's personal file";"A játékos személyes adatlapja";"개인 파일";"Личное дело игрока";"Detalii jucător";"個\t人\t檔\t案";"个\t人\t档\t案";;
"mainmenu/btnProfile";"Player's personal file";"Dossier personnel du joueur";"File personali del giocatore";"Persönliche Datei vom Spieler";"Ficha personal del jugador";"Личное дело игрока";"Player's personal file";"Osobní složka hráče";"Oyuncunun kişisel dosyası";"个\t人\t档\t案";"プレイヤーの\t個人\tファイル";"Perfil do jogador";"Особиста справа гравця";"Player's personal file";"A játékos személyes adatlapja";"개인 파일";"Личное дело игрока";"Player's personal file";"個\t人\t檔\t案";"Player's personal file";;
"unlocks/chapter/achievements";"Progression";"Progression";"Progressi";"Fortschritt";"Progresión";"Прогресс";"Postęp";"Postup";"İlerleme";"进\t度";"進行状況";"Progressão";"Досягнення";"Progression";"Előrehaladás";"진행";"Ход выканання";"Progres";"進\t度";"进\t度";;
"unlocks/achievement";"New challenge";"Nouveau défi";"Nuova Sfida";"Neue Herausforderung";"Nuevo desafío";"Новое испытание";"Nowe Wyzwanie";"Nová výzva";"Yeni görev";"新\t挑\t战";"新\tチャレンジ";"Novo desafio";"Новий виклик";"New challenge";"Új kihívás";"새로운 도전과제";"Новое испытание";"Provocare nouă";"新\t挑\t戰";"新\t挑\t战";;
"userlog/page/achivements";"Challenges";"Défis";"Sfide";"Herausforderungen";"Desafíos";"Испытания";"Osiągnięcia";"Výzvy";"Görevler";"挑\t战";"チャレンジ";"Conquistas";"Виклик";"Izazovi";"Kihívások";"도전과제들";"Испытания";"Provocări";"挑\t戰";"挑\t战";;
"userlog/buy_unlock/achievement";"You have purchased <color=@userlogColoredText>%s</color> challenge.";"Vous avez acheté le défi <color=@userlogColoredText>%s</color>.";"Hai acquistato la sfida <color=@userlogColoredText>%s</color>.";"Du hast die Errungenschaft <color=@userlogColoredText>%s</color> gekauft.";"Has comprado <color=@userlogColoredText>%s</color> desafío.";"Вы купили испытание <color=@userlogColoredText>%s</color>.";"Zakupiłeś Wyzwanie <color=@userlogColoredText>%s</color>.";"Koupil jsi <color=@userlogColoredText>%s</color> výzvu";"<color=@userlogColoredText>%s</color> görevini satın aldınız.";"已\t成\t功\t购\t买 <color=@userlogColoredText>%s</color> 挑\t战。";"<color=@userlogColoredText>%s</color>チャレンジを\t購入しました。";"Adquirido o challenge <color=@userlogColoredText>%s</color>.";"Ви купили випробування <color=@userlogColoredText>%s</color>.";"You have purchased <color=@userlogColoredText>%s</color> challenge.";"Megvásároltad a(z) <color=@userlogColoredText>%s</color> kihívást.";"<color=@userlogColoredText>%s</color>도전 과제를 구입했습니다.";"Вы купили испытание <color=@userlogColoredText>%s</color>.";"Ai cumpărat provocarea <color=@userlogColoredText>%s</color>.";"已\t成\t功\t購\t買 <color=@userlogColoredText>%s</color> 挑\t戰。";"已\t成\t功\t购\t买 <color=@userlogColoredText>%s</color> 挑\t战。";;
"help/unitInfo";"Here you can see the information about the selected vehicle, the selected crew or favorite challenges.";"Vous pouvez voir ici les informations concernant le véhicule sélectionné, l’équipage sélectionné ou les défis mis en favoris.";"Qui puoi vedere le informazioni sull'unità selezionata, l'equipaggio o le sfide preferite.";"Hier kannst du Infos über das ausgewählte Fahrzeug, die ausgewählte Crew oder deine beliebtesten Errungenschaften erhalten.";"Aquí puedes ver la información sobre el vehículo seleccionado, la tripulación seleccionada o los desafíos favoritos.";"Здесь вы можете посмотреть информацию о выбранной технике, о выбранном экипаже или избранных испытаниях.";"Tu możesz przejrzeć informacje o wybranym pojeżdzie, wybranej załodzie lub ulubionych Wyzwaniach.";"Zde se zobrazuji informace o vybraném stroji, osádce nebo oblíbených výzvách";"Burada seçilen araç, seçilen mürettebat ya da favori görevler hakkında bilgileri görebilirsiniz.";"在\t此\t可\t检\t视\t所\t选\t载\t具\t的\t相\t关\t信\t息\t以\t及\t乘\t员\t组\t和\t中\t意\t挑\t战\t的\t情\t况。";"ここで、\t選択された\t機体、\t選択された\tクルー、\tまたはお\t気に\t入りの\tチャレンジに\t関する\t情報を\t見ることができます。";"Aqui pode ver informação acerca da unidade selecionada, a tripulação selecionada ou conquistas favoritas.";"Тут ви можете подивитися інформацію про техніку, про обрані екіпажі або обрані випробування.";"Here you can see the information about the selected vehicle, the selected crew or favorite challenges.";"Információk a kiválasztott járműről, legénységről és kedvenc kihívásokról.";"현재 도전 과제에 대한 정보를 나타내거나 숨깁니다.";"Здесь вы можете посмотреть информацию о выбранной технике, о выбранном экипаже или избранных испытаниях.";"Aici poți vedea informații despre vehiculul, echipajul sau provocarea selectată.";"在\t此\t可\t檢\t視\t所\t選\t載\t具\t的\t相\t關\t信\t息\t以\t及\t乘\t員\t組\t和\t中\t意\t挑\t戰\t的\t情\t況。";"在\t此\t可\t检\t视\t所\t选\t载\t具\t的\t相\t关\t信\t息\t以\t及\t乘\t员\t组\t和\t中\t意\t挑\t战\t的\t情\t况。";;
"trophy/unlockables_names/achievement";"Challenge";"Défi";"Sfida";"Herausforderung";"Desafío";"Испытание";"Osiągnięcie";"Výzva";"Görev";"挑\t战";"チャレンジ";"Conquista";"Випробування";"Izazov";"Kihívás";"도전과제";"Испытание";"Provocare";"挑\t戰";"挑\t战";;
"xinp/D.Up";"D-pad Up";"DP Haut";"D-pad Su";"DP hoch";"D-pad Arriba";"Крестовина вверх";"Pad Kierunkowy w górę";"D-pad nahoru";"D-pad Yukarı";"十\t字\t键\t上";"方向\tキー\t上";"Direcional para cima";"хрестовина вгору";"D-pad Up";"Irányválasztó fel";"십자버튼 위";"Крыжавіна ўверх";"D-pad sus";"十\t字\t鍵\t上";"十\t字\t键\t上";;
"xinp/D.Down";"D-pad Down";"DP Bas";"D-pad Giù";"DP runter";"D-pad Abajo";"Крестовина вниз";"Pad Kierunkowy w dół";"D-pad dolů";"D-pad Aşağı";"十\t字\t键\t下";"方向\tキー\t下";"Direcional para baixo";"хрестовина вниз";"D-pad Down";"Irányválasztó le";"십자버튼 아래";"Крыжавіна ўніз";"D-pad jos";"十\t字\t鍵\t下";"十\t字\t键\t下";;
"xinp/D.Left";"D-pad Left";"DP Gauche";"D-pad sinistra";"DP links";"D-pad Izquierda";"Крестовина влево";"Pad Kierunkowy w lewo";"D-pad doleva";"D-pad Sol";"十\t字\t键\t左";"方向\tキー\t左";"Direcional para a esquerda";"хрестовина вліво";"D-pad Left";"Irányválasztó balra";"십자버튼 왼쪽";"Крыжавіна ўлева";"D-pad stânga";"十\t字\t鍵\t左";"十\t字\t键\t左";;
"xinp/D.Right";"D-pad Right";"DP Droite";"D-pad destra";"DP rechts";"D-pad Derecha";"Крестовина вправо";"Pad Kierunkowy w prawo";"D-pad doprava";"D-pad Sağ";"十\t字\t键\t右";"方向\tキー\t右";"Direcional para a direita";"хрестовина вправо";"D-pad Right";"Irányválasztó jobbra";"십자버튼 오른쪽";"Крыжавіна ўправа";"D-pad dreapta";"十\t字\t鍵\t右";"十\t字\t键\t右";;
"xinp/Menu";"Menu button";"Touche Menu";"Tasto Menu";"Menü-Taste";"Botón de menú";"Кнопка ""Меню""";"Przycisk Menu";"Tlačítko Menu";"Menü tuşu";"菜\t单\t键";"メニュー ボタン";"Botão de menu";"Кнопка ""Меню""";"Menu button";"Menü gomb";"메뉴 버튼";"Кнопка «Меню»";"Buton «Meniu»";"選\t單\t鍵";"菜\t单\t键";;
"xinp/View";"View button";"Touche Affichage";"Tasto Vista";"Ansicht-Taste";"Botón de vista";"Кнопка ""Просмотр""";"Przycisk podglądu";"Tlačítko Pohled";"Görüş tuşu";"查\t看\t键";"ビュー ボタン";"Botão Ver";"Кнопка ""Перегляд""";"View button";"Megtekintés gomb";"보기 버튼";"Кнопка «Прагляд»";"Buton «Vizualizare»";"查\t看\t鍵";"查\t看\t键";;
