"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"missions/testSail";"Test Sail";"Essai en mer";"Navigazione di prova";"Testfahrt";"Navegación de Prueba";"Пробный выход";"Rejs próbny";"Zkušební plavba";"Denize Açılma Testi";"试\t航";"テスト\t航海";"Testar embarcação";"Пробний вихід";"Probna plovidba";"Teszthajózás";"시험 항해";"Пробны выхад";"Testare navă";"試\t航";"试\t航";"Lái thử";;
"missions/testDrive";"Test Drive";"Essai";"Guida di Prova";"Testfahrt";"Conducción de Prueba";"Пробный выезд";"Jazda próbna";"Zkušební jízda";"Sürüş Testi";"试\t驾";"テストドライブ";"Teste de Condução";"Пробний виїзд";"Probna Vožnja";"Tesztvezetés";"시험 주행";"Пробны выезд";"Testare vehicul";"試\t駕";"试\t驾";"Lái thử";;
"MISSION_TRAINING_LANG_KEEP_IT_ALWAYS_FIRST";;;;;;;;;;;;;;;;;;;;;;"";
"missions/aerobatic_smoke_preview";"Aerobatic smoke preview";"Aperçu de la fumée acrobatique ";"Anteprima fumi acrobatici";"Vorschau des Kunstflugrauches";"Previsualización del humo acrobático";"Предпросмотр пилотажного дыма";"Podgląd dymu akrobatycznego";"Ukázka akrobatického kouře";"Akrobasi dumanı ön izlemesi";"试\t用\t特\t技\t飞\t行\t烟\t雾";"高等飛行\tスモークプレビュー";"Pré-visualização do fumaça aerobática";"Попередній перегляд пілотажного диму";"Isprobavanje akrobatskog dima";"Műrepülő füst előnézete";"공중곡예용 연기 미리보기";"Папярэдні прагляд пілатажнага дыму";"Aerobatic smoke preview";"試\t用\t特\t技\t飛\t行\t煙\t霧";"试\t用\t特\t技\t飞\t行\t烟\t雾";"Xem trước khói nhào lộn trên không";;
"missions/test_flight_denmark";"Western Europe";"Europe de l'Ouest";"Europa Occidentale";"Osteuropa";"Europa Occidental";"Западная Европа";"Europa Zachodnia";"Západní Evropa";"Batı Avrupa";"西\t欧";"西\tヨーロッパ";"Europa Ocidental";"Західна Європа";"Western Europe";"Western Europe";"서유럽";"Заходняя Еўропа";"Western Europe";"西\t歐";"Western Europe";"Tây Âu";;
"missions/test_flight_ladoga";"Eastern Europe. Winter";"Europe de l'Est. Hiver";"Europa Orientale. Inverno";"Osteuropa, Winter";"Europa del Este. Invierno";"Восточная Европа. Зима";"Europa Wschodnia. Zima.";"Východní Evropa. Zima.";"Doğu Avrupa. Kış";"东\t欧 • 冬\t季";"東\tヨーロッパ。\t冬";"Europa Oriental. Inverno";"Західна Європа. Зима";"Eastern Europe. Winter";"Eastern Europe. Winter";"동유럽 (겨울)";"Усходняя Еўропа. Зіма";"Eastern Europe. Winter";"東\t歐 • 冬\t季";"Eastern Europe. Winter";"Đông Âu. Mùa đông";;
"missions/test_flight_tunisia";"Desert";"Désert";"Deserto";"Wüste";"Desierto";"Пустыня";"Pustynia";"Poušť";"Çöl";"沙\t漠";"砂漠";"Deserto";"Пустеля";"Desert";"Desert";"사막";"Пустыня";"Desert";"沙\t漠";"Desert";"Sa mạc";;
"missions/test_flight_afghan";"Mountains";"Montagnes";"Montagne";"Berge";"Montañas";"Горы";"Góry";"Hory";"Dağlar";"山\t地";"山地";"Montanhas";"Гори";"Mountains";"Mountains";"산악 지대";"Горы";"Mountains";"山\t地";"Mountains";"Núi";;
"missions/test_flight_equatorial_island";"Jungle";"Jungle";"Giungla";"Dschungel";"Jungla";"Джунгли";"Dżungla";"Džungle";"Orman";"丛\t林";"ジャングル";"Selva";"Джунглі";"Jungle";"Jungle";"정글";"Джунглі";"Jungle";"叢\t林";"Jungle";"Rừng";;
"missions/test_flight_israel";"Middle East. Mediterranean";"Moyen-Orient. Méditerranée";"Medioriente. Mediterraneo";"Mittlerer Osten, Mediterran";"Oriente Medio. Mediterráneo";"Ближний Восток. Средиземноморье";"Bliski Wschód. Śródziemnomorski";"Blízký Východ. Středomoří";"Orta Doğu. Akdeniz";"中\t东 • 地\t中\t海";"中東。\t地中海";"Oriente Médio. Mediterrâneo";"Близький схід. Середземномор'я";"Middle East. Mediterranean";"Middle East. Mediterranean";"중동, 지중해";"Блізкі Усход. Міжземнамор'е";"Middle East. Mediterranean";"中\t東 • 地\t中\t海";"Middle East. Mediterranean";"Trung Đông Địa Trung Hải";;
