"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"hon_usa_sbd_m01_takeoff";"Take off and fly to the Oahu Island";"Décollez et allez jusqu’à l’île d'Oahu";"Decolla e dirigiti all'isola di Oahu";"Starte und fliege zur Insel Oahu";"Despegue y vuele hacia la Isla Oahu";"Взлетите и следуйте к острову Оаху";"Wystartuj i leć na wyspę Oahu";"Vzlétni a leť k ostrovu Oahu";"Kalkış yap ve Oahu Adası'na uç";"起\t飞\t前\t往\t瓦\t胡\t岛";"離陸し、\tオアフ\t島へ\t向け\t飛行せよ";"Descole/Decole e voe até a ilha de Oahu";"Take off and fly to the Oahu Island";"Злетіть та прямуйте до острова Оаху";"Uzleti i leti do ostrva Oahu";"Szállj fel, és repülj Oahu szigetéhez";"이륙한 다음 오아후 섬으로 비행하라";"Узляціце і накіроўвайцеся да вострава Ааху";"Decolează și zboară spre insula Oahu";"起飛並飛往歐胡島";"起\t飞\t前\t往\t瓦\t胡\t岛";;
"hon_usa_sbd_m02_search";"Search sector for enemy planes";"Rechercher les avions ennemis dans le secteur";"Cerca aerei nemici nel settore";"Suche das Gebiet nach feindlichen Flugzeugen ab";"Busque aviones enemigos en el sector";"Исследуйте сектор в поисках вражеских самолётов";"Zbadaj obszar w poszukiwaniu wrogich samolotów.";"Najděte v sektoru nepřátelská letadla";"Sektörde düşman uçağı ara";"搜\t索\t防\t区\t，\t寻\t找\t敌\t机";"セクター\t内の\t敵機を\t捜査せよ";"Procura no sector por aviões inimigos";"Search sector for enemy planes";"Дослідіть сектор у пошуках ворожих літаків";"Pretraži oblast za neprijateljskim avionima ";"Kutasd át a szektort ellenséges repülőgépek után";"적기를 찾아내기 위해 구역을 수색하라";"Правядзіце выведку раёна ў пошуках варожых самалётаў";"Verifică dacă sunt avioane inamice în sector";"搜索防區，尋找敵機";"搜\t索\t防\t区\t，\t寻\t找\t敌\t机";;
"hon_usa_sbd_m03_fly";"Fly to Ford Island";"Volez jusqu’à l’île de Ford";"Dirigiti a Ford Island";"Fliege nach Ford Island";"Vuele hacia la Isla Ford";"Следуйте к острову Форд";"Leć na wyspę Forda";"Leťte k Fordovu ostrovu";"Ford Adası'na uç";"飞\t往\t福\t特\t岛";"フォード\t島へ\t向け\t飛行せよ";"Voe para a ilha de Ford";"Fly to Ford Island";"Прямуйте до острова Форд";"Leti do ostrva Ford";"Repülj a Ford-szigethez";"포드 섬으로 비행하라";"Накіроўвайцеся да вострава Форд";"Zboară spre insula Ford";"飛往福特島";"飞\t往\t福\t特\t岛";;
"hon_usa_sbd_m04_fly_ewa";"Return to the Ewa airfield";"Retournez à l'aérodrome d'Ewa";"Torna all'aeroporto di Ewa";"Kehre zum Flugplatz in Ewa zurück";"Regrese al aeródromo de Ewa";"Возвращайтесь на аэродром ""Ева""";"Wróć na lotnisko Ewa.";"Vraťte se na letiště Ewa";"Ewa havaalanına geri dön";"返\t回\t伊\t瓦\t机\t场";"エワ\t飛行場に\t戻れ";"Volte ao aeródromo de Ewa";"Return to the Ewa airfield";"Повертайтесь на аеродром ""Єва""";"Vrati se na aerodrom Eva";"Térj vissza az Ewa repülőtérre";"에바 비행장으로 복귀하라";"Вяртайцеся на аэрадром «Ева»";"Revino la aerodromul Ewa";"回到埃瓦機場";"返\t回\t伊\t瓦\t机\t场";;
"hon_usa_sbd_m05_fight_ewa";"Escape from the pursuit";"Échappez à la poursuite";"Scappa dall'inseguimento";"Entkomme den Verfolgern";"Escape de la persecución";"Оторвитесь от погони";"Zgub pościg.";"Unikněte pronásledovatelům";"Takipten kurtul";"摧\t毁\t追\t击\t的\t敌\t机";"追撃を\t振り\t切れ";"Escape da perseguição";"Escape from the pursuit";"Відірвіться від гонитви";"Pobegni od napadača";"Rázd le az üldözőidet";"추격을 따돌려라";"Адарвіцеся ад пагоні";"Scapă de urmăritori";"摧毀追擊的敵機";"摧\t毁\t追\t击\t的\t敌\t机";;
"hon_usa_sbd_m06_land";"Return to Enterprise to report about Japanese attack on Pearl Harbor";"Retourner à l'Enterprise pour faire un rapport sur l'attaque japonaise du port Pearl ";"Ritorna alla Enterprise e fai rapporto sugli attacchi giapponesi a Pearl Harbour";"Kehre zur Enterprise zurück und erstatte Bericht über den japanischen Angriff auf Pearl Harbour";"Regrese al Enterprise para informar sobre el ataque de los japoneses a Pearl Harbor";"Возвращайтесь на ""Энтерпрайз"", чтобы сообщить о нападении японцев на Перл-Харбор";"Wróć na lotniskowiec Enterprise, by powiadomić o ataku Japończyków na Pearl Harbor.";"Vraťte se na Enterprise a podejte hlášení o útoku na Pearl Harbor";"Japonların Pearl Harbor saldırısını bildirmek için Enterprise'a geri dön";"返\t回\t“\t企\t业\t”\t号\t，\t汇\t报\t日\t本\t偷\t袭\t珍\t珠\t港\t的\t相\t关\t情\t况";"エンタープライズに\t帰還せよ";"Regresse ao Enterprise e para relatar o ataque japonês a Pearl Harbor";"Return to Enterprise to report about Japanese attack on Pearl Harbor";"Повертайтесь на ""Ентерпрайз, щоб повідомити про напад японців на Перл-Гарбор";"Vrati se na Enterprajz i raportiraj o japanskom napadu na Perl Harbor";"Térj vissza a USS Enterprise repülőgép-hordozóra, és jelents a japánok Pearl Harbor elleni támadásáról";"일본군의 진주만 공격에 대한 보고를 하러 엔터프라이즈로 돌아가라";"Вяртайцеся на авіяносец «Энтэрпрайз», каб паведаміць пра напад японцаў на Пёрл-Харбар";"Revino la Enterprise pentru a raporta despre atacul japonezilor asupra Pearl Harbor";"返回 企業 號，匯報日本偷襲珍珠港的相關情況";"返\t回\t“\t企\t业\t”\t号\t，\t汇\t报\t相\t关\t情\t况";;
"corS_mission00_fly00";"Take off and proceed to the Tulagi Island";"Décollez et allez vers l’île de Tulagi";"Decolla e dirigiti all'isola di Tulagi";"Starte und begib dich zur Insel Tulagi";"Despegue y diríjase hacia la isla Tulagi";"Взлетите и следуйте к острову Тулаги";"Wystartuj i poleć nad wyspę Tulagi.";"Vzlétněte a pokračujte na ostrov Tulagi";"Kalkış yap ve Tulagi Adası'na uç";"起\t飞\t前\t往\t图\t拉\t吉\t岛";"離陸して\tツラギ\t島へ\t向かえ";"Descole e siga para a ilha de Tulagi";"Take off and proceed to the Tulagi Island";"Злетіть та прямуйте до острова Тулагі";"Poleti i nastavi ka Tulagi ostrvu";"Szállj fel, és repülj Tulagi szigetéhez";"이륙한 뒤 툴라기 섬으로 비행하라";"Узляціце і накіроўвайцеся да вострава Тулагі";"Decolează și îndreaptă-te spre insula Tulagi";"起飛前往圖拉吉島";"起\t飞\t前\t往\t图\t拉\t吉\t岛";;
"corS_mission00_fly01";"Explore the area near the island's shores";"Explorez la zone proche des rivages de l'île";"Esplora l'area vicino alla costa";"Erkunde die Umgebung in Ufernähe der Insel";"Explore el área cercana a las costas de la isla";"Исследуйте область около берегов острова";"Zbadaj obszar przy wybrzeżu wyspy.";"Prozkoumejte oblast poblíž pobřeží ostrova";"Ada kıyılarına yakın bölgelerde keşif yap";"探\t索\t岛\t屿\t周\t边\t海\t域";"島の\t沿岸部地域を\t調査せよ";"Explore a área perto da costa da ilha";"Explore the area near the island's shores";"Дослідіть область біля берегів острову";"Istraži područje u blizini obale ostrva";"Derítsd fel a sziget part menti területeit";"섬의 해안가 인근을 수색하라";"Правядзіце выведку прыбярэжнага раёна вострава";"Explorează zona din apropierea țărmului insulei";"探索島嶼週邊海域";"探\t索\t岛\t屿\t周\t边\t海\t域";;
"corS_mission00_att00";"Attack the hostile hydroplanes";"Attaquez les hydravions ennemis";"Attacca gli idrovolanti nemici";"Greife die feindlichen Wasserflugzeuge an";"Ataca a los hidroaviones enemigos";"Атакуйте вражеские гидропланы";"Zaatakuj wrogie wodnosamoloty.";"Zaútočte na nepřátelské hydroplány";"Düşman deniz uçaklarına saldır";"攻\t击\t敌\t方\t水\t上\t飞\t机";"敵\tチームの\t水上機を\t撃墜せよ";"Ataque os hidroaviões hostis";"Attack the hostile hydroplanes";"Атакуйте ворожі гідроплани";"Napadni neprijateljske hidroavione";"Támadd meg az ellenséges hidroplánokat";"적 수상기를 공격하라";"Атакуйце варожыя гідрапланы";"Atacă hidroavioanele ostile";"攻擊敵方水上飛機";"攻\t击\t敌\t方\t水\t上\t飞\t机";;
"corS_mission00_att01";"Attack the destroyer by shooting at it";"Attaquez le croiseur en lui tirant dessus";"Spara al cacciatorpediniere ";"Nimm den Zerstörer unter Beschuss";"Ataca disparando al destructor";"Атакуйте эсминец стрельбой по нему";"Zaatakuj niszczyciel, strzelając do niego.";"Zaútočte na torpédoborec palbou";"Destroyere saldır ve ateş et";"扫\t射\t敌\t方\t驱\t逐\t舰";"敵\tチームの\t駆逐艦を\t砲撃せよ";"Ataque o contratorpedeiro, disparando contra ele";"Attack the destroyer by shooting at it";"Атакуйте есмінець стрільбою по ньому";"Pucaj na razarač da bi ga uništio";"Nyiss tüzet a rombolóra";"구축함에 기총소사를 가하라";"Атакуйце эсмінец, страляючы па ім";"Atacă distrugătorul trăgând în el";"掃射敵方驅逐艦";"扫\t射\t敌\t方\t驱\t逐\t舰";;
"corS_mission00_fly02";"Return to Yorktown";"Retournez à Yorktown";"Torna alla Yorktown";"Kehre zur Yorktown zurück";"Regresa al Yorktown";"Возвращайтесь к ""Йорктауну""";"Wróć na Yorktown.";"Vraťte se na Yorktown";"Yorktown'a geri dön";"返\t回\t“\t约\t克\t城\t”\t号";"ヨークタウンに\t帰艦せよ";"Regresse para Yorktown";"Return to Yorktown";"Повертайтесь до ""Йорктауну""";"Vrati se na Jorktaun";"Térj vissza a USS Yorktown repülőgép-hordozóhoz";"요크타운으로 귀환하라";"Вяртайцеся на авіяносец «Ёрктаун»";"Revino la Yorktown";"返回到 約克鎮 號";"返\t回\t“\t约\t克\t城\t”\t号";;
"corS_mission01_fly00";"Take off and proceed to the designated waypoint";"Décollez et allez vers le point de navigation indiqué";"Decolla e dirigiti al punto di rotta indicato";"Starte und begib dich zum vorgesehenen Wegpunkt";"Despega y dirígete hacia el punto de ruta señalado";"Взлетите и проследуйте по указанному маршруту";"Wystartuj i leć do wyznaczonego punktu.";"Vzlétni a pokračuj k určenému orientačnímu bodu";"Kalkış yap ve planlanan güzergah noktasına uç";"起\t飞\t前\t往\t指\t定\t导\t航\t点";"離陸して\t合流地点へ\t向かえ";"Descole e siga para o ponto designado";"Take off and proceed to the designated waypoint";"Злетіть та слідуйте по вказаному маршруту";"Poleti i nastavi do obeleženog mesta";"Szállj fel, és menj a kijelölt útvonalponthoz";"이륙한 뒤 항로점으로 비행하라";"Узляціце і накіроўвайцеся па вызначаным маршруце";"Decolează și îndreaptă-te spre punctul marcat";"起飛前往指定的導航點";"起\t飞\t前\t往\t指\t定\t导\t航\t点";;
"corS_mission01_fly01";"Follow the new course";"Suivez le nouvel itinéraire";"Segui la nuova direzione";"Folge dem neuen Kurs";"Siga la nueva dirección";"Двигайтесь по новому маршруту";"Podążaj nową trasą.";"Sledujte nový kurs";"Yeni güzergahı izle";"沿\t新\t航\t线\t飞\t行";"指定地点まで\t飛行隊を\t誘導せよ";"Siga o novo curso";"Follow the new course";"Прямуйте по новому маршруту";"Prati novi kurs";"Kövesd az új útvonalat";"새로운 경로를 따라가라";"Рухайцеся па новым маршруце";"Urmează noul curs";"沿新航線飛行";"沿\t新\t航\t线\t飞\t行";;
"corS_mission01_att00";"Finish off the carrier";"Détruisez le transporteur";"Distruggi la portaerei";"Gib dem Flugzeugträger den Rest";"Acabe con el portaaviones";"Добейте авианосец";"Wykończ lotniskowiec.";"Dorazte letadlovou loď";"Uçak gemisinin işini bitir";"干\t掉\t那\t艘\t航\t母";"空母を\t攻撃せよ";"Termine com o porta-aviões";"Finish off the carrier";"Добийте авіаносець ";"Dokrajči nosač";"Semmisítsd meg a repülőgép-hordozót";"항공모함에 최후의 타격을 날려라";"Дабіце авіяносец";"Distruge portavionul";"幹掉那艘航母";"干\t掉\t那\t艘\t航\t母";;
"corS_mission01_fly02";"Return to Yorktown";"Retournez à Yorktown";"Torna alla Yorktown";"Kehre zur Yorktown zurück";"Regrese a Yorktown";"Возвращайтесь к ""Йорктауну""";"Wróć na Yorktown.";"Vraťte se na Yorktown";"Yorktown'a geri dön";"返\t回\t“\t约\t克\t城\t”\t号";"ヨークタウンに\t帰艦せよ";"Regresse a Yorktown";"Return to Yorktown";"Повертайтесь до ""Йорктауну""";"Vrati se na Jorktaun";"Térj vissza a USS Yorktown repülőgép-hordozóhoz";"요크타운으로 귀환하라";"Вяртайцеся на авіяносец «Ёрктаун»";"Revino la Yorktown";"返回到 約克鎮 號";"返\t回\t“\t约\t克\t城\t”\t号";;
"corS_mission01_land";"Land on the carrier";"Attérissage des portes-avions";"Atterra sulla portaerei";"Lande auf dem Flugzeugträger";"Aterrice en el portaaviones";"Совершите посадку на палубу авианосца";"Wyląduj na pokładzie lotniskowca.";"Přistaň na letadlové lodi";"Uçak gemisine iniş yap";"在\t航\t母\t上\t降\t落";"空母へ\t着艦せよ";"Pouse no porta-aviões";"Land on the carrier";"Виконайте посадку на палубу авіаносця";"Sleti na nosač aviona";"Szállj le a repülőgép-hordozóra";"항공모함에 착함하라";"Пасадзіце самалёт на палубу авіяносца";"Aterizează pe portavion";"在航母上降落";"在\t航\t母\t上\t降\t落";;
"corS_mission02_fly00";"Take off from the carrier and proceed to the designated waypoint";"Décollez du porte-avions et allez vers le point de navigation indiqué";"Decolla dalla portaerei e dirigiti al punto di rotta indicato";"Starte vom Flugzeugträger und begib dich zum vorgesehenen Wegpunkt";"Despegue desde el portaaviones y diríjase hacia el punto de avance indicado";"Взлетите и проследуйте по указанному маршруту";"Wystartuj z pokładu lotniskowca i leć do wyznaczonego punktu.";"Vzlétni z letadlové lodi a pokračuj k určenému orientačnímu bodu";"Uçak gemisinden kalkış yap ve planlanan güzergah noktasına uç";"从\t航\t母\t上\t起\t飞\t，\t前\t往\t指\t定\t导\t航\t点";"離陸後、\t指定地点へ\t向かえ";"Descole do porta-aviões e prossiga ao ponto designado";"Take off from the carrier and proceed to the designated waypoint";"Злетіть та слідуйте по вказаному маршруту";"Poleti sa nosača i nastavi ka obeleženom mestu";"Szállj fel a repülőgép-hordozóról, és menj a kijelölt útvonalponthoz";"항공모함에서 이륙한 뒤 항로점으로 비행하라";"Узляціце і накіроўвайцеся па вызначаным маршруце";"Decolează de pe portavion și îndreaptă-te spre punctul marcat";"從航母上起飛，前往指定導航點";"从\t航\t母\t上\t起\t飞\t，\t前\t往\t指\t定\t导\t航\t点";;
"corS_mission02_att00";"Engage the enemy bombers";"Engagez le combat avec les bombardiers ennemis";"Attacca i bombardieri nemici";"Greife die feindlichen Bomber an";"Ataque los bombarderos enemigos";"Перехватите вражеские бомбардировщики";"Zaatakuj wrogie bombowce.";"Zaútočte na nepřátelské bombardéry";"Düşman bombardıman uçaklarına ateş aç";"与\t敌\t军\t轰\t炸\t机\t接\t战";"敵の\t爆撃機を\t撃墜せよ";"Ataque os bombardeiros inimigos";"Engage the enemy bombers";"Перехопіть ворожі бомбардувальники";"Napadni neprijateljske bombardere";"Támadd meg az ellenséges bombázókat";"적 폭격기와 교전하라";"Перахапіце варожыя бамбардзіроўшчыкі";"Atacă bombardierele inamice";"與敵軍轟炸機接戰";"与\t敌\t军\t轰\t炸\t机\t接\t战";;
"corS_mission02_att01";"Attack the enemy torpedo planes";"Attaquez les avions-torpilleurs ennemis";"Attacca i portasiluri nemici";"Greife die feindlichen Torpedobomber an";"Ataque a los aviones torpedo enemigos";"Атакуйте вражеские торпедоносцы";"Zaatakuj wrogie samoloty torpedowe.";"Zaútočte na nepřátelská torpédová letadla";"Düşman torpido uçaklarına saldır";"攻\t击\t敌\t军\t鱼\t雷\t机";"敵の\t雷撃機を\t撃墜せよ";"Ataque os torpedeiros inimigos";"Attack the enemy torpedo planes";"Атакуйте ворожі торпедоносці";"Napadni neprijateljske torpedne avione";"Támadd meg az ellenséges torpedóbombázókat";"적의 뇌격기를 공격하라";"Атакуйце варожыя тарпеданосцы";"Atacă avioanele torpiloare inamice";"攻擊敵軍魚雷機";"攻\t击\t敌\t军\t鱼\t雷\t机";;
"corS_mission02_fly01";"Land on Zuikaku";"Atterrir à Zuikaku";"Atterra a Zuikaku";"Lande auf der Zuikaku";"Aterrice en el Zuikaku";"Посадите самолёт на палубу ""Дзуйкаку""";"Wyląduj na Zuikaku.";"Přistaň na Zuikaku";"Zuikaku'ya iniş yap";"在\t“\t瑞\t鹤\t”\t号\t上\t降\t落";"瑞鶴に\t帰艦せよ";"Aterre em Zuikaku";"Land on Zuikaku";"Посадить літак на палубу ""Дзуйкаку""";"Sleti na Zuikaku";"Szállj le a Zuikaku repülőgép-hordozóra";"즈이카쿠에 착함하라";"Пасадзіце самалёт на палубу авіяносца «Дзуйкаку»";"Aterizează pe Zuikaku";"在 瑞鶴 號上降落";"在\t“\t瑞\t鹤\t”\t号\t上\t降\t落";;
"corS_mission02_att02";"Engage the enemy planes";"Engagez le combat avec les avions ennemis";"Attacca gli aerei nemici";"Greife die feindlichen Flugzeuge an";"Enfrente a los aviones enemigos";"Перехватите вражеские самолёты";"Zaatakuj wrogie samoloty.";"Zaútočte na nepřátelská letadla";"Düşman uçaklarına ateş aç";"与\t敌\t机\t接\t战";"敵機を\t撃墜せよ";"Ataque os aviões inimigos";"Engage the enemy planes";"Перехопіть ворожі літаки";"Napadni neprijateljske avione";"Támadd meg az ellenséges repülőgépeket";"적기와 교전하라";"Перахапіце варожыя самалёты";"Atacă avioanele inamice";"與敵機接戰";"与\t敌\t机\t接\t战";;
