"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"item/discount/description/repair/rank_premium";"{discount} discount on repairing any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la réparation de tout véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sulle riparazioni di qualsiasi unità di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf die Reparatur jeglicher Rang-{rank}-Premiumfahrzeuge{countryNameOptional}.";"{discount} de descuento en la reparación de cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на ремонт любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na naprawę dowolnej maszyny premium ery {rank}{countryNameOptional}.";"{discount} sleva na opravu jakéhokoliv prémiového stroje {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium aracın{countryNameOptional} tamirinde {discount} indirim.";"维\t修\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\tランク {rank} の\tプレミアム\t機体{countryNameOptional} の\t修復で {discount} 割引。";"<color=@userlogColoredText>{discount}%</color> de desconto na reparação de qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on repairing any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ремонт будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na popravku svih premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú prémiumjármű javítására. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비 수리비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на рамонт любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru repararea oricărui vehicul special de rang {rank} {countryNameOptional}.";"維修任意 {rank} 等級高級載具 {countryNameOptional} 費用享有 {discount} 折扣優惠。";"维\t修\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/repair/aircraft";"{discount} discount on repairing vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur la réparations du véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto suller riparazioni dell'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf die Reparatur des Fahrzeugs: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento reparando el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на ремонт техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na naprawę maszyny: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na opravu stroje <color=@userlogColoredText>{aircraftName}</color>";"Aracın tamirinde {discount} indirim: <color=@userlogColoredText>{aircraftName}</color>";"维\t修\t <color=@userlogColoredText>{aircraftName}</color> \t享\t受\t {discount} \t优\t惠";"<color=@userlogColoredText>{aircraftName}</color> の\t修復が {discount} 割引です。";"{discount} de desconto na reparação do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on repairing vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на ремонт техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na popravku vozila: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény a(z) <color=@userlogColoredText>{aircraftName}</color> jármű javítására.";"<color=@userlogColoredText>{aircraftName}</color> 수리비 {discount} 할인";"Зніжка {discount} на рамонт тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru repararea vehiculului: <color=@userlogColoredText>{aircraftName}</color>";"維修載具 <color=@userlogColoredText>{aircraftName}</color> 費用享有 {discount} 折扣優惠。";"维\t修\t <color=@userlogColoredText>{aircraftName}</color> \t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/repair/aircraft/multiple";"Up to {discount} discount on repairing vehicles.";"Jusqu'à {discount} de réduction sur la réparation des véhicules.";"Fino al {discount} di sconto sulle riparazioni delle unità.";"Bis zu {discount} Rabatt auf die Reparatur von Fahrzeugen.";"hasta un {discount} de descuento en la reparación de vehiculos.";"Скидка до {discount} на ремонт техники.";"Do {discount} zniżki na naprawę maszyn.";"Až {discount} sleva na opravu stroje";"Araçların tamirinde {discount}'a varan indirim.";"维\t修\t载\t具\t最\t高\t享\t受\t {discount} \t优\t惠";"機体の\t修復が\t最大 {discount} 割引です。";"Até {discount} de desconto na reparação de veículos.";"Up to {discount} discount on repairing vehicles.";"Знижка до {discount} на ремонт техніки.";"Popust na popravku vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény járművek javítására.";"수리비 최대 {discount} 할인";"Зніжка да {discount} на рамонт тэхнікі.";"Până la {discount} reducere pentru repararea vehiculelor.";"維修載具享有最高 {discount} 的折扣。";"维\t修\t载\t具\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/all";"{discount} discount on modification purchase for any vehicle{countryNameOptional}.";"Remise de {discount} sur l'achat d'une modification pour tout véhicule{countryNameOptional}.";"{discount} di sconto sull'acquisto delle modifiche di qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf den Kauf von Modifikationen für jegliches Fahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de la mejora de cualquier vehículo{countryNameOptional}.";"Скидка {discount} на покупку модификаций любой техники{countryNameOptional}.";"{discount} zniżki na zakup modyfikacji do dowolnej maszyny{countryNameOptional}.";"{discount} sleva na nákup modifikací pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir aracın{countryNameOptional} modifikasyon alımında {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"任意の\t機体{countryNameOptional} での\t改造の\t購入で {discount} 割引されます。";"{discount} de desconto na aquisição de modificações em qualquer veículo{countryNameOptional}.";"{discount} discount on modification purchase for any vehicle{countryNameOptional}.";"Знижка {discount} на придбання модифікацій будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu modifikacija za sva vozila {countryNameOptional}.";"{discount} kedvezmény bármelyik jármű modifikációinak megvásárlására. {countryNameOptional}";"모든 장비의 부품 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю мадыфікацый любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru modificările cumpărate pentru orice vehicul {countryNameOptional}.";"購買任意載具 {countryNameOptional} 改裝部件費用享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/all_premium";"{discount} discount on modification purchase for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur l'achat d'une modification pour tout véhicule premium{countryNameOptional}.";"{discount} di sconto sull'acquisto delle modifiche di qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf den Kauf von Modifikationen für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de la modificación de cualquier vehículo premium {countryNameOptional}.";"Скидка {discount} на покупку модификаций любой премиумной техники{countryNameOptional}.";"{discount} zniżki na zakup modyfikacji do dowolnej maszyny premium{countryNameOptional}.";"{discount} sleva na nákup modifikací pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium aracın{countryNameOptional} alınmasında {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"全ての\tプレミアム\t機体({countryNameOptional}) 改造 {discount} 割引。";"{discount} de desconto na aquisição de modificações em qualquer veículo premium{countryNameOptional}.";"{discount} discount on modification purchase for any premium vehicle{countryNameOptional}.";"Знижка {discount} на придбання модифікацій будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu modifikacija za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény bármelyik prémiumjármű modifikációinak megvásárlására. {countryNameOptional}";"모든 프리미엄 장비의 부품 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю мадыфікацый любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru modificările cumpărate pentru orice vehicul special {countryNameOptional}.";"購買任意高級載具 {countryNameOptional} 改裝部件費用享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/rank";"{discount} discount on modification purchase for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur l'achat d'une modification pour tout véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sull'acquisto delle modifiche di qualsiasi unità di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf den Kauf von Modifikationen für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount} de descuento en la compra de la modificación de cualquier vehículo de rango{rank}{countryNameOptional}.";"Скидка {discount} на покупку модификаций любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na zakup modyfikacji dowolnej maszyny ery {rank}{countryNameOptional}.";"{discount} sleva na nákup modifikací pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"{rank}. seviye herhangi bir aracın{countryNameOptional} modifikasyon alımında {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"ランク{rank} 機体({countryNameOptional}) 改造{discount} 割引。";"{discount} de desconto na aquisição de modificações em qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on modification purchase for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання модифікацій будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu modifikacija za bilo koje vozilo {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú jármű modifikációinak megvásárlására. {countryNameOptional}";"모든 {rank}랭크 장비의 부품 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю мадыфікацый любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru modificările cumpărate pentru orice vehicul de rang {rank} {countryNameOptional}.";"購買任意{rank}級載具 {countryNameOptional} 改裝部件費用享有{discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/rank_premium";"{discount} discount on modification purchase for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur l'achat d'une modification pour tout véhicule premium de rang {rank}{countryNameOptional}.";"{discount} di sconto sull'acquisto delle modifiche di qualsiasi unità premium di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf den Kauf von Modifikationen für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en la compra de la modificacion de cualquier vehículo premium de rango{rank}{countryNameOptional}.";"Скидка {discount} на покупку модификаций любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na zakup modyfikacji dowolnej maszyny premium ery {rank}{countryNameOptional}.";"{discount} sleva na nákup modifikací pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"{rank}. seviye herhangi bir premium aracın{countryNameOptional} modifikasyon alımında {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"ランク{rank} プレミアム\t機体({countryNameOptional}) 改造{discount} 割引。";"{discount} de desconto na aquisição de modificações em qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on modification purchase for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання модифікацій будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu modifikacija za bilo koje premijum vozilo {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú prémiumjármű modifikációinak megvásárlására. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비의 부품 구입비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю мадыфікацый любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru modificările cumpărate pentru orice vehicul special de rang {rank} {countryNameOptional}.";"購買任意{rank}級高級載具 {countryNameOptional} 改裝部件費用享有{discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/aircraft";"{discount} discount on modification purchase for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur l'achat d'une modification pour véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto sull'acquisto di modifiche per l'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf den Kauf von Modifikationen für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento en la compra de la modificación para el vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на покупку модификаций техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na zakup modyfikacji maszyny: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na nákup modifikací pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araç modifikasyon alımında {discount} indirim:<color=@userlogColoredText>{aircraftName}</color>";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t改良費を{discount}割引: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de desconto na aquisição de modificações do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on modification purchase for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на придбання модифікацій техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na kupovinu modifikacija za vozilo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény a(z) <color=@userlogColoredText>{aircraftName}</color> jármű modifikációinak megvásárlására.";"<color=@userlogColoredText>{aircraftName}</color>의 부품 구입비 {discount} 할인";"Зніжка {discount} на куплю мадыфікацый тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru modificările cumpărate pentru: <color=@userlogColoredText>{aircraftName}</color>";"購買載具: <color=@userlogColoredText>{aircraftName}</color> 改裝部件費用享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods/aircraft/multiple";"Up to {discount} discount on modification purchase for vehicles.";"Jusqu'à {discount} de remise sur l'achat de modification pour les véhicules.";"Fino al {discount} di sconto sull'acquisto delle modifiche per le unità.";"Bis zu {discount} Rabatt auf den Kauf von Modifikationen für Fahrzeuge.";"Hasta un {discount} de descuento en la compra de modificaciones para vehiculos.";"Скидка до {discount} на покупку модификаций техники.";"Do {discount} zniżki na zakup modyfikacji maszyn.";"Až {discount} sleva na nákup modifikací pro stroje";"Araçların modificasyon alımınında {discount}'a varan indirim.";"购\t买\t改\t装\t件\t最\t高\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t改良費を\t最大{discount}割引。";"Até {discount} de desconto na aquisição de modificações de veículos.";"Up to {discount} discount on modification purchase for vehicles.";"Знижка до {discount} на придбання модифікацій техніки.";"Popust na kupovinu modifikacija za vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény járművek modifikációinak megvásárlására.";"부품 구입비 최대 {discount} 할인";"Зніжка да {discount} на куплю мадыфікацый тэхнікі.";"Până la {discount} reducere pentru modificările cumpărate pentru vehicule.";"購買載具改裝部件費用最高享有 {discount} 折扣優惠。";"购\t买\t改\t装\t件\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_open/all";"{discount} discount on accelerated modification research for any vehicle{countryNameOptional}.";"Remise de {discount} sur la recherche accélérée de modifications pour n'importe quel véhicule{countryNameOptional}.";"{discount} di sconto sulla ricerca accelerata delle modifiche per qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf die beschleunigte Modifikationsforschung für jegliches Fahrzeug{countryNameOptional}.";"{discount} descuento en la investigación acelerada de modificaciones para cualquier vehículo {countryNameOptional}.";"Скидка {discount} на ускоренное исследование модификаций любой техники{countryNameOptional}.";"{discount} zniżki na przyspieszone badanie modyfikacji dowolnej maszyny{countryNameOptional}.";"{discount} sleva na zrychlený výzkum modifikací pro jakýkoliv stroj {countryNameOptional}";"Herhangi bir aracın{countryNameOptional} hızlandırılmış modifikasyon araştırmasında {discount} indirim.";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"機体・\t車両{countryNameOptional}の\t改良研究の\tスピードアップを{discount}割引。";"{discount} de desconto na pesquisa acelerada de modificações em qualquer veículo{countryNameOptional}.";"{discount} discount on accelerated modification research for any vehicle{countryNameOptional}.";"Знижка {discount} на прискорене дослідження модифікацій будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ubrzano istraživanje modifikacija za sva vozila {countryNameOptional}.";"{discount} kedvezmény gyorsított modifikációfejlesztésre bármelyik járműhöz. {countryNameOptional}";"모든 장비의 부품 연구 가속비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на паскоранае даследаванне мадыфікацый любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru cercetarea accelerată a modificărilor pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} 加速研發改裝部件費用享有 {discount} 折扣優惠。";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional}\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_open/all_premium";"{discount} discount on accelerated modification research for any premium vehicle{countryNameOptional}.";"Remise de {discount} sur la recherche accélérée de modifications pour n'importe quel véhicule premium{countryNameOptional}.";"{discount} di sconto sulla ricerca accelerata delle modifiche su qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf die beschleunigte Modifikationsforschung für jegliches Premiumfahrzeug{countryNameOptional}.";"{discount} descuento en la investigación acelerada de modificaciones para cualquier vehículo premium {countryNameOptional}.";"Скидка {discount} на ускоренное исследование модификаций любой премиумной техники{countryNameOptional}.";"{discount} zniżki na przyspieszone badanie modyfikacji dla dowolnej maszyny premium{countryNameOptional}.";"{discount} sleva na zrychlený výzkum modifikací pro jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium aracın{countryNameOptional} hızlandırılmış modifikasyon araştırmasında {discount} indirim.";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両{countryNameOptional}の\t改良研究の\tスピードアップを{discount}割引。";"{discount} de desconto na pesquisa acelerada de modificações em qualquer veículo premium{countryNameOptional}.";"{discount} discount on accelerated modification research for any premium vehicle{countryNameOptional}.";"Знижка {discount} на прискорене дослідження модифікацій будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ubrzano istraživanje modifikacija za sva premijum vozila {countryNameOptional}.";"{discount} kedvezmény gyorsított modifikációfejlesztésre bármelyik prémiumjárműhöz. {countryNameOptional}";"모든 프리미엄 장비의 부품 연구 가속비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на паскоранае даследаванне мадыфікацый любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru cercetarea accelerată a modificărilor pentru orice vehicul special {countryNameOptional}.";"任意高級載具 {countryNameOptional} 加速研發改裝部件費用享有 {discount} 折扣優惠。";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_open/rank";"{discount} discount on accelerated modification research for any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la recherche accélérée de modifications pour n'importe quel véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sulla ricerca accelerata per qualsiasi unità di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf die beschleunigte Modifikationsforschung für jegliches Rang-{rank}-Fahrzeug{countryNameOptional}.";"{discount} descuento en la investigación acelerada de modificaciones para cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на ускоренное исследование модификаций любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na przyspieszone badanie modyfikacji dla dowolnej maszyny z {rank} Ery {countryNameOptional}.";"{discount} sleva na zrychlený výzkum modifikací pro jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} aracın{countryNameOptional} hızlandırılmış modifikasyon araştırmasında {discount} indirim.";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"乗り\t物の\tランク{rank}{countryNameOptional}を\t改良研究の\tスピードアップを{discount}割引。";"{discount} de desconto na pesquisa acelerada de modificações em qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on accelerated modification research for any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на прискорене дослідження модифікацій будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ubrzano istraživanje modifikacija svih vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény gyorsított modifikációfejlesztésre bármelyik {rank}. rangú járműhöz. {countryNameOptional}";"모든 {rank}랭크 장비의 부품 연구 가속비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на паскоранае даследаванне мадыфікацый любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru cercetarea accelerată a modificărilor pentru orice vehicul de rang {rank} {countryNameOptional}.";"任意{rank}級載具 {countryNameOptional} 加速研發改裝部件費用享有{discount} 折扣優惠。";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_open/rank_premium";"{discount} discount on accelerated modification research for any premium vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la recherche accélérée de modifications pour n'importe quel véhicule premium de rang {rank}{countryNameOptional}.";"{discount} di sconto sulla ricerca accelerata per qualsiasi unità premium di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf die beschleunigte Modifikationsforschung für jegliches Rang-{rank}-Premiumfahrzeug{countryNameOptional}.";"{discount}de descuento en la investigación acelerada de modificaciones para cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на ускоренное исследование модификаций любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na przyspieszone badanie modyfikacji dla dowolnej maszyny premium z {rank} ery {countryNameOptional}.";"{discount} sleva na zrychlený výzkum modifikací pro jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium aracın{countryNameOptional} hızlandırılmış modifikasyon araştırmasında {discount} indirim.";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"プレミアム\t機体・\t車両の\tランク{rank}{countryNameOptional}を\t改良研究の\tスピードアップを{discount}割引。";"{discount} de desconto na pesquisa acelerada de modificações em qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on accelerated modification research for any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на прискорене дослідження модифікацій будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na ubrzano istraživanje modifikacija za sva premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény gyorsított modifikációfejlesztésre bármelyik {rank}. rangú prémiumjárműhöz. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비의 부품 연구 가속비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на паскоранае даследаванне мадыфікацый любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru cercetarea accelerată a modificărilor pentru orice vehicul special de rang {rank} {countryNameOptional}.";"任意高級{rank}級載具 {countryNameOptional} 加速研發改裝部件費用享有{discount} 折扣優惠。";"金\t鹰\t购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/mods_open/aircraft";"{discount} discount on accelerated modification research for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Remise de {discount} sur la recherche accélérée de modifications pour véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto sulla ricerca accelerata delle modifiche sull'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf die beschleunigte Modifikationsforschung für Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento en la investigación acelerada para cualquier vehículo: <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на ускоренное исследование модификаций техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na przyspieszone badanie modyfikacji dla: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na zrychlený výzkum modifikací pro stroj <color=@userlogColoredText>{aircraftName}</color>";"Araç için hızlandırılmış modifikasyon araştırmasında {discount} indirim: <color=@userlogColoredText>{aircraftName}</color>";"金\t鹰\t购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠";"機体・\t車両の\t改良研究の\tスピードアップを{discount}割引: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de desconto na pesquisa acelerada de modificações do veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on accelerated modification research for vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на прискорене дослідження модифікацій техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na ubrzano istraživanje modifikacija za vozilo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény gyorsított modifikációfejlesztésre a(z) <color=@userlogColoredText>{aircraftName}</color> járműhöz.";"<color=@userlogColoredText>{aircraftName}</color>의 부품 연구 가속비 {discount} 할인";"Зніжка {discount} на паскоранае даследаванне мадыфікацый тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru cercetarea accelerată a modificărilor pentru: <color=@userlogColoredText>{aircraftName}</color>";"載具: <color=@userlogColoredText>{aircraftName}</color> 加速研發改裝部件費用享有 {discount} 折扣優惠。";"金\t鹰\t购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t的\t改\t装\t件\t享\t受\t {discount} \t优\t惠\t。";;
