"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"tutorial01_dialogue02_p07";"Now the plane is in the air.";"A présent, l’avion est en l’air.";"Ora l'aereo si trova in aria.";"Jetzt ist das Flugzeug in der Luft.";"Ahora el avión está en el aire.";"Теперь он в воздухе.";"Teraz samolot jest w powietrzu.";"Teď je letoun ve vzduchu";"Artık uçak havada.";"现\t在\t飞\t机\t已\t经\t升\t空\t。";"これで\t機体は\t浮かんだ";"Agora o avião está no ar.";"Now the plane is in the air.";"Зараз він у повітрі.";"Avion je sada u vazduhu.";"És már repülünk is.";"이제 기체가 공중에 떴다.";"Цяпер самалёт у паветры.";"Acum avionul este în aer.";"現在飛機已經升空了";"现\t在\t飞\t机\t已\t经\t升\t空\t。";;
"tutorial01_dialogue02_p08";"I'm waiting for it to build up enough speed so that it doesn't fall back to the runway.";"J’attends qu’il prenne suffisamment de vitesse pour ne pas retomber sur la piste.";"Sto aspettando di prendere abbastanza velocità per non farlo ricadere sulla pista.";"Ich warte bis es genügend Geschwindigkeit hat, damit es nicht wieder auf die Landebahn fällt.";"Estoy esperando que gane la suficiente velocidad para evitar que retroceda hacia la pista de aterrizaje.";"Я подожду, пока он наберёт скорость, с которой я точно не рухну обратно на полосу.";"Czekam, by nabrał odpowiedniej prędkości, żeby nie spaść z powrotem na pas startowy.";"Čekám, až nabere dostatek rychlosti, aby nespadl zpátky na dráhu";"Piste geri düşmemesi için yeterli hız toplamasını bekliyoruz.";"我\t在\t等\t飞\t机\t继\t续\t加\t速\t，\t以\t免\t坠\t回\t跑\t道\t上\t。";"滑走路に\t舞い\t戻らないよう、\t十分に\t速度が\t上がるのを\t待つ";"Estou a espera que ganhe velocidade suficiente para que não caia na pista.";"I'm waiting for it to build up enough speed so that it doesn't fall back to the runway.";"Я зачекаю, доки він набере швидкість, з якою я точно не звалюся назад на смугу.";"Čekam da postigne dovoljno brzine da ne padne nazad na pistu.";"Megvárom amíg elég gyorsan megyek hogy ne essek vissza a kifutóra.";"이 교관은 지금 기체가 다시 활주로로 떨어지지 않게 충분히 속도가 붙길 기다리고 있어.";"Чакаем, пакуль ён набярэ дастатковую хуткасць, каб не ўпасці назад на ўзлётную паласу.";"Aștept să am o viteză suficientă, astfel încât să nu cadă înapoi pe pistă.";"我在等它提升到足夠快的速度，這樣就不會降回跑道上了";"我\t在\t等\t飞\t机\t继\t续\t加\t速\t，\t以\t免\t坠\t回\t跑\t道\t上\t。";;
"tutorial01_dialogue02_p09";"Then I'll retract the landing gear and flaps.";"Je rétracte alors les trains d’atterrissage et les volets.";"Poi ritirerò il carrello e i flap.";"Dann fahre ich Fahrwerk und Landeklappen ein.";"Luego replegaré el tren de aterrizaje y los flaps.";"Только после этого я убираю шасси и закрылки.";"Wtedy chowam podwozie i klapy.";"Potom zasunu podvozek a klapky";"Daha sonra iniş takımlarını ve flaplarını kapatacağım.";"接\t下\t来\t，\t我\t将\t收\t起\t起\t落\t架\t和\t襟\t翼\t。";"それから\tランディングギアと\tフラップを\t収納する";"Então vou recolher o trem de aterragem e os flaps.";"Then I'll retract the landing gear and flaps.";"Тільки після цього я прибираю шасі та закрилки.";"Zatim ću podići stajni trap i zakrilca.";"Majd behúzom a futóművet és a fékszárnyakat.";"속도가 충분히 붙으면, 착륙장치와 플랩을 접을 거야.";"Толькі пасля гэтага я хаваю шасі і закрылкі.";"Apoi voi retrage trenul de aterizare și flapsurile.";"然後我將會收回起落架和襟翼";"接\t下\t来\t，\t我\t将\t收\t起\t起\t落\t架\t和\t襟\t翼\t。";;
"tutorial01_dialogue02_p10";"Takeoff complete – my plane is now airborne!";"Décollage terminé – mon avion est maintenant en vol !";"Decollo completato - il mio aereo adesso è in volo!";"Start abgeschlossen - mein Flugzeug ist nun endgültig in der Luft!";"Despegue completo. ¡Mi avión está moviéndose en el aire! ";"Взлёт завершён — мой самолёт в воздухе.";"Start zakończony - teraz mój samolot już leci!";"Vzlet dokončen - můj letoun je teď ve vzduchu";"Kalkış tamam - uçağım artık havada!";"起\t飞\t完\t成\t—\t—\t我\t的\t飞\t机\t已\t经\t在\t空\t中\t翱\t翔\t了\t！";"離陸完了　\t機体は\t大空へと\t飛び\t立った";"Descolagem completa - o meu avião está agora no ar!";"Takeoff complete – my plane is now airborne!";"Зліт закінчено — мій літак у повітрі.";"Poletanje je završeno - moj avion je uzleteo!";"És meg is vagyunk - Felszállás teljesítve!";"이륙 완료! 이제 교관의 비행기가 완전히 공중에 떴다.";"Узлёт завершаны — мой самалёт у паветры.";"Decolare completă - avionul meu este acum în aer!";"起飛完成 – 我的飛機已經在空中翱翔了！";"起\t飞\t完\t成\t—\t—\t我\t的\t飞\t机\t已\t经\t在\t空\t中\t翱\t翔\t了\t！";;
"tutorial01_dialogue03_p01";"Before you attempt to take off, let's review your knowledge of aircraft controls.";"Avant d'essayer de décoller, revoyons votre connaissance des commandes.";"Prima di tentare il decollo, ripassiamo le tue nozioni sui comandi dell'aereo.";"Bevor Sie einen Start versuchen, lassen Sie uns Ihre Kenntnisse der Steuerungsinstrumente prüfen.";"Antes de intentar el despegue, repasemos tu conocimiento acerca los controles de una aeronave.";"Перед тем, как вы начнёте взлетать, я напомню вам о рулях управления самолётом.";"Zanim spróbujesz wystartować, powtórzmy sobie informacje na temat sterów samolotu.";"Než se pokusíš o vzlet, musíme prověřit tvou znalost ovládacích ploch letounu";"Kalkmayı denemeden önce, uçak kontrollerini bir gözden geçirelim.";"在\t你\t尝\t试\t起\t飞\t之\t前\t，\t让\t我\t们\t再\t复\t习\t一\t遍\t飞\t机\t的\t操\t控\t知\t识\t吧\t。";"離陸に\t挑戦する\t前に、\t航空機の\t操作に\t関する\t知識を\t復習しよう";"Antes que tentes descolar, vamos rever os teus conhecimentos sobre os controlos do avião.";"Before you attempt to take off, let's review your knowledge of aircraft controls.";"Перед тим, як ви почнете злітати, я нагадаю вам про стерна керування літаком.";"Pre samog poletanja, još jednom ćemo proveriti vaše znanje o komandama aviona.";"Mielőtt megpróbálnál felszállni, idézd fel az irányítási beállításokat.";"이제 귀관이 실시하기 전에 항공기 조종면에 대해 다시 알아보도록 하자.";"Перш чым паспрабуеце ўзляцець, паўторым пра рулі кіравання самалётам.";"Înainte de a încerca să decolezi, să-ți verificăm cunoștințele despre controlul avioanelor.";"在嘗試起飛之前，讓我們先來複習一下控制飛機方面的知識吧";"在\t你\t尝\t试\t起\t飞\t之\t前\t，\t让\t我\t们\t再\t复\t习\t一\t遍\t飞\t机\t的\t操\t控\t知\t识\t吧\t。";;
"tutorial01_dialogue03_p02";"The first one is the elevation rudder.";"La première est la gouverne de profondeur.";"Il primo è il timone di sollevamento.";"Zuerst das Höhenruder.";"El primero es el timón de elevación.";"Первый из них — руль высоты.";"Pierwszy jest ster wysokości.";"První z nich je výškové kormidlo";"Bu, yükseliş ayarlayıcı dümen.";"首\t先\t是\t水\t平\t方\t向\t舵\t。";"まずは\t昇降舵から";"O primeiro deles é o leme de elevação.";"The first one is the elevation rudder.";"Перше з них — стерно висоти.";"Prva je visinsko kormilo.";"Az első a magassági kormány.";"첫 번째는 승강타다.";"Першы з іх — руль вышыні.";"Primul control este manșa profundorului.";"首先是升降舵";"首\t先\t是\t水\t平\t方\t向\t舵\t。";;
"tutorial01_dialogue03_p03";"It's also called the elevator.";"On l’appelle aussi l’élévateur.";"Viene chiamato anche equilibratore.";"Es wird auch als Höhensteuer bezeichnet.";"También se llama elevador.";"Он также называется элеватором.";"Zwany również sterem pochylenia.";"Také se mu říká výškovka";"Ayrıca irtifa dümeni de deniyor.";"也\t叫\t升\t降\t舵\t。";"これは「エレベーター」\tとも\t呼ばれる";"É também chamado de profundor.";"It's also called the elevator.";"Воно також має назву елеватора.";"Zovemo ga još i kormilo visine.";"Más néven a vízszintes vezérsík.";"엘리베이터라고도 하지.";"Таксама яго называюць рулём глыбіні.";"Se mai numește și profundor.";"也稱作電梯";"也\t叫\t升\t降\t舵\t。";;
"tutorial01_dialogue03_p04";"As the name suggests, this control is used for ascending and descending.";"Comme son nom l’indique, il sert à monter et à descendre.";"Come suggerisce il nome stesso, questo comando è usato per sollevarsi o abbassarsi.";"Wie der Name andeutet, dient es der Kontrolle von Auf- und Abwärtsbewegungen.";"Como sugiere su nombre, este control se usa para ascender o descender.";"Как следует из названия, этот руль служит для набора или сброса высоты.";"Jak nazwa wskazuje, służy on do kontroli wznoszenia i opadania.";"Jak název napovídá, tato plocha slouží ke stoupání a klesání";"Adından da anlaşılacağı üzere yükseltmek ve alçaltma görevi yapıyor.";"顾\t名\t思\t义\t，\t该\t控\t制\t面\t能\t让\t飞\t机\t爬\t升\t或\t下\t降\t。";"その\t名前の\t通り、\tこの\t動翼は\t上昇と\t下降に\t用いられる";"Como o nome sugere, este controlo é usado para subir e descer.";"As the name suggests, this control is used for ascending and descending.";"Як свідчить назва, це стерно потрібно для набору чи скидання висоти.";"Kao što i samo ime govori, ova komanda služi za upravljanje avionom po horizontalnoj osi - nagore i nadole.";"Ahogy a neve is mutatja, emelkedésnél és süllyedésnél használjuk.";"이름에서 알 수 있듯이, 상승과 하강을 제어하기 위해 사용된다.";"Як вынікае з назвы, гэты руль служыць для набірання або скідвання вышыні.";"După cum sugerează și numele, acest control este folosit pentru ridicarea și coborârea avionului.";"顧名思義，這個是指專門控制上升和下降的";"顾\t名\t思\t义\t，\t该\t控\t制\t面\t能\t让\t飞\t机\t爬\t升\t或\t下\t降\t。";;
"tutorial01_dialogue03_p05";"Try it yourself.";"Essayez.";"Provaci tu.";"Versuchen Sie es einmal.";"Pruébalo tú mismo.";"Попробуйте сами.";"Spróbuj samodzielnie.";"Vyzkoušej si to";"Kendin dene.";"试\t试\t看\t吧\t。";"自分で\t試してみたまえ";"Tenta tu mesmo.";"Try it yourself.";"Спробуйте самі.";"Probaj i sam.";"Próbáld ki magad.";"한번 움직여 볼 수 있도록 한다.";"Паспрабуйце самі.";"Încearcă și tu.";"你自己試試看";"试\t试\t看\t吧\t。";;
"tutorial01_dialogue03_p06";"When you raise the elevator, the plane goes up.";"Lorsque vous montez l'élévateur, l'avion monte.";"Quando sollevi l'elevatore, l'aereo si alza.";"Wenn Sie das Höhenruder anheben, zieht das Flugzeug hoch.";"Cuando presionas el elevador hacia abajo, el avión sube.";"Когда вы поднимаете элеватор, самолёт поднимается вверх.";"Gdy podniesiesz ster wysokości, samolot się wzniesie.";"Když přitáhneš výškovku, letoun začne stoupat";"İrtifa dümenini kaldırırsan uçak yükselir.";"当\t升\t降\t舵\t向\t上\t偏\t转\t时\t，\t飞\t机\t会\t抬\t头\t爬\t升\t。";"昇降舵を\t手前に\t引くと、\t機体は\t上昇する";"Quando você puxa o estabilizador horizontal, o avião sobe.";"When you raise the elevator, the plane goes up.";"Коли ви підіймаєте елеватор, літак іде вгору.";"Kada gurnete visinsko kormilo na dole, avion se kreće nagore.";"Amikor felemeled a magassági kormánylapot a gép orra felfelé mozdul.";"엘리베이터를 올리면, 기수가 올라가면서 기체가 상승해.";"Калі паднімаеш руль вышыні, самалёт паднімаецца ўверх.";"Când ridici profundorul, avionul urcă.";"當你拉高時，飛機就會上升";"当\t升\t降\t舵\t向\t上\t偏\t转\t时\t，\t飞\t机\t会\t抬\t头\t爬\t升\t。";;
"tutorial01_dialogue03_p07";"When you lower it, it goes down.";"Lorsque vous l'abaissez, il descend.";"Quando lo abbassi, si abbassa.";"Wenn Sie das Höhenruder absenken, zieht das Flugzeug nach unten.";"Cuando presionas el elevador hacia arriba, el avión baja.";"Когда опускаете — вниз.";"Gdy go obniżysz, samolot poleci w dół.";"Když potlačíš výškovku, letoun začne klesat";"İrtifa dümenini indirdiğinde ise, alçalır";"当\t升\t降\t舵\t向\t下\t偏\t转\t时\t，\t飞\t机\t会\t低\t头\t俯\t冲\t。";"昇降舵を\t前に\t倒すと、\t機体は\t下降する";"Quando você o baixar, o avião desce.";"When you lower it, it goes down.";"Коли опускаєте — униз.";"Kada gurnete visinsko kormilo na gore, avion se kreće nadole.";"Amikor lejjebb süllyeszted, a gép orra lefelé mozdul.";"내리면, 기수가 내려가면서 기체는 하강하고.";"Калі апускаеш— уніз.";"Când îl cobori, avionul coboară.";"當你下推時，飛機就會下降";"当\t升\t降\t舵\t向\t下\t偏\t转\t时\t，\t飞\t机\t会\t低\t头\t俯\t冲\t。";;
"tutorial01_dialogue03_p08";"I think that's clear enough.";"Je pense que c’est clair.";"Credo che sia abbastanza chiaro.";"Ich denke, das war klar genug.";"Creo que está claro.";"Думаю, с этим всё понятно.";"To chyba wystarczająco jasne.";"Myslím, že je to jasné";"Sanırım yeterince açık.";"我\t想\t我\t应\t该\t解\t释\t清\t楚\t了\t。";"簡単だろう？";"Penso que é bastante claro.";"I think that's clear enough.";"Гадаю, з цим зрозуміло.";"Mislim da je ovo dovoljno jasno.";"Szerintem ez elég egyszerű.";"이 정도면 이해할 수 있겠지.";"Думаю, з гэтым усё зразумела.";"Cred că e destul de clar.";"這樣應該說明得很清楚了";"我\t想\t我\t应\t该\t解\t释\t清\t楚\t了\t。";;
"tutorial01_dialogue03_p09";"The second control directs the ailerons.";"La deuxième commande contrôle les ailerons.";"Il secondo comando dirige gli alettoni.";"Die zweite Steuerung ist das Querruder.";"El segundo control dirige los alerones.";"Переходим к следующему рулю — элеронам.";"Ten sam ster kontroluje lotki.";"Druhým ovládacím prvkem jsou křidélka";"İkinci kontrol kanatçıkları yönetiyor.";"接\t下\t来\t是\t副\t翼\t。";"次は「エルロン」\tの\t操作だ";"O segundo controlo direcciona os ailerons.";"The second control directs the ailerons.";"Перейдемо до наступного стерна — елеронів.";"Druga komanda upravlja krilcima.";"A következő lépés a csűrőlapok kezelése.";"두 번째 조종면은 에일러론이다.";"Пяройдзем да наступнага руля — рулям крэну, або элеронам.";"Cel de-al doilea control direcționează eleroanele.";"第二個控制項目是副翼";"接\t下\t来\t是\t副\t翼\t。";;
"tutorial01_dialogue03_p10";"Ailerons are used to roll the plane left and right.";"Les ailerons servent à vous diriger vers la gauche et vers la droite.";"Gli alettoni sono usati per virare l'aereo a sinistra e a destra.";"Querruder steuern das Flugzeug nach links und rechts.";"Los alerones se usan para hacer girar el avión a derecha e izquierda.";"Элероны нужны для создания крена самолёта.";"Lotek używa się, by przechylać samolot w lewo i w prawo.";"Křidélka slouží k náklonu letounu okolo podélné osy doleva a doprava";"Kanatçıklar, uçağı sola ve sağa yatırmak için kullanılır.";"副\t翼\t用\t于\t控\t制\t飞\t机\t左\t右\t滚\t转\t。";"エルロンは\t機体を\t左右に\tバンクさせるのに\t用いる";"Os ailerons são usados para rolar o avião para a esquerda e direita.";"Ailerons are used to roll the plane left and right.";"Елерони потрібні задля завдання крену літаку.";"Krilca služe za valjanje aviona ulevo i udesno.";"A csűrőlapokkal tudjuk a gépet jobbra és balra csavarni.";"에일러론은 비행기를 좌우로 기울이는 데 사용된다.";"Элероны патрэбны для нахілення самалёта адносна падоўжнай восі.";"Eleroanele sunt folosite pentru a roti avionul spre stânga și spre dreapta.";"副翼用於控制飛機左右的翻滾";"副\t翼\t用\t于\t控\t制\t飞\t机\t左\t右\t滚\t转\t。";;
