"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"fr_military_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_middle_east_medal/name";"Middle East operations commemorative medal";"Médaille commémorative des opérations du Moyen-Orient";"Medaglia commemorativa operazioni in Medio Oriente";"Kriegsgedenkmedaille für den Einsatz im Nahen Osten";"Medalla conmemorativa de las operaciones en Medio Oriente";"Медаль за военные операции на Ближнем Востоке";"Medal Pamiątkowy za Operacje na Bliskim Wschodzie";"Middle East operations commemorative medal";"Middle East operations commemorative medal";"中\t东\t军\t事\t行\t动\t纪\t念\t奖\t章";"中東作戦記念\tメダル";"Medalha Comemorativa por Operações no Oriente Médio";"Медаль за військові операції на Близькому Сході";"Middle East operations commemorative medal";"Közel-keleti hadműveleti emlékérme";"중동작전 기념훈장";"Медаль за вайсковыя аперацыі на Блізкім Усходзе";"Medalia comemorativă a operațiunilor din Extremul Orient";"中\t東\t軍\t事\t行\t動\t紀\t念\t勳\t章";"  ";;
"fr_middle_east_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_officer/name";"National Order of Merit (Officer)";"Ordre national du Mérite (Officier)";"Ordine Nazionale al Merito (Ufficiale)";"Nationaler Verdienstorden (Offizier)";"Orden del Mérito Nacional (Oficial)";"Орден ""За заслуги"" (Офицер)";"Order Narodowy Zasługi (Oficer)";"National Order of Merit (Officer)";"National Order of Merit (Officer)";"军\t官\t级\t国\t家\t功\t勋\t勋\t章";"国家功労勲章 (オフィシエ)";"Ordem Nacional do Mérito (Oficial) ";"Орден ""За заслуги"" (Офіцер)";"National Order of Merit (Officer)";"Nemzeti Érdemrend tiszti fokozat";"국가공훈장 (장교)";"Нацыянальны Ордэн ""За заслугі"" (Афіцэр)";"Ordinul național de merit (Ofițer)";"軍\t官\t級\t國\t家\t功\t勳\t章";"  ";;
"fr_merit_order_officer/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_commander/name";"National Order of Merit (Commander)";"Ordre national du Mérite (Commandeur)";"Ordine Nazionale al Merito (Comandante)";"Nationaler Verdienstorden (Kommandeur)";"Orden del Mérito Nacional (Comandante)";"Орден ""За заслуги"" (Командор)";"Order Narodowy Zasługi (Komandor)";"National Order of Merit (Commander)";"National Order of Merit (Commander)";"指\t挥\t官\t级\t国\t家\t功\t勋\t勋\t章";"国家功労勲章 (コマンドゥール)";"Ordem Nacional do Mérito (Comandante) ";"Орден ""За заслуги"" (Командор)";"National Order of Merit (Commander)";"Nemzeti Érdemrend parancsnoki fokozat";"국가공훈장 (지휘관)";"Нацыянальны Ордэн ""За заслугі"" (Камандор)";"Ordinul național de merit (Comandant)";"指\t揮\t官\t級\t國\t家\t功\t勳\t章";"  ";;
"fr_merit_order_commander/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_merit_order_cavalier/name";"National Order of Merit (Cavalier)";"Ordre national du Mérite (Chevalier)";"Ordine Nazionale al Merito (Cavaliere)";"Nationaler Verdienstorden (Ritter)";"Orden del Mérito Nacional (Caballero)";"Орден ""За заслуги"" (Кавалер)";"Order Narodowy Zasługi (Kawaler)";"National Order of Merit (Cavalier)";"National Order of Merit (Cavalier)";"骑\t士\t级\t国\t家\t功\t勋\t勋\t章";"国家功労勲章 (シュヴァリエ)";"Ordem Nacional do Mérito (Cavalheiro) ";"Орден ""За заслуги"" (Кавалер)";"National Order of Merit (Cavalier)";"Nemzeti Érdemrend lovagi fokozat";"국가공훈장 (기사)";"Нацыянальны Ордэн ""За заслугі"" (Кавалер)";"Ordinul național de merit (Cavaler)";"騎\t士\t級\t國\t家\t功\t勳\t勳\t章";"  ";;
"fr_merit_order_cavalier/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_liberation_order/name";"Order of Liberation";"Ordre de la Libération";"Ordine della Liberazione";"Befreiungsorden";"Órden de liberación";"Орден Освобождения";"Order Wyzwolenia";"Order of Liberation";"Order of Liberation";"法\t国\t解\t放\t勋\t章";"リベラシオン\t勲章";"Ordem da Libertação";"Орден Визволення";"Order of Liberation";"Felszabadulás érdemrend";"해방 훈장";"Ордэн Вызвалення";"Ordinul eliberării";"法\t國\t解\t放\t勳\t章";"  ";;
"fr_liberation_order/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_liberated_medal/name";"Medal of a liberated France";"Médaille de la France libérée";"Medaglia della Francia liberata";"Medaille des befreiten Frankreichs";"Medalla de una Francia Liberada";"Медаль Освобождённой Франции";"Medal Wyzwolenia Francji";"Medal of a liberated France";"Medal of a liberated France";"来\t自\t受\t解\t放\t法\t国\t的\t感\t谢\t奖\t章";"フランス\t解放\tメダル";"Medalha da França Liberatada";"Медаль Звільненої Франції";"Medal of a liberated France";"Felszabadított Franciaország érdemérem";"자유 프랑스 메달";"Медаль Вызваленай Францыі";"Medalia Franței eliberate";"法\t國\t解\t放\t獎\t章";"  ";;
"fr_liberated_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_officer/name";"Legion of Honour (Officer)";"Légion d'honneur (Officier)";"Legione d'Onore (Ufficiale)";"Ehrenlegion (Offizier)";"Legión de Honor (Oficial)";"Орден Почётного легиона (Офицер)";"Legia Honorowa (Oficer)";"Legion of Honour (Officer)";"Legion of Honour (Officer)";"军\t官\t级\t国\t家\t荣\t誉\t军\t团\t勋\t章";"レジオンドヌール (オフィシエ)";"Legião de Honra (Oficial)";"Орден Почесного легіону (Офіцер)";"Legion of Honour (Officer)";"Becsületrend tiszti fokozat";"레지옹도뇌르훈장 (장교)";"Ордэн Ганаровага легіёна (Афіцэр)";"Legiunea de onoare (Ofițer)";"軍\t官\t級\t國\t家\t榮\t譽\t軍\t團\t勳\t章";"  ";;
"fr_legion_order_officer/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_commander/name";"Legion of Honour (Commander)";"Légion d'honneur (Commandeur)";"Legione d'Onore (Comandante)";"Ehrenlegion (Kommandeur)";"Legión de Honor (Comandante)";"Орден Почётного легиона (Командор)";"Legia Honorowa (Komandor)";"Legion of Honour (Commander)";"Legion of Honour (Commander)";"指\t挥\t官\t级\t国\t家\t荣\t誉\t军\t团\t勋\t章";"レジオンドヌール (コマンドゥール)";"Legião de Honra (Comandante)";"Орден Почесного легіону (Командор)";"Legion of Honour (Commander)";"Becsületrend parancsnoki fokozat";"레지옹도뇌르훈장 (지휘관)";"Ордэн Ганаровага легіёна (Камандор)";"Legiunea de onoare (Comandant)";"指\t揮\t官\t級\t國\t家\t榮\t譽\t軍\t團\t勳\t章";"  ";;
"fr_legion_order_commander/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_legion_order_cavalier/name";"Legion of Honour (Cavalier)";"Légion d'honneur (Chevalier)";"Legione d'Onore (Cavaliere)";"Ehrenlegion (Ritter)";"Legión de Honor (Caballero)";"Орден Почётного легиона (Кавалер)";"Legia Honorowa (Kawaler)";"Legion of Honour (Cavalier)";"Legion of Honour (Cavalier)";"骑\t士\t级\t国\t家\t荣\t誉\t军\t团\t勋\t章";"レジオンドヌール (シュヴァリエ)";"Legião de Honra (Cavalheiro)";"Орден Почесного легіону (Кавалер)";"Legion of Honour (Cavalier)";"Becsületrend lovagi fokozat";"레지옹도뇌르훈장 (기사)";"Ордэн Ганаровага легіёна (Кавалер)";"Legiunea de onoare (Cavaler)";"騎\t士\t級\t國\t家\t榮\t譽\t軍\t團\t勳\t章";"  ";;
"fr_legion_order_cavalier/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_korea_medal/name";"Medal for UN operations in Korea";"Médaille française des opérations de l'ONU en Corée";"Medaglia per le operazioni dell'ONU in Corea";"Medaille für den UN-Einsatz in Korea";"Medalla por Operaciones de la ONU en Corea";"Медаль операций ООН в Корее";"Medal ONZ za Służbę w Korei";"Medal for UN operations in Korea";"Medal for UN operations in Korea";"联\t合\t国\t韩\t国\t军\t事\t行\t动\t纪\t念\t奖\t章";"韓国国連軍作戦の\tメダル";"Medalha por Operações da ONU na Coreia";"Медаль операцій ООН в Кореї";"Medal for UN operations in Korea";"Az ENSZ koreai missziós kitüntetése";"UN군 한국전 참전 훈장";"Медаль аперацый ААН у Карэі";"Medalia pentru operațiunile N.U. din Coreea";"聯\t合\t國\t韓\t國\t軍\t事\t行\t動\t紀\t念\t獎\t章";"  ";;
"fr_korea_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_italian_medal/name";"Medal of the Italian campaign 1943-1944";"Médaille de la campagne d'Italie (1943-1944)";"Medaglia della campagna d'Italia 1943-1944";"Medaille für den Italienfeldzug 1943-1945";"Medalla por la campaña de Italia 1943-1944";"Медаль Итальянской кампании 1943-1944";"Medal Pamiątkowy Kampanii Włoskiej 1943-1944";"Medal of the Italian campaign 1943-1944";"Medal of the Italian campaign 1943-1944";"1943 - 1944 年\t意\t大\t利\t战\t役\t纪\t念\t奖\t章";"イタリア\t戦線 1943-1944 の\tメダル";"Medalha da campanha Italiana 1943-1944";"Медаль Італійської кампанії 1943-1944";"Medal of the Italian campaign 1943-1944";"1943–1944-es olaszországi hadjáratért érme";"1943 - 1944년 이탈리아 전역 참전 훈장";"Медаль Італьянскай кампаніі 1943-1944";"Medalia campaniei italiene 1943-1944";"1943 - 1944 年\t意\t大\t利\t戰\t役\t紀\t念\t獎\t章";"  ";;
"fr_italian_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_indochina_medal/name";"Indochina Campaign medal";"Médaille de la campagne d'Indochine";"Medaglia della Campagna di Indocina";"Medaille für den Einsatz in Indochina";"Medalla por la Campaña de Indochina";"Медаль кампании в Индокитае";"Medal za Kampanię Indochińską";"Indochina Campaign medal";"Indochina Campaign medal";"印\t度\t支\t那\t战\t役\t纪\t念\t奖\t章";"インドシナ\t戦線の\tメダル";"Medalha da Campanha da Indochina";"Медаль кампанії в Індокитаї";"Indochina Campaign medal";"Indokínai hadjáratért érme";"인도차이나 전역 참전훈장";"Медаль кампаніі ў Індакітаі";"Medalia campaniei din Indochina";"印\t度\t支\t那\t戰\t役\t紀\t念\t獎\t章";"  ";;
"fr_indochina_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_foreign_theaters_cross/name";"Cross of foreign theaters of military operations";"Croix de guerre des Théâtres d'opérations extérieurs";"Croce dei teatri stranieri delle operazioni militari";"Verdienstkreuz für Militäreinsätze im Ausland";"Cruz de operaciones militares en teatros extranjeros";"Крест иностранных театров боевых действий";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"海\t外\t战\t场\t军\t事\t行\t动\t战\t争\t十\t字\t章";"軍事作戦外国戦線十字章";"Cruz do Teatro de Operações Militares Estrangeiras";"Хрест закордонних театрів бойових дій";"Cross of foreign theaters of military operations";"Cross of foreign theaters of military operations";"해외 참전 전투 십자훈장";"Крыж замежных тэатраў баявых дзеянняў";"Crucea operațiunilor militare din teatrele străine ";"海\t外\t戰\t場\t軍\t事\t行\t動\t戰\t爭\t十\t字\t勳\t章";"  ";;
"fr_foreign_theaters_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_fighter_cross/name";"The Cross Fighter";"Croix du combattant";"Croce dei Caccia";"Jagdfliegerkreuz";"La Cruz de Piloto de Avión Caza";"Крест бойца";"Krzyż Myśliwski";"The Cross Fighter";"The Cross Fighter";"战\t士\t十\t字\t章";"戦闘十字章";"Cruz do Combatente";"Хрест бійця";"The Cross Fighter";"Harci kereszt";"전사십자장";"Крыж байца";"Crucea luptătorului";"戰\t士\t十\t字\t勳\t章";"  ";;
"fr_fighter_cross/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_air_medal/name";"Aeronautical Medal";"Médaille de l'Aéronautique";"Medaglia Aeronautica";"Luftfahrtmedaille";"Medalla Aeronáutica";"Почётная медаль авиации";"Medal Lotniczy";"Aeronautical Medal";"Aeronautical Medal";"航\t空\t奖\t章";"航空\tメダル";"Medalha da Aeronáutica ";"Почесна медаль авіації";"Aeronautical Medal";"Francia repüléstechnikai érem";"항공학 훈장";"Ганаровы медаль авіяцыі";"Medalia aeronautică";"航\t空\t獎\t章";"  ";;
"fr_air_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"fr_africa_medal/name";"North Africa Medal";"Médaille des opérations de sécurité et de maintien de l'ordre en Afrique du Nord";"Medaglia del Nord Africa";"Nordafrikamaedaille";"Medalla Norte de Africa";"Памятная медаль Северной Африки";"Medal za służbę w Północnej Afryce";"North Africa Medal";"North Africa Medal";"北\t非\t奖\t章";"北\tアフリカメダル";"Medalha da Africa do Norte";"Пам'ятна медаль Північної Африки";"North Africa Medal";"Észak-afrikai hadjáratért érme";"북아프리카 종군기장";"Памятны медаль Паўночнай Афрыкі";"Medalia Africii de Nord";"北\t非\t獎\t章";"  ";;
"fr_africa_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_valor_medal/name";"Medal For Courage";"Médaille du Courage";"Medaglia al Coraggio";"Tapferkeitsmedaille";"Medalla al coraje";"Медаль За отвагу";"Medal za Odwagę";"Medal For Courage";"Medal For Courage";"勇\t敢\t奖\t章";"勇気の\tメダル";"Medalha por Bravura";"Медаль за відвагу";"Medal For Courage";"Vitézségi Érem";"용맹장";"Медаль За адвагу";"Medalia pentru curaj";"勇\t敢\t獎\t章";"  ";;
"ussr_valor_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_ushakov_medal/name";"Medal of Ushakov";"Médaille d'Ousshakov";"Medaglia di Ushakov";"Uschakow-Medaille";"Medalla de Ushakov";"Медаль Ушакова";"Medal Uszakowa";"Medal of Ushakov";"Medal of Ushakov";"乌\t沙\t科\t夫\t勋\t章";"ウシャコフ\t記章";"Medalha de Ushakov";"Медаль Ушакова";"Medal of Ushakov";"Usakov érdemrend";"우샤코프 훈장";"Медаль Ушакова";"Medalia lui Ușakov";"烏\t沙\t科\t夫\t勳\t章";"  ";;
"ussr_ushakov_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_torpedoman_badge/name";"Badge Excellent of the torpedoman";"Insigne d'excellence (torpilleur)";"Distintivo del silurista eccellente";"Abzeichen ""Ausgezeichneter Torpedosoldat""";"Insignia de Excelencia de Torpedero.";"Нагрудный знак Отличный торпедист";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"Badge Excellent of the torpedoman";"优\t秀\t鱼\t雷\t兵\t胸\t章";"優秀魚雷兵の\tバッジ";"Distintivo por Excelência em Torpedagem";"Нагрудний знак Відмінний торпедист";"Badge Excellent of the torpedoman";"Kitűnő torpedós jelvény";"우수 어뢰하사관 배지";"Нагрудны знак Выдатны тарпедыст";"Insigna „Torpilor excelent”";"優\t秀\t魚\t雷\t兵\t胸\t章";"  ";;
"ussr_torpedoman_badge/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_tanker_badge/name";"Badge Excellent tankman";"Insigne d'excellence (tankiste)";"Distintivo del carrista eccellente";"Abzeichen ""Ausgezeichneter Panzersoldat""";"Insignia de excelencia como tanquista";"Нагрудный знак Отличный танкист";"Badge Excellent tankman";"Badge Excellent tankman";"Badge Excellent tankman";"优\t秀\t坦\t克\t兵\t胸\t章";"優秀戦車乗りの\tバッジ";"Distintivo por Excelência da tripulação de Blindado";"Нагрудний знак Відмінний танкіст";"Badge Excellent tankman";"Kitűnő harckocsizó jelvény";"우수 전차병 배지";"Нагрудны знак Выдатны танкіст";"Insigna „Tanchist excelent”";"優\t秀\t坦\t克\t兵\t胸\t章";"  ";;
"ussr_tanker_badge/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_tank_shooting_badge/name";"Badge For excellent shooting from tank weapons";"Badge Pour une excellente précision de tir en char";"Distintivo per tiri eccellenti con un carro";"Abzeichen ""Ausgezeichneter Panzerschütze""";"Insignia por excelencia como artillero de tanque";"Нагрудный знак За отличную стрельбу из танкового оружия";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"优\t秀\t坦\t克\t射\t击\t胸\t章";"戦車兵器優秀射撃の\tバッジ";"Distintivo por Excelência de Artilheiro de Blindados";"Нагрудний знак За відмінну стрільбу з танкової зброї";"Badge For excellent shooting from tank weapons";"Badge For excellent shooting from tank weapons";"우수 전차 무장 사격술 배지";"Нагрудны знак За выдатную стральбу з танкавай зброі";"Insigna „Trăgător excelent cu armele tancului”";"優\t秀\t坦\t克\t射\t擊\t胸\t章";"  ";;
"ussr_tank_shooting_badge/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_stalingrad_def_medal/name";"Medal For the Defence of Stalingrad";"Médaille pour la défense de Stalingrad";"Medaglia per la Difesa di Stalingrado";"Medaille ""Für die Verteidigung Stalingrads""";"Medalla por la Defensa de Stalingrado";"Медаль За оборону Сталинграда";"Medal za Obronę Stalingradu";"Medal For the Defence of Stalingrad";"Medal For the Defence of Stalingrad";"“保\t卫\t斯\t大\t林\t格\t勒”\t奖\t章";"スターリングラード\t防衛の\tメダル";"Medalha pela Defesa de Stalingrado";"Медаль За оборону Сталінграда";"Medal For the Defence of Stalingrad";"Sztálingrád Védelméért emlékérem";"스탈린그라드 수방장";"Медаль За абарону Сталінграда";"Medalia „Pentru apărarea Stalingradului”";"“保\t衛\t史\t達\t林\t格\t勒”\t獎\t章";"  ";;
"ussr_stalingrad_def_medal/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_red_star_order/name";"Order of the red star";"Ordre de l'Étoile rouge";"Ordine della stella rossa";"Orden des Roten Sterns";"Orden de la estrella roja";"Орден Красной Звезды";"Order Czerwonej Gwiazdy";"Order of the red star";"Order of the red star";"红\t星\t勋\t章";"赤星勲章";"Ordem da Estrela Vermelha";"Орден Червоної Зірки";"Order of the red star";"Vörös Csillag érdemrend";"적성훈장";"Ордэн Чырвонай Зоркі";"Ordinul Steaua Roșie";"紅\t星\t勳\t章";"  ";;
"ussr_red_star_order/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_red_banner_order/name";"Order of the Red Banner";"Ordre du Drapeau rouge";"Ordine della Bandiera Rossa";"Orden des Roten Banners";"Orden del Estandarte Rojo";"Орден Красного Знамени";"Order Czerwonego Sztandaru";"Order of the Red Banner";"Order of the Red Banner";"红\t旗\t勋\t章";"赤旗勲章";"Ordem do Estandarte Vermelho";"Орден Червоного Прапора";"Order of the Red Banner";"Vörös Zászló érdemrend";"적기훈장";"Ордэн Чырвонага Сцяга";"Ordinul Steagului Roșu";"紅\t旗\t勳\t章";"  ";;
"ussr_red_banner_order/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_patriotic_war_2_class/name";"Order of the Patriotic War Second class";"Ordre de la Guerre Patriotique de 2e classe";"Ordine della Guerra Patriottica II Classe";"Orden des Großen Vaterländischen Krieges 2. Klasse";"Orden de la Guerra Patria de 2ª clase";"Орден Отечественной войны 2 степени";"Order Wojny Ojczyźnianej II klasy";"Řád vlastenecké války 2. třídy";"2. Sınıf Vatansever Nişanı";"二\t级\t卫\t国\t战\t争\t勋\t章";"大祖国戦争二級勲章";"Orden Otechestvennoy voyny 1-y stepeni (Ordem da Guerra Patriótica de 2ª classe)";"Орден Вітчизняної війни 2-го ступеня ";"Orden Patriotskog Rata 2. Klase";"Honvédő Háború érdemrend II. fokozat";"2급 조국전쟁장(Орденом Отечественной войны II степени)";"Ордэн Айчыннай вайны II ступені";"Ordinul Războiului Patriotic clasa II";"二\t級\t衛\t國\t戰\t爭\t勳\t章";"  ";;
"ussr_patriotic_war_2_class/desc";;;;;;;;;;;;;;;;;;;;;;
"ussr_patriotic_war_1_class/name";"Order of the Patriotic War First class";"Ordre de la Guerre Patriotique de 1re classe";"Ordine della grande Guerra Patriottica I Classe";"Orden des Großen Vaterländischen Krieges 1. Klasse";"Orden de la Guerra Patria de 1ª clase";"Орден Отечественной войны 1 степени";"Order Wojny Ojczyźnianej I klasy";"Řád vlastenecké války 1. třídy";"1. Sınıf Vatansever Nişanı";"一\t级\t卫\t国\t战\t争\t勋\t章";"大祖国戦争一級勲章";"Orden Otechestvennoy voyny 1-y stepeni (Ordem da Guerra Patriótica de 1ª Classe)";"Орден Вітчизняної війни 1-го ступеня ";"Orden Patriotskog Rata 1. Klase";"Honvédő Háború érdemrend I. fokozat";"1급 조국전쟁장(Орденом Отечественной войны I степени)";"Ордэн Айчыннай вайны I ступені";"Ordinul Războiului Patriotic clasa I";"一\t級\t衛\t國\t戰\t爭\t勳\t章";"  ";;
"ussr_patriotic_war_1_class/desc";;;;;;;;;;;;;;;;;;;;;;
