<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
settings/main;Main settings;Paramètres généraux;Impostazioni principali;Einstellungen;Configuración general;Основные настройки;Ustawienia podstawowe;Hlavní nastavení;Ana Ayarlar;主要设置;主要设置;主要設定;メイン設定;Configurações gerais;Cài đặt chính;Основні налаштування;Opšta podešavanja;주 설정;Fő beállítások;Асноўныя налады;Setări principale;
settings/main/language;Language;Langue ;Lingua;Sprache;Idioma;Язык;Język;Jazyk;Dil;语言;语言;語言;言語;Idioma;Ngôn ngữ;Мова;Jezik;언어;Nyelv;Мова;Limba;
settings/toggle_settings;Toggle advanced settings;Activer/désactiver les paramètres avancés;Attiva/disattiva impostazioni avanzate;Erweiterte Einstellungen anzeigen;Cambiar configuración avanzada;Открыть меню дополнительных настроек;Pokaż zaawansowane ustawienia;Přepnutí pokročilých nastavení;Gelişmiş ayarlara geç;切换至高级设置面板;切换至高级设置面板;切換至進階設定;詳細設定の切り替え;Mostrar configurações avançadas;Chuyển đổi cài đặt nâng cao;Відкрити меню додаткових налаштувань;Otvori napredna podešavanja;고급 설정 토글;Haladó beállítások;Адкрыць меню дадатковых налад;Comutare la setări avansate;
settings/adv;ADVANCED SETTINGS;PARAMÈTRES AVANCÉS;IMPOSTAZIONI AVANZATE;ERWEITERTE EINSTELLUNGEN;CONFIGURACIÓN AVANZADA;ПРОДВИНУТЫЕ НАСТРОЙКИ;ZAAWANSOWANE USTAWIENIA;POKROČILÁ NASTAVENÍ;GELİŞMİŞ AYARLAR;高级设置;高级设置;進階設定;詳細設定;CONFIGURAÇÕES AVANÇADAS;Cài đặt nâng cao;ДОДАТКОВІ НАЛАШТУВАННЯ;NAPREDNA PODEŠAVANJA;고급 설정;HALADÓ BEÁLLÍTÁSOK;ПАШЫРАНЫЯ НАЛАДЫ;SETĂRI AVANSATE;
setting/none;None;Aucun;Nessuno;Kein;Ninguno;Нет;Nic;Žádné;Hiçbiri;无;无;無;なし;Nenhum;không có;немає;Ništa;없음;nincs;Няма;Fără;
settings/use_eac;Easy Anticheat;Easy Anticheat;Easy Anticheat;Easy Anti-Cheat;Easy Anticheat;Easy Anticheat;Easy Anticheat;Snadný anticheat;Kolay Anti Hile;Easy 反作弊系统;Easy 反作弊系统;簡單反作弊;Easy Anticheat;Easy Anticheat;Easy Anticheat;Easy Anticheat;Jednostavna zaštita od varanja;Easy Anticheat;Easy Anti-Cheat;Easy Anticheat;Anticheat ușor de folosit;
updates/not_checked;Press 'check for updates' to get the list of available updates.;"Appuyer sur ""vérifier les mises à jour"" pour obtenir la liste des mises à jour disponibles";"Premere ""controlla aggiornamenti"" per ottenere l'elenco degli aggiornamenti disponibili";"""Nach Updates suchen"" anklicken, um die Liste verfügbarer Updates anzuzeigen";Pulsa «comprobar actualizaciones» para obtener la lista de actualizaciones disponibles.;Проверка на наличие обновлений не производилась.;Naciśnij „szukaj aktualizacji”, aby uzyskać listę dostępnych uaktualnień;Stiskem tlačítka ‚zkontrolovat aktualizace‘ stáhnete seznam dostupných aktualizací;Mevcut güncellemelerin listesi için 'güncellemeleri kontrol et'e bas;点击“检查更新”，获取可用的更新列表;点击“检查更新”，获取可用的更新列表;點擊“檢查更新”，獲取可用的更新列表;[アップデートをチェック] を押すと、使用可能なアップデートのリストを入手できます。;Pressione ''Verificar atualizações'' para obter a lista de atualizações;"Bấm 'kiểm tra cập nhật ""để cập nhật danh sách mới";Перевірка на наявність оновлень не проводилась.;Pritisnite 'provera dostupnosti ažuriranja' da biste dobili listu dostupnih ažuriranja.;업데이트 확인'을 눌러 가용한 업데이트 목록을 확인하십시오.;Az elérhető frissítések listájának megtekintéséhez kattints a Frissítések keresése gombra.;Націсніце на «Праверыць абнаўленні», каб пабачыць спіс даступных абнаўленняў.;"Apasă pe ""Verificare actualizări"" pentru a obține lista cu actualizările disponibile.";
updates/auto;Autocheck for updates;Vérification automatique des mises à jour;Controlla automaticamente aggiornamenti;Automatisch nach Updates suchen;Comprobar actualizaciones automáticamente;Автоматически проверять обновления;Automatyczne wyszukiwanie aktualizacji;Automatická kontrola aktualizací;Güncellemeleri otomatik kontrol et;自动检查更新;自动检查更新;自動檢查更新;アップデートの自動チェック;Autoverificar atualizações;Tự động kiểm tra cập nhật;Автоматично перевіряти оновлення;Automatsko proveravanje dostupnosti ažuriranja;업데이트 자동확인;Frissítések automatikus keresése;Аўтаматычна правяраць абнаўленні;Autoverificare actualizări;
updates/check_title;Press 'check for updates' to get the available updates (you need to be connected to the Internet).;"Appuyer sur ""vérifier les mises à jour"" pour obtenir les mises à jour disponibles (vous devez être connecté à Internet).";"Premere ""controlla aggiornamenti"" per ottenere gli aggiornamenti disponibili (richiede connessione a Internet).";"""Nach Updates suchen"" anklicken, um die verfügbaren Updates zu installieren (Internetverbindung erforderlich).";Pulsa «comprobar actualizaciones» para obtener las actualizaciones disponibles (debes estar conectado a Internet).;Проверить, нет ли доступных обновлений для скачивания (необходимо подключение к сети Интернет).;Naciśnij „szukaj aktualizacji”, aby uzyskać dostępne uaktualnienia (wymagane jest połączenie z Internetem).;Stiskem tlačítka ‚zkontrolovat aktualizace‘ získáte dostupné aktualizace (musíte být připojeni k Internetu);Mevcut güncellemelerin listesi için 'güncellemeleri kontrol et'e bas (Internet'e bağlı olman gereklidir).;点击“检查更新”，获取可用的更新（需要连接网络）;点击“检查更新”，获取可用的更新（需要连接网络）;點擊“檢查更新”，獲取可用的更新（需要連接網路）;[アップデートをチェック] を押すと、使用可能なアップデートのリストを入手できます (インターネットへの接続が必要です)。;Pressione ''Autoverificar atualizações'' para obter as atualizações disponíveis (necessita de estar conetado à internet).;"Bấm 'kiểm tra cập nhật ""để cập nhật danh sách mới (bạn cần phải được kết nối với internet).";Перевірити наявність доступних оновлень для завантаження (необхідне підключення до мережі Інтернет);Pritisnite 'provera dostupnosti ažuriranja' da biste dobili listu dostupnih ažuriranja (morate biti konektovani na internet).;업데이트 확인'을 눌러 가용한 업데이트 목록을 확인하십시오(인터넷에 연결되어 있어야 합니다).;A rendelkezésre álló frissítések beszerzéséhez kattints a Frissítések keresése gombra (internetelérés szükséges).;Праверыць наяўнасць абнаўленняў, даступных да спампавання (патрабуецца падлучэнне да Інтэрнэту).;"Apasă pe ""Verificare actualizări"" pentru a obține actualizările disponibile (este necesară o conexiune la internet).";
updates/check;Check for updates;Recherche de mise à jour;Controlla aggiornamenti;Nach Updates suchen;Comprobar si hay actualizaciones;Проверить обновления;Sprawdź aktualizacje;Zkontrolovat aktualizace;Güncellemeleri kontrol et;检查更新;检查更新;檢查更新;アップデートのチェック;Verificar atualizações;Kiểm tra cập nhật;Перевірити оновлення;Proveri da li je dostupno ažuriranje.;업데이트 확인;Frissítések keresése;Праверыць абнаўленні;Verificare actualizări;
updates/dl_title;Download update;Télécharger la mise à jour;Scarica aggiornamento.;Update herunterladen;Descargar actualización;Скачать обновление;Ściągnij aktualizację.;Stáhnout aktualizaci.;Güncellemeyi indir.;下载更新。;下载更新。;下載更新。;アップデートをダウンロードする。;Descarregar atualização.;Tải bản cập nhật;Завантажити оновлення;Skini ažuriranje;업데이트 다운로드;Frissítés letöltése;Спампаваць абнаўленне;Descărcare actualizare;
updates/dl;Download update;Télécharger la mise à jour;Scarica aggiornamento;Update herunterladen;Descargar actualización;Загрузить обновления;Załaduj aktualizacje;Stáhnout aktualizaci;Güncellemeyi indir;下载更新;下载更新;下載更新;アップデートのダウンロード;Descarregar atualização;Tải bản cập nhật;Завантажити оновлення;Skini ažuriranje;업데이트 다운로드;Frissítés letöltése;Загрузіць абнаўленне;Descărcare actualizare;
updates/progress_title;Current state of downloading;État du téléchargement;Stato attuale download.;Fortschritt des Downloads;Estado actual de la descarga.;Текущее состояние загрузки обновления.;Bieżący stan pobierania aktualizacji.;Aktuální stav stahování;İndirmenin şu an ki durumu;当前下载状态。;当前下载状态。;當前下載狀態。;現在のダウンロードの状態。;Estado atual do download;Tình trạng tải hiện tại.;Поточний стан завантаження оновлення.;Trenutno stanje procesa ažuriranja;현재 다운로드 상태;Letöltés állapota;Бягучы стан спампавання абнаўлення.;Stare curentă descărcare;
check_title;Check consistensy of game files.;Vérification des fichiers du jeu.;Verifica la coerenza dei file del gioco.;Überprüfung der Integrität der Spieldateien;Consistencia de los archivos de juego;Проверить целостность файлов игры.;Sprawdź prawidłowość plików gry.;Zkontrolovat konzistenci herních souborů;Oyun dosyalarının tutarlılığını kontrol et;检查游戏文件的一致性。;检查游戏文件的一致性。;檢查遊戲檔案是否一致。;ゲームファイルの一貫性をチェックする。;Verificar consistência dos ficheiros do jogo.;Kiểm tra tính nhất quán của các tập tin.;Перевірити цілісність файлів гри.;Proveri konzistentnost fajlova igre.;게임 파일의 일관성을 확인하십시오.;Játékfájlok épségének ellenőrzése.;Праверыць цэласнасць файлаў гульні.;Verificare integritate fișiere joc.;
check;Check files;Vérifier les fichiers;Verifica file;Dateien überprüfen;Comprobar archivos;Проверить файлы;Sprawdź pliki;Zkontrolovat soubory;Dosyaları kontrol et;检查文件;检查文件;檢查檔案;ファイルのチェック;Verificar ficheiros;Kiểm tra tập tin;Перевірити файли;Proveri fajlove;파일을 확인하십시오.;Fájlok ellenőrzése;Праверыць файлы;Verificare fișiere;
run_title;Run game with current settings.;Jouer avec les paramètres actuels.;Esegui il gioco con le impostazioni correnti.;Spiel mit aktuellen Einstellungen starten.;Ejecutar juego con la configuración actual.;Запустить игру с текущими настройками.;Uruchom grę z bieżącymi ustawieniami.;Spustit hru s aktuálním nastavením;Oyunu geçerli ayarlarla çalıştır.;使用当前设置运行游戏。;使用当前设置运行游戏。;使用當前設定執行遊戲。;現在の設定でゲームを実行する。;Correr o jogo com as configurações atuais.;Chạy trò chơi với cài đặt hiện tại.;Запустити гру з поточними налаштуваннями;Pokreni igru sa trenutnim podešavanjima.;현재 설정으로 게임을 실행하십시오.;Játék futtatása a jelenlegi beállításokkal.;Запусціць гульню з бягучымі наладамі.;Lansare joc cu setăriel curente.;
run;PLAY;JOUER;GIOCA;SPIELEN;JUGAR;ИГРАТЬ;GRAJ;HRÁT;OYNA;开始游戏;开始游戏;開始遊戲;開始;JOGAR;Chơi;ГРАТИ;IGRAJ;플레이;INDÍTÁS;ГУЛЯЦЬ;JOC;
pause;PAUSE;PAUSE;PAUSA;PAUSE;PAUSA;ПАУЗА;ZATRZYMAJ;PAUZA;DURAKLAT;暂停;暂停;暫停;一時停止;PAUSA;PAUSE;ПАУЗА;PAUZIRAJ;일시 정지;SZÜNETELTETÉS;ПРЫПЫНІЦЬ;PAUZĂ;
pause_title;Pause download for 30 minutes;Mettre le téléchargement en pause pour 30 minutes;Pausa download per 30 minuti;Download für 30 Minuten pausieren;Detener la descarga durante 30 minutos;Приостановить загрузку на 30 минут;Zatrzymaj pobieranie na 30 minut.;Pozastavit stahování na 30 minut;İndirmeyi 30 dakikalığına duraklat;暂停下载 30 分钟;暂停下载 30 分钟;暫停下載 30 分鐘;ダウンロードを30分停止;Pára o download durante 30 minutos;Pause download for 30 minutes;Призупинити завантаження на 30 хвилин;Pauziraj skidanje na 30 minuta;30분 동안 다운로드 일시 정지;Letöltés szüneteltetése 30 percre;Прыпыніць загрузку на 30 хвілін;Suspendare descărcare 30 de minute;
paused;Download paused;Téléchargement en pause;Download in pausa;Download pausiert;Descarga pausada;Загрузка приостановлена;Pobieranie zatrzymane;Stahování pozastaveno;İndirme duraklatıldı;暂停下载;暂停下载;下載已暫停;ダウンロードを停止;Download parado;Download paused;Завантаження призупинене;Skidanje pauzirano;다운로드 일시 정지됨;Letöltés szüneteltetve;Спампаванне прыпынена;Descărcare suspendată;
resume;RESUME;REPRENDRE;RIPRENDI;FORTSETZEN;RESUMIR;ПУСК;WZNÓW;POKRAČOVAT;DEVAM ET;恢复;恢复;繼續;再開;RETOMAR;RESUME;ПУСК;PRODUŽI;다시 시작;FOLYTATÁS;ЗАПУСЦІЦЬ;RELUARE;
resume_title;Resume download;Reprendre le téléchargement;Riprendi il download;Download fortsetzen;Resumir descarga;Возобновить загрузку;Wznawia pobieranie;Obnovit stahování;İndirmeye devam et;恢复下载;恢复下载;繼續下載;ダウンロードを再開;Retomar download;Resume download;Відновити завантаження;Nastavi skidanje;다운로드 다시 시작;Letöltés folytatása;Аднавіць спампаванне;Reluare descărcare;
exit_title;Save settings and exit;Enregistrer paramètres et quitter.;Salva impostazioni ed esci.;Speichern und verlassen;Guardar configuración y salir;Выйти и сохранить настройки;Wyjdź i zapisz ustawienia;Uložit nastavení a ukončit;Ayarları kaydet ve çık;保存设置并退出;保存设置并退出;保存設定並退出;設定を保存して終了;Guardar configurações e sair;Lưu cài đặt và thoát;Вийти і зберегти налаштування;Sačuvaj podešavanja i izađi;설정 저장하고 나가기;Beállítások mentése és kilépés;Выйсці і захаваць налады;Salvare setări la ieșire;
close_title;Close;Fermer;Chiudi;Schließen;Cerrar;Закрыть;Zamknij;Zavřít;Kapat;关闭;关闭;關閉;閉じる;Fechar;Close;Закрити;Zatvori;닫기;Bezárás;Закрыць;Închidere;
hide_title;Minimize window;Minimiser la fenêtre;Riduci finestra a icona;Minimieren;Minimizar ventana;Свернуть окно;Zminimalizuj okno;Minimalizovat okno;Pencereyi küçült;最小化窗口;最小化窗口;視窗最小化;ウィンドウの最小化;Minimizar janela;Ẩn cửa sổ;Згорнути вікно;Minimiziraj prozor;창 최소화;Kis méret;Згарнуць акно;Micșorare fereastră;
open_launcher;Open Launcher;Ouvrir le Launcher;Apri il Launcher;Launcher öffnen;Abrir Lanzador;Открыть лончер;Otwórz launcher;Otevřít launcher;Başlatıcıyı aç;打开启动器;打开启动器;打開啟動器;ランチャーを開く;Abrir Inicializador;Open Launcher;Відкрити лончер;Otvori pokretač igre;론처 열기;Indítópult megnyitása;Адкрыць лаўнчар;Deschidere lansator;
exit;Exit;Quitter;Esci;Beenden;Salir;Выход;Wyjdź;Konec;Çık;退出;退出;退出;終了;SAIR;Thoát;Вихід;Izađi;나가기;Kilépés;Выхад;Ieșire;
hide_to_tray_option;Hide launcher to tray on download;Minimiser le launcher pendant le téléchargement;Nascondi il launcher a icona durante il download;Launcher während des Downloads in der Info-Leiste verstecken;Ocultar el iniciador a la bandeja al descargar;Скрывать лончер в трей на скачивании;Ukryj launcher w zasobniku na czas pobierania;Při stahování skrýt launcher na liště;Başlatıcıyı indirme sırasında sistem çubuğuna gizle;下载时隐藏到系统托盘;下载时隐藏到系统托盘;下載時將啟動器隱藏到托盤;ダウンロード時はランチャーをトレイに隠す;Esconder inicializador para continuar o download;Hide launcher to tray on download;Приховувати лончер в трей при завантаженні;Sakrij pokretač igre u sistemske prečice za vreme skidanja;다운로드 시작 시 트레이로 론처 숨기기;Indítópult rendszertálcára helyezése letöltés közben;Хаваць лаўнчар у трэй падчас спампоўвання;Ascunde lansatorul în zona de notificări la descărcare;
